make,model,price,city,state,year,mileage,transmission,color,previous_ownership,url
Mercedes-Benz,GLC-Class,9000000.0,Mombasa,Mombasa CBD,2018.0,,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-glc-class-2018-white-8Zvr15nZOFQoRMz4O1dEVEku.html?page=50&pos=9&cur_pos=9&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=988
Toyota,Hilux,9000000.0,Nairobi,Parklands/Highridge,2024.0,,Automatic,Brown,Brand New,https://jiji.co.ke/parklands-highridge/cars/new-toyota-hilux-2024-brown-bqrBuDAT1qlfjeoURjsusHrA.html?page=50&pos=12&cur_pos=12&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=991
Toyota,Land Cruiser Prado,9000000.0,Mombasa,Mombasa CBD,2018.0,45000.0,Automatic,Brown,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-prado-2018-brown-ixEza2KripgbpJUslhOXmgcC.html?page=50&pos=15&cur_pos=15&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=994
Toyota,Land Cruiser Prado,9000000.0,Mombasa,Mombasa CBD,2019.0,8000.0,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-prado-2019-black-BGoiwNltjJttUBK2E50ut7er.html?page=50&pos=19&cur_pos=19&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=998
Audi,S6,9000000.0,Mombasa,Mombasa CBD,2018.0,60000.0,AMT,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/audi-s6-2018-black-xBZjhg9VTJz8d9pqdI0KpnmW.html?page=51&pos=2&cur_pos=2&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1001
Land Rover,Range Rover Vogue,9000000.0,Nairobi,Kilimani,2015.0,,Automatic,Blue,Local Used,https://jiji.co.ke/kilimani/cars/land-rover-range-rover-vogue-2015-blue-phy5IMUxkVj3lMK2l3d8FkQf.html?page=51&pos=5&cur_pos=5&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1004
Land Rover,Range Rover Sport,9000000.0,Nairobi,Kilimani,2018.0,,Automatic,,Local Used,https://jiji.co.ke/kilimani/cars/land-rover-range-rover-sport-hse-td6-2018-blue-zXn3yACiYXj7UrMmvyOmA8Xl.html?page=51&pos=8&cur_pos=8&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1007
Mercedes-Benz,C63,9000000.0,Mombasa,Mombasa CBD,2018.0,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-c63-2018-silver-sc8xwIt6gniNAEiu4u7Qh4gI.html?page=51&pos=11&cur_pos=11&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1010
Land Rover,Range Rover Sport,9000000.0,Mombasa,Mombasa CBD,2017.0,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/land-rover-range-rover-sport-se-4x4-3-0l-6cyl-8a-2017-white-pBvhJNoeyS3o990UryszmJKB.html?page=51&pos=14&cur_pos=14&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1013
Land Rover,Range Rover,9000000.0,Nairobi,Kilimani,2015.0,,Automatic,Gray,Local Used,https://jiji.co.ke/kilimani/cars/land-rover-range-rover-2015-gray-6iXq6LgfrsAkAzrJwdvXVqlu.html?page=51&pos=17&cur_pos=17&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1016
Mercedes-Benz,S-Class,9000000.0,Mombasa,Mombasa CBD,2018.0,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-s-class-s-450-w222-2018-blue-q3PjwjSmz7oNTimHgWIsriKN.html?page=51&pos=20&cur_pos=20&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1019
Toyota,Land Cruiser,9000000.0,Mombasa,Mombasa CBD,2016.0,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-4-6-v8-zx-2016-white-5fzWt8B7dfvP5SRvO2NdKRuV.html?page=52&pos=3&cur_pos=3&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1022
Mercedes-Benz,GLE-Class,9000000.0,Mombasa,Tudor,2017.0,23684.0,Automatic,White,Foreign Used,https://jiji.co.ke/tudor/cars/mercedes-benz-gle-class-2017-white-6k24dUCCbkvYjOstCjOlo1rm.html?page=52&pos=6&cur_pos=6&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1025
Mercedes-Benz,S-Class,9000000.0,Mombasa,Mombasa CBD,2018.0,44300.0,Automatic,Off white,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-s-class-2018-off-white-fjmTlKUq7hDGKPFgqQKUSbI9.html?page=52&pos=8&cur_pos=8&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1027
Mercedes-Benz,GLE-Class,8999999.0,Nairobi,Westlands,2017.0,,Automatic,,Foreign Used,https://jiji.co.ke/westlands/cars/mercedes-benz-gle-class-gle-350d-4matic-2017-gray-hd0k2HhXVmv8t5WHEYkwZmKl.html?page=52&pos=12&cur_pos=12&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1031
Toyota,Land Cruiser,8999999.0,Mombasa,Mombasa CBD,2018.0,,Manual,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-4-5-v8-gxr-2018-yellow-Cdkx1mXf1M3QaLOm2EwmFUNe.html?page=52&pos=14&cur_pos=14&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1033
Mercedes-Benz,GLE-Class,8999999.0,Mombasa,Tudor,2017.0,36254.0,Automatic,Black,Foreign Used,https://jiji.co.ke/tudor/cars/mercedes-benz-gle-class-2017-black-6wTtF7PGpCzOeRGMZP6pFXCL.html?page=52&pos=17&cur_pos=17&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1036
Ford,Ranger,8999999.0,Mombasa,Mombasa CBD,2021.0,78016.0,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/ford-ranger-wildtrak-2021-gray-pU6qKtCvSRjL409UmDXzkfeI.html?page=52&pos=20&cur_pos=20&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1039
Toyota,Land Cruiser Prado,8999999.0,Nairobi,Kilimani,2018.0,,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-land-cruiser-prado-2-8-2018-black-saF2KdQ2AYimR86lJLC30WjD.html?page=53&pos=4&cur_pos=4&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1043
Lexus,LX,8999999.0,Kiambu,Kiambu / Kiambu,2017.0,,Automatic,Gray,Local Used,https://jiji.co.ke/kiambu-kiambu/cars/lexus-lx-2017-gray-iLUF00cvjslR8lNIhPk84nZ.html?page=53&pos=7&cur_pos=7&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1046
Mercedes-Benz,GLE-Class,8999990.0,Nairobi,Nairobi Central,2017.0,86425.0,Automatic,Black,Foreign Used,https://jiji.co.ke/nairobi-central/cars/mercedes-benz-gle-class-2017-black-C83rp7vAwLIYopkPzFb9sZlH.html?page=53&pos=9&cur_pos=9&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1048
Isuzu,D-MAX,8990000.0,Nairobi,Nairobi Central,2024.0,,Automatic,Silver,Brand New,https://jiji.co.ke/nairobi-central/cars/new-isuzu-d-max-2024-silver-A4zwgTC1aoYsfLF3fTQgrCbB.html?page=53&pos=14&cur_pos=14&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1053
Isuzu,D-MAX,8990000.0,Nairobi,Industrial Area Nairobi,2024.0,,Automatic,Gray,Brand New,https://jiji.co.ke/viwandani-makadara/cars/new-isuzu-d-max-2024-gray-xg9aqwlWLp38aLzYDErgB7G5.html?page=53&pos=17&cur_pos=17&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1056
Mercedes-Benz,C43,8950000.0,Mombasa,Tudor,2018.0,,Automatic,White,Foreign Used,https://jiji.co.ke/tudor/cars/mercedes-benz-c43-2018-white-f4iDlV7ZjWBV5LPVPcq1OpOl.html?page=53&pos=19&cur_pos=19&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1058
Mercedes-Benz,GLE-Class,8950000.0,Mombasa,Mombasa CBD,2017.0,58000.0,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gle-class-gle-350d-4matic-2017-white-7SNZRV8OghLbwMbypMlYTTim.html?page=54&pos=2&cur_pos=2&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1061
Mercedes-Benz,GLE-Class,8950000.0,Nairobi,Ridgeways,2017.0,73000.0,Automatic,,Foreign Used,https://jiji.co.ke/ridgeways/cars/mercedes-benz-gle-class-amg-gle-43-4matic-2017-black-dlcU0fPlFFdMKEkORa6wsXry.html?page=54&pos=5&cur_pos=5&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1064
Mercedes-Benz,GLS-Class,8950000.0,Nairobi,Kilimani,2017.0,50000.0,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/mercedes-benz-gls-class-gls350d-4matic-2017-black-7onLFALiR3gwVei0WMXVMFzt.html?page=54&pos=9&cur_pos=9&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1068
Toyota,Land Cruiser,8900000.0,Nairobi,Kilimani,2017.0,126000.0,Automatic,Pearl,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-land-cruiser-2017-pearl-kE9BIM3K6wsxuNuHHNR5zU9C.html?page=54&pos=12&cur_pos=12&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1071
Porsche,Cayenne,8900000.0,Mombasa,Mombasa CBD,2018.0,79668.0,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/porsche-cayenne-gts-awd-2018-white-uvc4Hq997NHwcMEUAeBiEZku.html?page=54&pos=15&cur_pos=15&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1074
Toyota,Land Cruiser Prado,8900000.0,Mombasa,Mombasa CBD,2019.0,,Automatic,Other,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-prado-2019-up6HNQvnlTjWWYam9UZpRz3L.html?page=54&pos=18&cur_pos=18&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1077
Toyota,Land Cruiser Prado,8900000.0,Mombasa,Mombasa CBD,2018.0,17000.0,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-prado-2018-red-d7S32QmioX68VflejAe3vbAW.html?page=54&pos=20&cur_pos=20&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1079
Mercedes-Benz,GLE-Class,8900000.0,Mombasa,Mombasa CBD,2017.0,50000.0,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gle-class-2017-white-iFv2iGGyDbzb70rjheas6SB8.html?page=55&pos=3&cur_pos=3&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1082
Land Rover,Range Rover Sport,8900000.0,Mombasa,Mombasa CBD,2015.0,61000.0,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/land-rover-range-rover-sport-2015-black-cKs3sfDillPm8geBz0mPVloz.html?page=55&pos=6&cur_pos=6&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1085
Mercedes-Benz,GLC-Class,8900000.0,Mombasa,Ganjoni,2018.0,18253.0,Automatic,Silver,Foreign Used,https://jiji.co.ke/ganjoni/cars/mercedes-benz-glc-class-2018-silver-A6guWvTF6m9yRjuvWe72PPc2.html?page=55&pos=9&cur_pos=9&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1088
Land Rover,Range Rover Sport,8900000.0,Mombasa,Mombasa CBD,2017.0,,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/land-rover-range-rover-sport-2017-red-q0JSqu7zYgDPAP6dquxM5821.html?page=55&pos=12&cur_pos=12&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1091
Toyota,Land Cruiser Prado,8900000.0,Mombasa,Mombasa CBD,2019.0,29000.0,Automatic,Green,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-prado-2019-green-sDRKjMzEt88IGXIjPEAiGKTX.html?page=55&pos=15&cur_pos=15&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1094
Mercedes-Benz,GLE-Class,8900000.0,Mombasa,Mombasa CBD,2020.0,58000.0,Automatic,Off white,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gle-class-2020-off-white-aws177AGK10np9Kqgu3BnmJf.html?page=55&pos=17&cur_pos=17&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1096
Land Rover,Range Rover Sport,8900000.0,Mombasa,Mombasa CBD,2016.0,65000.0,Automatic,Off white,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/land-rover-range-rover-sport-2016-off-white-fi3n70ygWinloIARGuZct5qH.html?page=55&pos=20&cur_pos=20&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1099
Land Rover,Range Rover Sport,8900000.0,Nairobi,Kilimani,2015.0,,Automatic,,Local Used,https://jiji.co.ke/kilimani/cars/land-rover-range-rover-sport-2015-black-gdy0GFQS1rGvjQd9yD5JC3XF.html?page=56&pos=3&cur_pos=3&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1102
Mercedes-Benz,M Class,8900000.0,Mombasa,Mombasa CBD,2015.0,92000.0,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-m-class-2015-white-mQ8sJgd09nqgwlpsyTsSSXGG.html?page=56&pos=8&cur_pos=8&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1107
Isuzu,D-MAX,8900000.0,Nairobi,Industrial Area Nairobi,2024.0,,Automatic,Red,Brand New,https://jiji.co.ke/viwandani-makadara/cars/new-isuzu-d-max-2024-red-4Xij6STksnXrUOyABglLZ8kB.html?page=56&pos=11&cur_pos=11&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1110
Mercedes-Benz,GL-Class,8900000.0,Mombasa,Mombasa CBD,2015.0,51000.0,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gl-class-2015-black-uv1oT43aIr1LwPDqlfBKvMyS.html?page=56&pos=14&cur_pos=14&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1113
Land Rover,Range Rover Velar,8900000.0,Nairobi,Kilimani,2020.0,,Automatic,Gray,Foreign Used,https://jiji.co.ke/kilimani/cars/land-rover-range-rover-velar-2020-gray-XOCyJOzQDXgmEQpHd8P0c3y.html?page=56&pos=17&cur_pos=17&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1116
Toyota,Land Cruiser,8900000.0,Nairobi,Kilimani,2017.0,130000.0,Automatic,Off white,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-land-cruiser-2017-off-white-iRmQHhyeUJUxljDDrMPg7eNw.html?page=56&pos=19&cur_pos=19&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1118
Land Rover,Discovery,8900000.0,Nairobi,Runda,2018.0,63000.0,Automatic,White,Foreign Used,https://jiji.co.ke/karura/cars/land-rover-discovery-2018-white-fGhtCEuRPOwkWkuw6R5KW7fc.html?page=57&pos=2&cur_pos=2&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1121
Toyota,Land Cruiser,8900000.0,Nairobi,Kilimani,2017.0,135000.0,Automatic,Pearl,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-land-cruiser-2017-pearl-hfLIYKC7fr27S8clKHeG54Za.html?page=57&pos=5&cur_pos=5&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1124
Mercedes-Benz,GLE-Class,8899999.0,Nairobi,Westlands,2016.0,,Automatic,Black,Foreign Used,https://jiji.co.ke/westlands/cars/mercedes-benz-gle-class-2016-black-hrrRXgCyepCXnEmuUY9jIy1a.html?page=57&pos=8&cur_pos=8&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1127
Isuzu,D-MAX,8890000.0,Nairobi,Nairobi Central,2024.0,,Automatic,Brown,Brand New,https://jiji.co.ke/nairobi-central/cars/new-isuzu-d-max-2024-brown-6wayAVinVwN81oOplu3kOEMQ.html?page=57&pos=11&cur_pos=11&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1130
Isuzu,D-MAX,8890000.0,Nairobi,Nairobi Central,2024.0,,Automatic,Beige,Brand New,https://jiji.co.ke/nairobi-central/cars/new-isuzu-d-max-2024-beige-yQU64LSHi2QSN1yEG4FsOIDb.html?page=57&pos=14&cur_pos=14&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1133
Toyota,Crown,8888000.0,Mombasa,Mombasa CBD,2022.0,11000.0,Automatic,Brown,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-crown-2022-brown-sv5FX1zonCQY6QDnZFlFxjfM.html?page=57&pos=17&cur_pos=17&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1136
Mercedes-Benz,GLE-Class,8865000.0,Nairobi,Kilimani,2017.0,,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/mercedes-benz-gle-class-2017-black-csPQkPydmZO8kJSikSwoj7NU.html?page=57&pos=20&cur_pos=20&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1139
Toyota,Land Cruiser Prado,8850000.0,Mombasa,Mombasa CBD,2018.0,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-prado-2-8-2018-blue-mz7mvHEXjuS7tSkyxhnbO5kJ.html?page=58&pos=3&cur_pos=3&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1142
Toyota,Land Cruiser Prado,8850000.0,Nairobi,Kilimani,2020.0,,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-land-cruiser-prado-2-8-2020-white-hf3lUsVl7t72YFZk8e9dKeOK.html?page=58&pos=5&cur_pos=5&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1144
Toyota,Land Cruiser Prado,8850000.0,Nairobi,Langata,2018.0,62000.0,Automatic,,Foreign Used,https://jiji.co.ke/mugumo-ini-langata/cars/toyota-land-cruiser-prado-3-0-190hp-2018-black-cIOeaPKXhGveA1s9IQd8tfTX.html?page=58&pos=8&cur_pos=8&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1147
BMW,M6,8849999.0,Nairobi,Kilimani,2016.0,99000.0,Automatic,White,Foreign Used,https://jiji.co.ke/kilimani/cars/bmw-m6-2016-white-kVPQLSWEs3JvdF5k4Je1J1wp.html?page=58&pos=11&cur_pos=11&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1150
Mercedes-Benz,GLE-Class,8820000.0,Mombasa,Mombasa CBD,2016.0,,Automatic,Pearl,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gle-class-2016-pearl-aD1Xy1fzG1Dvpchlw6UU13qm.html?page=58&pos=14&cur_pos=14&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1153
Ford,Ranger,8800000.0,Mombasa,Mombasa CBD,2017.0,56000.0,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/ford-ranger-2017-white-rUg4DdX0pLqaaXldMH1kvnxh.html?page=58&pos=18&cur_pos=18&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1157
Mercedes-Benz,GLE-Class,8800000.0,Mombasa,Mombasa CBD,2017.0,,Automatic,Matt Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gle-class-gle-350-2017-matt-black-aSm8sHGOEpXN0olyxu9uQmXh.html?page=59&pos=1&cur_pos=1&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1160
Mercedes-Benz,GLC-Class,8800000.0,Mombasa,Mombasa CBD,2017.0,104000.0,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-glc-class-2017-white-Q5ZM3UQ7GV7wXTCFKGPHviU.html?page=59&pos=4&cur_pos=4&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1163
Mercedes-Benz,GLE-Class,8800000.0,Mombasa,Mombasa CBD,2018.0,50000.0,Automatic,Off white,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gle-class-2018-off-white-hj17eoZn0Cbs0bUIdT78IdcG.html?page=59&pos=7&cur_pos=7&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1166
Mercedes-Benz,GLE-Class,8800000.0,Mombasa,Mombasa CBD,2017.0,50000.0,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gle-class-2017-blue-kPsrTEy9H6H6YNQSaVQ8fnUo.html?page=59&pos=10&cur_pos=10&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1169
Toyota,Land Cruiser Prado,8800000.0,Mombasa,Mombasa CBD,2019.0,,Automatic,Other,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-prado-2019-8nklhDtPWW7IeJxy3hM6lIVB.html?page=59&pos=13&cur_pos=13&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1172
Toyota,Land Cruiser Prado,8800000.0,Mombasa,Mombasa CBD,2018.0,90000.0,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-prado-2018-white-1JUtHvq7PKsIAfrX5ZXpn935.html?page=59&pos=16&cur_pos=16&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1175
Toyota,Land Cruiser Prado,8800000.0,Mombasa,Mombasa CBD,2018.0,45000.0,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-prado-2-8-2018-brown-hxihRTcnSUi9WrSuCM8fnGHF.html?page=59&pos=19&cur_pos=19&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1178
Toyota,Land Cruiser,8800000.0,Mombasa,Mombasa CBD,2018.0,45236.0,Manual,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-4-5-v8-td-2018-white-BE3SRhXPx8eIMrCB6XBQLqT8.html?page=60&pos=2&cur_pos=2&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1181
Mercedes-Benz,GLE-Class,8800000.0,Kiambu,Kiambu / Kiambu,2017.0,,Automatic,,Foreign Used,https://jiji.co.ke/kiambu-kiambu/cars/mercedes-benz-gle-class-gle-350d-4matic-2017-white-6oDCZzQX36dr5OgmpA66jF2t.html?page=60&pos=5&cur_pos=5&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1184
Mercedes-Benz,S-Class,8800000.0,Mombasa,Mombasa CBD,2018.0,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-s-class-s-63-amg-l-v222-2018-black-kOVK4vOuUTFA2ZySIHUo2nq3.html?page=60&pos=8&cur_pos=8&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1187
Mercedes-Benz,S-Class,8800000.0,Mombasa,Mombasa CBD,2018.0,,Automatic,Matt Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-s-class-2018-matt-black-fV5e9SayJheLypZqS5N9R7Vd.html?page=60&pos=11&cur_pos=11&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1190
Land Rover,Range Rover Velar,8800000.0,Nairobi,Kilimani,2020.0,32000.0,Automatic,Gray,Foreign Used,https://jiji.co.ke/kilimani/cars/land-rover-range-rover-velar-2020-gray-uHzUir5bAiDVDOA5hJMKKe7J.html?page=60&pos=14&cur_pos=14&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1193
Land Rover,Range Rover Vogue,8800000.0,Nairobi,Kilimani,2015.0,125000.0,Automatic,Gray,Local Used,https://jiji.co.ke/kilimani/cars/land-rover-range-rover-vogue-2015-gray-63hX0WDOo1BovinbYRrZ4UGe.html?page=60&pos=17&cur_pos=17&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1196
Land Rover,Range Rover Velar,8800000.0,Nairobi,Kilimani,2020.0,,Automatic,Gray,Foreign Used,https://jiji.co.ke/kilimani/cars/land-rover-range-rover-velar-2020-gray-dSUyvc3WKuOaoT9XLB4fy9uw.html?page=60&pos=20&cur_pos=20&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1199
Land Rover,Range Rover Velar,8800000.0,Nairobi,Kilimani,2020.0,,Automatic,Gray,Foreign Used,https://jiji.co.ke/kilimani/cars/land-rover-range-rover-velar-2020-gray-mN9g85sxPWFg8zLGalYqJUh6.html?page=61&pos=3&cur_pos=3&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1202
Toyota,Land Cruiser Prado,8800000.0,Mombasa,Mombasa CBD,2019.0,,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-prado-2019-white-dkBn1HtKBzwONBqEpo6BeVQK.html?page=61&pos=6&cur_pos=6&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1205
Toyota,Land Cruiser,8800000.0,Nairobi,Parklands/Highridge,2017.0,,Manual,Beige,Foreign Used,https://jiji.co.ke/parklands-highridge/cars/toyota-land-cruiser-2017-beige-1GJN9ll7ZJbBB2RUAi9vfiwx.html?page=61&pos=10&cur_pos=10&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1209
Mercedes-Benz,C63,8800000.0,Mombasa,Mombasa CBD,2019.0,60000.0,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-c63-2019-gray-q8qyNy0kxzmimuWKhqqkjtJW.html?page=61&pos=13&cur_pos=13&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=1212
