make,model,price,city,state,year,mileage,transmission,color,previous_ownership,url
Mercedes-Benz,S-Class,35000000.0,Nairobi,Kilimani,2022.0,,Automatic,,Brand New,https://jiji.co.ke/kilimani/cars/new-mercedes-benz-s-class-s-500-4matic-2022-black-1FTgOSvOoRgHFByCN5d8igvg.html?page=3&pos=12&cur_pos=12&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=51
Lexus,LX,34900000.0,Nairobi,Kilimani,2023.0,,Automatic,Gray,Brand New,https://jiji.co.ke/kilimani/cars/new-lexus-lx-2023-gray-w6kZGUzb0l451bs5TMP7CVw3.html?page=3&pos=15&cur_pos=15&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=54
Lexus,LX,34500000.0,Mombasa,Mombasa CBD,2023.0,3455.0,Automatic,Gold,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-gold-C6DPqAK3gpWUyPoYxIx6UevW.html?page=3&pos=19&cur_pos=19&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=58
Lexus,LX,34000000.0,Mombasa,Mombasa CBD,2023.0,,Automatic,Off white,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-off-white-l0qujoq9Lx9pKZA7NbBhb2AI.html?page=4&pos=2&cur_pos=2&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=61
Lexus,LX,34000000.0,Mombasa,Mombasa CBD,2022.0,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2022-black-2YPpZBi3kyV3pICSfRPH8ohs.html?page=4&pos=4&cur_pos=4&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=63
Lexus,LX,34000000.0,Mombasa,Mombasa CBD,2022.0,9000.0,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2022-white-BhvFwN3kZVWkLFQt0D4ykCOR.html?page=4&pos=7&cur_pos=7&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=66
Land Rover,Range Rover Sport,33799999.0,Nairobi,Kilimani,2023.0,,Automatic,White,Brand New,https://jiji.co.ke/kilimani/cars/new-land-rover-range-rover-sport-2023-white-hclcvHvPelY7spMh1t5alypl.html?page=4&pos=11&cur_pos=11&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=70
Lexus,LX,33499999.0,Nairobi,Kilimani,2022.0,35000.0,Automatic,Brown,Foreign Used,https://jiji.co.ke/kilimani/cars/lexus-lx-2022-brown-5uHcnddz6WvQmt4onvb9MhLG.html?page=4&pos=14&cur_pos=14&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=73
Lexus,LX,33000000.0,Mombasa,Mombasa CBD,2023.0,3000.0,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-gray-d3VMaaLlclKkVikVOjXk3mUL.html?page=4&pos=17&cur_pos=17&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=76
Lexus,LX,33000000.0,Mombasa,Mombasa CBD,2024.0,,Automatic,Brown,Brand New,https://jiji.co.ke/mombasa-cbd/cars/new-lexus-lx-2024-brown-jS1T8wQiyaBiHh66JrML2dY3.html?page=4&pos=20&cur_pos=20&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=79
Land Rover,Range Rover Sport,32999999.0,Nairobi,Kilimani,2023.0,,Automatic,Gold,Brand New,https://jiji.co.ke/kilimani/cars/new-land-rover-range-rover-sport-2023-gold-s4Ex0GqZn7NPc5DgY30hgb5Z.html?page=5&pos=4&cur_pos=4&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=83
Land Rover,Range Rover,32500000.0,Nairobi,Kilimani,2022.0,,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/land-rover-range-rover-2022-black-7SEjr4pToXnGabgX4b89eV40.html?page=5&pos=7&cur_pos=7&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=86
Lexus,LX,32000000.0,Mombasa,Mombasa CBD,2023.0,,Automatic,Matt Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-matt-black-v5pais1rgJunqFGd6CU7klKS.html?page=5&pos=10&cur_pos=10&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=89
Lexus,GX,32000000.0,Nairobi,Kilimani,2025.0,,Automatic,Gold,Brand New,https://jiji.co.ke/kilimani/cars/new-lexus-gx-2025-gold-3fDFVhcEgFJXtryGIhuEKsVy.html?page=5&pos=13&cur_pos=13&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=92
Lexus,LX,32000000.0,Mombasa,Mombasa CBD,2023.0,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-black-yP2AuGAQFmg4QWFsnBeNzhep.html?page=5&pos=15&cur_pos=15&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=94
Land Rover,Range Rover Vogue,32000000.0,Nairobi,Parklands/Highridge,2023.0,,Automatic,Other,Brand New,https://jiji.co.ke/parklands-highridge/cars/new-land-rover-range-rover-vogue-2023-BCxQHB1NqMoym84LzM0pHWsA.html?page=5&pos=19&cur_pos=19&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=98
Land Rover,Range Rover Vogue,32000000.0,Mombasa,Ganjoni,2022.0,20000.0,Automatic,Blue,Foreign Used,https://jiji.co.ke/ganjoni/cars/land-rover-range-rover-vogue-2022-blue-php9lzmt1zLHatFlHRBUk5QP.html?page=6&pos=2&cur_pos=2&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=101
Bentley,Bentayga,32000000.0,Mombasa,Mvita,2018.0,21000.0,Automatic,,Foreign Used,https://jiji.co.ke/mvita/cars/bentley-bentayga-mulliner-awd-2018-pearl-bpGIVTjZYp9D7vweSxbAu3CY.html?page=6&pos=6&cur_pos=6&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=105
Lexus,LX,31900000.0,Mombasa,Mombasa CBD,2023.0,,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-gray-uAnKMygyqLYzKualUqW9nKgD.html?page=6&pos=8&cur_pos=8&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=107
