Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Suzuki,Alto,"KSh 705,000","Nairobi, Kilimani, 1 hour ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/suzuki-alto-660cc-fwd-2017-white-7mH4SK4KYDpSdd02GdUPr7SJ.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=0
Toyota,Vitz,"KSh 705,000","Nairobi, Upperhill, 4 hours ago",2013,,Automatic,Blue,Local Used,https://jiji.co.ke/upperhill/cars/toyota-vitz-2013-blue-jTxajKSsgZkbI86m377XCE2R.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=3
Nissan,Dayz,"KSh 700,000","Mombasa, Mombasa CBD, 1 hour ago",2018,56321 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-dayz-2018-white-mhrLnrd70nuoATql6ylNqF4H.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=6
Suzuki,Alto,"KSh 700,000","Mombasa, Mombasa CBD, 51 min ago",2018,45632 km,Automatic,Matt Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-alto-2018-matt-black-uDzkTGd8cDqJ60J7YkPZP4Pv.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=9
Suzuki,Alto,"KSh 700,000","Mombasa, Mombasa CBD, 13 hours ago",2017,91500 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-alto-2017-silver-dTfhrqURA0LIFyh7325P5UMv.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=12
Daihatsu,Mira,"KSh 700,000","Mombasa, Mombasa CBD, 1 hour ago",2016,,Automatic,Brown,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/daihatsu-mira-2016-brown-d0RgHamhwfgdjXAyx4UV8SJS.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=15
Suzuki,Alto,"KSh 700,000","Mombasa, Mombasa CBD, 1 hour ago",2017,57000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-alto-2017-silver-A3qz5AwdZUdiemkepsoPkEz6.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=18
Daihatsu,Mira,"KSh 700,000","Mombasa, Mombasa CBD, 51 min ago",2015,115000 km,Automatic,Yellow,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/daihatsu-mira-2015-yellow-saUgiHJgB6J98jZl9daAspVr.html?page=2&pos=3&cur_pos=3&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=22
Subaru,Outback,"KSh 700,000","Nairobi, Langata, 1 hour ago",2007,,Automatic,Silver,Local Used,https://jiji.co.ke/mugumo-ini-langata/cars/subaru-outback-2007-silver-wRKpgdabq7QPQXE53yYbqB4i.html?page=2&pos=6&cur_pos=6&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=25
Jeep,Grand Cherokee,"KSh 700,000","Nairobi, Embakasi, 9 hours ago",1997,128000 km,Manual,,Local Used,https://jiji.co.ke/embakasi/cars/jeep-grand-cherokee-2-5-d-1997-red-zqkzBwL0nxItFiZTel6aOqyQ.html?page=2&pos=9&cur_pos=9&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=28
Mitsubishi,Mirage,"KSh 700,000","Nairobi, Dagoretti, 1 hour ago",2015,,Automatic,White,Local Used,https://jiji.co.ke/dagoretti/cars/mitsubishi-mirage-2015-white-8vDqtOGCmcGfwg9GttO2DeIl.html?page=2&pos=11&cur_pos=11&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=30
Nissan,Note,"KSh 700,000","Nairobi, Dagoretti, 1 hour ago",2014,,Automatic,Orange,Local Used,https://jiji.co.ke/dagoretti/cars/nissan-note-2014-orange-2uaKKOde6R6REvxbk9AHqaTi.html?page=2&pos=14&cur_pos=14&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=33
Nissan,Note,"KSh 700,000","Mombasa, Mombasa CBD, 1 hour ago",2014,131255 km,Automatic,Gray,Local Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-note-1-2-petrol-2014-gray-K5XaGlgQXKj1aPzV7B1e2NH.html?page=2&pos=17&cur_pos=17&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=36
Suzuki,Vitara,"KSh 700,000","Nairobi, South B, 2 days ago",2008,172000 km,Automatic,Beige,Local Used,https://jiji.co.ke/south-b/cars/suzuki-vitara-2008-beige-xwZ1rctKRHA7466QX7kcHfBs.html?page=2&pos=20&cur_pos=20&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=39
Suzuki,Alto,"KSh 700,000","Mombasa, Mombasa CBD, 46 min ago",2018,51222 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-alto-660cc-fwd-2018-off-white-dqByYKavUTtjby7Wd8HPJzba.html?page=3&pos=3&cur_pos=3&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=42
Mitsubishi,SpaceWagon,"KSh 700,000","Mombasa, Mombasa CBD, 1 hour ago",2014,,Automatic,White,Local Used,https://jiji.co.ke/mombasa-cbd/cars/mitsubishi-spacewagon-2014-white-vcNuiqvvCa3iQ2B61lYIKIEQ.html?page=3&pos=5&cur_pos=5&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=44
Suzuki,Alto,"KSh 700,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-alto-660cc-awd-2017-black-fqlvJWJvJx3L0SVNE7ODKfN6.html?page=3&pos=8&cur_pos=8&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=47
Mazda,Scrum,"KSh 700,000","Mombasa, Mombasa CBD, 1 hour ago",2014,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-scrum-0-7-rwd-2014-white-flOxtTNF92WaJ5lUGQlM72FI.html?page=3&pos=11&cur_pos=11&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=50
Mazda,Flair,"KSh 700,000","Mombasa, Mombasa CBD, 1 hour ago",2015,69000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-flair-2015-silver-pzQ25vzHOs5peL9kKOYll9ml.html?page=3&pos=14&cur_pos=14&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=53
Honda,Acty,"KSh 700,000","Mombasa, Mombasa CBD, 49 min ago",2015,78000 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/honda-acty-2015-white-3QSnYLf0RSdQpCkyTScLHIo7.html?page=3&pos=17&cur_pos=17&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=56
Honda,Fit,"KSh 700,000","Nairobi, Ngara, 1 hour ago",2013,108787 km,CVT,Blue,Local Used,https://jiji.co.ke/ngara/cars/honda-fit-2013-blue-zbYNNJWwhcd884x9eOaCeZYM.html?page=3&pos=20&cur_pos=20&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=59
Toyota,Probox,"KSh 700,000","Nyeri, Nyeri Town, 15 hours ago",2016,104366 km,Automatic,,Local Used,https://jiji.co.ke/nyeri-town/cars/toyota-probox-1-5-dx-2wd-2016-silver-5LCDJDBwZZXRF4hVqQkrNNOc.html?page=4&pos=3&cur_pos=3&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=62
Suzuki,Swift,"KSh 700,000","Nairobi, Donholm, 1 hour ago",2014,,Automatic,Red,Local Used,https://jiji.co.ke/lower-savannah/cars/suzuki-swift-sport-2014-red-nfxwtx9uK9MAKdjVnpurwZHy.html?page=4&pos=6&cur_pos=6&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=65
Toyota,Vitz,"KSh 700,000","Nairobi, Langata, 44 min ago",2015,103000 km,Automatic,,Local Used,https://jiji.co.ke/mugumo-ini-langata/cars/toyota-vitz-1-3-fwd-5dr-2015-beige-32xyqyFWZv9mF2Z4QEbi5nnu.html?page=4&pos=9&cur_pos=9&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=68
Mazda,Carol,"KSh 700,000","Mombasa, Mombasa CBD, 1 hour ago",2018,71348 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-carol-2018-blue-3vM6C5YOQZaWSqWGUFLGO4Ie.html?page=4&pos=12&cur_pos=12&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=71
Toyota,Sienta,"KSh 700,000","Nairobi, Kitisuru, 1 hour ago",2014,265736 km,Automatic,Blue,Local Used,https://jiji.co.ke/kitisuru/cars/toyota-sienta-2014-blue-fzG8UT0MjxpIjeoaTWFKIpTv.html?page=4&pos=14&cur_pos=14&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=73
Daihatsu,HIJET,"KSh 700,000","Mombasa, Ganjoni, 1 hour ago",2014,36500 km,Automatic,White,Foreign Used,https://jiji.co.ke/ganjoni/cars/daihatsu-hijet-2014-white-lflrHPiIIPwv0UDcQeKsZ97F.html?page=4&pos=17&cur_pos=17&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=76
Nissan,March,"KSh 700,000","Mombasa, Ganjoni, 55 min ago",2016,104000 km,Automatic,White,Foreign Used,https://jiji.co.ke/ganjoni/cars/nissan-march-2016-white-oHJGCjmCmZbeTnK1MRGsIUUD.html?page=4&pos=20&cur_pos=20&ads_per_page=20&ads_count=2221&lid=0ZjGc5UaWR3iuHcf&indexPosition=79
