Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Mazda,Atenza,"KSh 2,290,000","Mombasa, Mombasa CBD, 1 hour ago",2016,76000 km,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-atenza-2016-red-2OXJb2P5BQplqTeBYPIbDnT3.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=22661&lid=0K3go3c-Rt9jVgcJ&indexPosition=0
Subaru,Exiga,"KSh 2,290,000","Nakuru, Nakuru Town East, 2 hours ago",2017,136000 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/nakuru-east/cars/subaru-exiga-2017-blue-xnAMJPAuNMGHmghRsTaZfLWp.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=22661&lid=0K3go3c-Rt9jVgcJ&indexPosition=3
Mazda,CX-3,"KSh 2,290,000","Nairobi, Runda, 1 hour ago",2017,,Automatic,Gray,Foreign Used,https://jiji.co.ke/karura/cars/mazda-cx-3-2017-gray-jMX6y9av0Rf8EtE0yf6phMy0.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=22661&lid=0K3go3c-Rt9jVgcJ&indexPosition=6
Nissan,X-Trail,"KSh 2,290,000","Nairobi, Kilimani, 2 hours ago",2016,,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-x-trail-2016-black-rgx0cv4wOP8Lx440wVrO5mgo.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=22661&lid=0K3go3c-Rt9jVgcJ&indexPosition=9
Honda,Vezel,"KSh 2,290,000","Nairobi, Ridgeways, 2 hours ago",2017,,Automatic,Black,Local Used,https://jiji.co.ke/ridgeways/cars/honda-vezel-2017-black-tYVKoXB2jmWgQQWizSVJlNB1.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=22661&lid=0K3go3c-Rt9jVgcJ&indexPosition=12
Subaru,Legacy,"KSh 2,290,000","Nairobi, Kilimani, 1 hour ago",2017,,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/subaru-legacy-2017-black-BJO16pc6CHcQoFx7CTwDnouC.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=22661&lid=0K3go3c-Rt9jVgcJ&indexPosition=15
Mazda,CX-3,"KSh 2,290,000","Nairobi, Kilimani, 2 hours ago",2017,84000 km,Automatic,White,Foreign Used,https://jiji.co.ke/kilimani/cars/mazda-cx-3-2017-white-dFYtp03casPTo2F8MTDsUBPm.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=22661&lid=0K3go3c-Rt9jVgcJ&indexPosition=18
Nissan,X-Trail,"KSh 2,290,000","Nairobi, Nairobi Central, 1 hour ago",2017,,Automatic,Black,Foreign Used,https://jiji.co.ke/nairobi-central/cars/nissan-x-trail-2017-black-i7174O7KYZyxq6moF09u1hiy.html?page=2&pos=3&cur_pos=3&ads_per_page=20&ads_count=22661&lid=0K3go3c-Rt9jVgcJ&indexPosition=22
Toyota,Crown,"KSh 2,290,000","Nairobi, Lavington, 1 hour ago",2015,,Automatic,Black,Local Used,https://jiji.co.ke/lavington/cars/toyota-crown-2015-black-lk6JmUMZOLdXUiA5uwyjTZPF.html?page=2&pos=6&cur_pos=6&ads_per_page=20&ads_count=22661&lid=0K3go3c-Rt9jVgcJ&indexPosition=25
BMW,X3,"KSh 2,290,000","Nairobi, Nairobi Central, 1 hour ago",2013,,Automatic,White,Local Used,https://jiji.co.ke/nairobi-central/cars/bmw-x3-2013-white-zXs5RGmGPwpHyCJm5HKtZalo.html?page=2&pos=9&cur_pos=9&ads_per_page=20&ads_count=22661&lid=0K3go3c-Rt9jVgcJ&indexPosition=28
