Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Mazda,Axela,"KSh 2,099,000","Nairobi, Kilimani, 1 hour ago",2018,114000 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/kilimani/cars/mazda-axela-2018-blue-hlbzmh1oz3EWRHYOrWDkEBX8.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=21138&lid=sfVfQT1C7ypRdRu6&indexPosition=0
Toyota,Corolla Hatchback,"KSh 2,099,000","Nairobi, Kilimani, 1 hour ago",2019,122000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-corolla-hatchback-2019-silver-k1ASLxgf34055dCigZ4xU46Q.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=21138&lid=sfVfQT1C7ypRdRu6&indexPosition=3
Toyota,Mark X,"KSh 2,099,000","Nairobi, Nairobi Central, 1 hour ago",2018,115000 km,Automatic,White,Foreign Used,https://jiji.co.ke/nairobi-central/cars/toyota-mark-x-2018-white-ad7Igpw8yyJ88W6EE9iplVYy.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=21138&lid=sfVfQT1C7ypRdRu6&indexPosition=6
Toyota,Corolla Fielder,"KSh 2,095,000","Nairobi, Runda, 1 hour ago",2018,59000 km,Automatic,Burgundy,Local Used,https://jiji.co.ke/karura/cars/toyota-corolla-fielder-1-5-hybrid-fwd-2018-burgundy-vct5M6cc3jOReI0zEz99Drbo.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=21138&lid=sfVfQT1C7ypRdRu6&indexPosition=9
Toyota,Corolla,"KSh 2,095,000","Nairobi, Nairobi Central, 40 min ago",2018,25000 km,Automatic,Red,Foreign Used,https://jiji.co.ke/nairobi-central/cars/toyota-corolla-2018-red-nAgKX8HTLLC9X8zvdN03AcsR.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=21138&lid=sfVfQT1C7ypRdRu6&indexPosition=12
Mazda,Axela,"KSh 2,090,000","Nairobi, Ridgeways, 1 hour ago",2018,,Automatic,Blue,Foreign Used,https://jiji.co.ke/ridgeways/cars/mazda-axela-2018-blue-uDJhAJ9s3elfBW4JupR5Ayrp.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=21138&lid=sfVfQT1C7ypRdRu6&indexPosition=15
Mazda,Axela,"KSh 2,090,000","Kiambu, Kiambu / Kiambu , 55 min ago",2018,97000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/kiambu-kiambu/cars/mazda-axela-2018-silver-oAdiKGYUq00JDwi4WAkAgRoh.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=21138&lid=sfVfQT1C7ypRdRu6&indexPosition=18
Volvo,V40,"KSh 2,080,000","Nairobi, Runda, 41 min ago",2016,,Automatic,Red,Foreign Used,https://jiji.co.ke/karura/cars/volvo-v40-2016-red-tNX1w5MQUy6fsFChPd7TGhzF.html?page=2&pos=4&cur_pos=4&ads_per_page=20&ads_count=21138&lid=sfVfQT1C7ypRdRu6&indexPosition=23
Toyota,Wish,"KSh 2,080,000","Nairobi, Kilimani, 43 min ago",2017,103000 km,Automatic,Beige,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-wish-2017-beige-r0W3GKP8thhypFrYGOpdCx4e.html?page=2&pos=7&cur_pos=7&ads_per_page=20&ads_count=21138&lid=sfVfQT1C7ypRdRu6&indexPosition=26
BMW,218i,"KSh 2,080,000","Mombasa, Mombasa CBD, 2 hours ago",2016,,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/bmw-218i-2016-red-wQDcR66bUHzmG7RNCdRxbasn.html?page=2&pos=10&cur_pos=10&ads_per_page=20&ads_count=21138&lid=sfVfQT1C7ypRdRu6&indexPosition=29
