Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Lexus,RX 200,"KSh 5,740,000","Mombasa, Mombasa CBD, 1 hour ago",2018,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-rx-200-2018-black-3clHYJ578adI9oK5XennpfW1.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=0
Land Rover,Range Rover Vogue,"KSh 5,700,007","Nairobi, Nairobi Central, 2 hours ago",2014,,Automatic,Matt Black,Local Used,https://jiji.co.ke/nairobi-central/cars/land-rover-range-rover-vogue-2014-matt-black-aFSnnHEuNz8or0kTljgCEoa3.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=3
Toyota,Land Cruiser,"KSh 5,700,000","Mombasa, Ganjoni, 1 hour ago",2015,86532 km,Automatic,Black,Local Used,https://jiji.co.ke/ganjoni/cars/toyota-land-cruiser-2015-black-fEoqDxM3hLcpStDv1WNHqiKM.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=6
Lexus,RX 300,"KSh 5,700,000","Nairobi, Kilimani, 1 hour ago",2018,94255 km,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/lexus-rx-300-2018-black-jYSBSJqQSnaL81S53oSYPQmQ.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=9
Toyota,Hilux,"KSh 5,700,000","Mombasa, Mombasa CBD, 43 min ago",2018,32963 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-hilux-2018-blue-tBZ93zte5vNW5xvr1uYjUKCt.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=12
Toyota,Hilux,"KSh 5,700,000","Mombasa, Mombasa CBD, 2 hours ago",2018,63337 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-hilux-2018-blue-qa5v77JJXyWZLoTyqeJQUTLg.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=15
Toyota,Fortuner,"KSh 5,700,000","Nairobi, Parklands/Highridge, 2 hours ago",2016,,Automatic,Black,Foreign Used,https://jiji.co.ke/parklands-highridge/cars/toyota-fortuner-2016-black-6jp3GZA2sVXXXDCLvpapAZVi.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=18
Mercedes-Benz,GLC-Class,"KSh 5,700,000","Mombasa, Mombasa CBD, 1 hour ago",2017,38000 km,Automatic,Pearl,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-glc-class-2017-pearl-4bahQ0sFbyPCVa9sG7RkWVm.html?page=2&pos=2&cur_pos=2&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=21
Toyota,Land Cruiser Prado,"KSh 5,700,000","Mombasa, Mombasa CBD, 1 hour ago",2014,89000 km,Automatic,Off white,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-prado-2014-off-white-f61O6whSqDL0ozIrWlODeoDc.html?page=2&pos=5&cur_pos=5&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=24
Toyota,FJ Cruiser,"KSh 5,700,000","Mombasa, Mombasa CBD, 1 hour ago",2015,,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-fj-cruiser-2015-white-s1wwvdi6ypkeURQpn6cRzI6p.html?page=2&pos=8&cur_pos=8&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=27
Land Rover,Range Rover Evoque,"KSh 5,700,000","Nairobi, Kilimani, 2 hours ago",2018,,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/land-rover-range-rover-evoque-hse-dynamic-4x4-5-door-2018-black-smyjSj8L9GJ9DhxDkajClVck.html?page=2&pos=10&cur_pos=10&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=29
Ford,Ranger,"KSh 5,700,000","Mombasa, Mombasa CBD, 1 hour ago",2016,45000 km,Automatic,Off white,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/ford-ranger-2016-off-white-sBF3uio7xEHA6lcj8GZnfwqL.html?page=2&pos=13&cur_pos=13&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=32
Lexus,RX 200,"KSh 5,700,000","Nairobi, 1 hour ago",2017,,Automatic,Black,Foreign Used,https://jiji.co.ke/nairobi/cars/lexus-rx-200-2017-black-2Y3VpIaiYSYAw2jJ3IsU9jcH.html?page=2&pos=16&cur_pos=16&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=35
Toyota,Hilux,"KSh 5,700,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-hilux-2017-black-8y3aIpNeA36l2UL9D0U9nF1R.html?page=2&pos=19&cur_pos=19&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=38
Toyota,Hilux,"KSh 5,700,000","Mombasa, Mombasa CBD, 39 min ago",2018,,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-hilux-2018-red-CjX2x9AxhS63oOsHWDyiKer3.html?page=3&pos=2&cur_pos=2&ads_per_page=20&ads_count=38792&lid=_rDXhb3NOoMV5xUo&indexPosition=41
