Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Nissan,Serena,"KSh 1,249,000","Nairobi, Ridgeways, 2 hours ago",2016,,Automatic,White,Local Used,https://jiji.co.ke/ridgeways/cars/nissan-serena-2016-white-1h7n6uMwdAzkfHEzH3AK2svD.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=0
Toyota,Succeed,"KSh 1,249,000","Nairobi, Kilimani, 2 hours ago",2017,,Automatic,White,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-succeed-2017-white-4ce7xZY81sa9n9KCNI6GnDga.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=3
Mazda,Demio,"KSh 1,249,000","Nairobi, Karen, 3 hours ago",2017,95000 km,Automatic,White,Foreign Used,https://jiji.co.ke/karen/cars/mazda-demio-2017-white-uqcAqzrhdz5eEOvAnYmyz5rp.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=6
Honda,Fit,"KSh 1,245,000","Mombasa, Mombasa CBD, 2 hours ago",2016,,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/honda-fit-2016-blue-aQenpPJHV8Vtk1hrAoNG2yxJ.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=9
Toyota,Vitz,"KSh 1,245,000","Nairobi, Kilimani, 2 hours ago",2019,101000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-vitz-2019-silver-1pNfyGvx7ASBbU0p5tDAa7Yc.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=12
Toyota,Corolla Fielder,"KSh 1,240,000","Nairobi, Upperhill, 3 hours ago",2014,161334 km,Automatic,White,Local Used,https://jiji.co.ke/upperhill/cars/toyota-corolla-fielder-1-5-hybrid-fwd-2014-white-x4FFTZ8XtC3uq5cPgZkDRL8l.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=15
Toyota,Voxy,"KSh 1,240,000","Nairobi, Nairobi Central, 2 hours ago",2012,142000 km,Automatic,Silver,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-voxy-2012-silver-mejapY7NAjenioFWRXBmfJ4p.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=18
Nissan,Hardbody,"KSh 1,240,000","Nairobi, Parklands/Highridge, 3 hours ago",2014,,Manual,White,Local Used,https://jiji.co.ke/parklands-highridge/cars/nissan-hardbody-2014-white-BwlgFvwz7Hi4qPvzsmnQ4kam.html?page=2&pos=3&cur_pos=3&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=22
Toyota,TownAce,"KSh 1,240,000","Mombasa, Mombasa CBD, 1 hour ago",2016,54000 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-townace-2016-blue-fvQtvJFINPPMBMcbUxf8Id9F.html?page=2&pos=8&cur_pos=8&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=27
Toyota,Rush,"KSh 1,240,000","Nairobi, Nairobi Central, 3 hours ago",2010,,Automatic,Silver,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-rush-2010-silver-vMIENEuftgzdWWCo0Ta2kbR.html?page=2&pos=10&cur_pos=10&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=29
Subaru,Impreza,"KSh 1,240,000","Nairobi, Nairobi Central, 2 hours ago",2008,,Automatic,Blue,Local Used,https://jiji.co.ke/nairobi-central/cars/subaru-impreza-2008-blue-irpwDEZFIcVNrbLFbTntw66N.html?page=2&pos=14&cur_pos=14&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=33
Mercedes-Benz,C200,"KSh 1,239,007","Nairobi, Nairobi Central, 3 hours ago",2008,,Automatic,Silver,Local Used,https://jiji.co.ke/nairobi-central/cars/mercedes-benz-c200-2008-silver-tHjfKZ5zjXjDeRzIcoSV89tr.html?page=2&pos=16&cur_pos=16&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=35
Mazda,Demio,"KSh 1,239,000","Nairobi, Ridgeways, 2 hours ago",2017,,Manual,Red,Foreign Used,https://jiji.co.ke/ridgeways/cars/mazda-demio-2017-red-5HiOdug8pBv14MreKjEsoZgu.html?page=2&pos=19&cur_pos=19&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=38
Honda,Fit,"KSh 1,235,000","Mombasa, Mombasa CBD, 2 hours ago",2016,45284 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/honda-fit-2016-white-svIBT6ANwkXoeSX4Hibb3lSI.html?page=3&pos=2&cur_pos=2&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=41
Toyota,Vitz,"KSh 1,235,000","Nairobi, Nairobi Central, 2 hours ago",2019,91287 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/nairobi-central/cars/toyota-vitz-2019-silver-3poLpuTP8bYfMGkNdg9eahAG.html?page=3&pos=5&cur_pos=5&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=44
Toyota,Aqua,"KSh 1,230,000","Nairobi, Kilimani, 15 hours ago",2016,86000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-aqua-2016-silver-7McmkPp2BA9QVfHodXZ0eQjK.html?page=3&pos=8&cur_pos=8&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=47
Toyota,Vitz,"KSh 1,230,000","Mombasa, Mombasa CBD, 11 hours ago",2018,65322 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-vitz-2018-blue-5ndOJh26C4hbc3GaT6xSJeSS.html?page=3&pos=11&cur_pos=11&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=50
Toyota,Vitz,"KSh 1,230,000","Mombasa, Mombasa CBD, 2 hours ago",2016,79000 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-vitz-2016-white-fSyZQvDSmTUqUnvYAFeAKs5Q.html?page=3&pos=14&cur_pos=14&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=53
Toyota,Crown,"KSh 1,230,000","Mombasa, Tudor, 11 hours ago",2012,,Automatic,Off white,Local Used,https://jiji.co.ke/tudor/cars/toyota-crown-2012-off-white-45xXIrLU0EtmV35lbe8GT7wM.html?page=3&pos=17&cur_pos=17&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=56
Toyota,Wish,"KSh 1,230,000","Mombasa, Tudor, 11 hours ago",2013,,Automatic,White,Local Used,https://jiji.co.ke/tudor/cars/toyota-wish-2013-white-nJsgFF5hm5hHLUVluZgswPU3.html?page=3&pos=20&cur_pos=20&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=59
Nissan,Note,"KSh 1,230,000","Mombasa, Mombasa CBD, 49 min ago",2016,66000 km,Automatic,Pearl,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-note-1-2-petrol-2016-pearl-sawYUpTq3iCu7dYBe2s66pix.html?page=4&pos=3&cur_pos=3&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=62
Nissan,Note,"KSh 1,230,000","Nairobi, Ridgeways, 2 hours ago",2017,127000 km,Automatic,Brown,Foreign Used,https://jiji.co.ke/ridgeways/cars/nissan-note-2017-brown-2wkSISTtIgocSEYCVrgyPeDF.html?page=4&pos=6&cur_pos=6&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=65
Toyota,Roomy,"KSh 1,230,000","Nairobi, Kilimani, 3 hours ago",2017,,AMT,,Local Used,https://jiji.co.ke/kilimani/cars/toyota-roomy-1-0-fwd-2017-white-aGgNygkxryMkh5hZ2OIBIKiR.html?page=4&pos=9&cur_pos=9&ads_per_page=20&ads_count=2939&lid=ecB6CctWJpIwZGR8&indexPosition=68
