Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Nissan,Juke,"KSh 829,000","Nairobi, Kilimani, 1 hour ago",2012,,Automatic,White,Local Used,https://jiji.co.ke/kilimani/cars/nissan-juke-2012-white-nsmlTNqT5kHe0FcGrUl7wH4n.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=3744&lid=v-2MDMlLASOpr7jK&indexPosition=0
Mazda,Axela,"KSh 829,000","Nairobi, Ridgeways, 1 hour ago",2012,,Automatic,Gray,Local Used,https://jiji.co.ke/ridgeways/cars/mazda-axela-2012-gray-oOm3ICcYNJt1sb35XWMqlAkp.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=3744&lid=v-2MDMlLASOpr7jK&indexPosition=3
Honda,Acty,"KSh 825,000","Mombasa, Nyali, 1 hour ago",2018,,Automatic,Silver,Foreign Used,https://jiji.co.ke/nyali/cars/honda-acty-2018-silver-r4C7VLX7Tuli8NY46Jgd7EGW.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=3744&lid=v-2MDMlLASOpr7jK&indexPosition=6
Mitsubishi,EK Sport,"KSh 825,000","Mombasa, Nyali, 1 hour ago",2017,,Automatic,Pink,Foreign Used,https://jiji.co.ke/nyali/cars/mitsubishi-ek-sport-2017-pink-zQKG5DJ5q2wzKHmVgu0Z5GmS.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=3744&lid=v-2MDMlLASOpr7jK&indexPosition=9
Daihatsu,Mira,"KSh 825,000","Nairobi, 1 hour ago",2016,,Automatic,White,Foreign Used,https://jiji.co.ke/nairobi/cars/daihatsu-mira-2016-white-lakme1Amo1NEeR0BQZ12FsZ3.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=3744&lid=v-2MDMlLASOpr7jK&indexPosition=12
Nissan,Note,"KSh 825,000","Nairobi, Embakasi, 7 hours ago",2016,,Automatic,Black,Local Used,https://jiji.co.ke/embakasi/cars/nissan-note-2016-black-i6FMSpvuY1VjSO5WjqA7Kud1.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=3744&lid=v-2MDMlLASOpr7jK&indexPosition=15
Toyota,Allion,"KSh 820,200","Nairobi, Langata, 1 hour ago",2010,,Automatic,Gray,Local Used,https://jiji.co.ke/mugumo-ini-langata/cars/toyota-allion-2010-gray-5ISzTMQaRLDonomueXKJhrJb.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=3744&lid=v-2MDMlLASOpr7jK&indexPosition=18
Subaru,Impreza,"KSh 820,000","Nairobi, Roysambu, 1 hour ago",2010,,Automatic,Gray,Local Used,https://jiji.co.ke/roysambu/cars/subaru-impreza-2010-gray-uatqtJ2bUGxSiJDUxrnsb1OH.html?page=2&pos=4&cur_pos=4&ads_per_page=20&ads_count=3744&lid=v-2MDMlLASOpr7jK&indexPosition=23
Nissan,Advan,"KSh 820,000","Mombasa, Mombasa CBD, 1 hour ago",2016,88000 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-advan-2016-white-xB7wEXINSKx7MV40RguI0LC5.html?page=2&pos=8&cur_pos=8&ads_per_page=20&ads_count=3744&lid=v-2MDMlLASOpr7jK&indexPosition=27
Daihatsu,Move,"KSh 820,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/daihatsu-move-2017-black-pyHALEHK8jgrWDsGWJsJkRue.html?page=2&pos=11&cur_pos=11&ads_per_page=20&ads_count=3744&lid=v-2MDMlLASOpr7jK&indexPosition=30
