Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Mitsubishi,Outlander,"KSh 1,749,000","Nairobi, Ridgeways, 2 hours ago",2013,,Automatic,Black,Local Used,https://jiji.co.ke/ridgeways/cars/mitsubishi-outlander-2013-black-maBbhs4RevQYPGwbd8Yp1b7e.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=0
Toyota,Hilux,"KSh 1,749,000","Nairobi, Kasarani, 1 hour ago",2010,177201 km,Manual,,Local Used,https://jiji.co.ke/kasarani/cars/toyota-hilux-2-5-d-4d-srx-2010-gray-z5U5EvWOTsBVb9yTzzcurYWS.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=3
BMW,118i,"KSh 1,745,000","Mombasa, Mombasa CBD, 44 min ago",2017,,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/bmw-118i-2017-white-1EtxfwDGYHzqssO5CwhOoNs.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=6
,,,,,,,,,https://jiji.co.ke/mombasa-cbd/cars/mazda-axela-2017-black-hY5BDuM1B2bVFpyMfT0kmJSV.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=9
Toyota,Corolla Fielder,"KSh 1,740,000","Nairobi, Westlands, 2 hours ago",2018,,Automatic,Silver,Foreign Used,https://jiji.co.ke/westlands/cars/toyota-corolla-fielder-2018-silver-cKw9x1TVafFPALBnQ9XMF3GS.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=12
Mazda,CX-5,"KSh 1,740,000","Nairobi, Mombasa Road, 1 hour ago",2014,,Automatic,Red,Local Used,https://jiji.co.ke/mombasa-road/cars/mazda-cx-5-2014-red-biXtUBAp0MaE05hCN9QQ76xo.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=15
Toyota,Land Cruiser Prado,"KSh 1,740,000","Nairobi, Muthaiga, 5 hours ago",2003,,Automatic,,Local Used,https://jiji.co.ke/muthaiga/cars/toyota-land-cruiser-prado-2-7-5dr-2003-silver-l0gM70FK5u64y2MPihgjvvMf.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=18
Toyota,Axio,"KSh 1,735,000","Nairobi, Dagoretti, 1 hour ago",2018,78000 km,Automatic,White,Foreign Used,https://jiji.co.ke/dagoretti/cars/toyota-axio-2018-white-kF9XlJQziSsGQMwDfp61eyM4.html?page=2&pos=4&cur_pos=4&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=23
Subaru,Levorg,"KSh 1,730,000","Nairobi, Kilimani, 23 hours ago",2016,108563 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/subaru-levorg-1-6-gt-s-eyesight-s-style-2016-silver-zXJDBNBUG8wC0OIRko9BfBm0.html?page=2&pos=7&cur_pos=7&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=26
Mazda,CX-5,"KSh 1,730,000","Mombasa, Tudor, 1 hour ago",2015,,Automatic,Black,Local Used,https://jiji.co.ke/tudor/cars/mazda-cx-5-2015-black-pGhsGW1frqkdbdRoNQEakEXv.html?page=2&pos=10&cur_pos=10&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=29
Nissan,Juke,"KSh 1,730,000","Nairobi, Kilimani, 1 hour ago",2018,134000 km,CVT,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-juke-2018-black-eJHc98rDWlcfruhfQMg17fJe.html?page=2&pos=14&cur_pos=14&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=33
Toyota,Vanguard,"KSh 1,730,000","Kiambu, Ruaka, 2 hours ago",2010,,Automatic,Black,Local Used,https://jiji.co.ke/ruaka-banana/cars/toyota-vanguard-2010-black-nrK7Cm3e5ahDxAlyEvKNN8yM.html?page=2&pos=17&cur_pos=17&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=36
Toyota,Hilux,"KSh 1,730,000","Nairobi, Kasarani, 1 hour ago",2010,,Manual,Gray,Local Used,https://jiji.co.ke/kasarani/cars/toyota-hilux-2010-gray-oQXpMNotttU9aiKbw62zNLEr.html?page=2&pos=20&cur_pos=20&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=39
Mazda,Axela,"KSh 1,730,000","Nairobi, Runda, 2 hours ago",2017,87412 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/karura/cars/mazda-axela-2017-silver-v1Xv2PXGbvkp2QPlPkZq83Yh.html?page=3&pos=3&cur_pos=3&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=42
Honda,Fit Shuttle,"KSh 1,730,000","Nairobi, Ridgeways, 1 hour ago",2017,,Automatic,Silver,Foreign Used,https://jiji.co.ke/ridgeways/cars/honda-fit-shuttle-2017-silver-eSjrR6WimFRLH7cCNjVhXHzE.html?page=3&pos=6&cur_pos=6&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=45
Toyota,Harrier,"KSh 1,730,000","Nairobi, Nairobi Central, 4 hours ago",2013,,Automatic,Black,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-harrier-2013-black-kgvZWN51E6MU8mxIiZNaZLnL.html?page=3&pos=9&cur_pos=9&ads_per_page=20&ads_count=17816&lid=yCcrC4bRPMPPOVdq&indexPosition=48
