Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Nissan,Teana,"KSh 1,925,000","Nairobi, Kilimani, 52 min ago",2017,97000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-teana-2017-silver-XXLbkr7xVpcUrtPHKfwPIsP.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=0
Volkswagen,Beetle,"KSh 1,920,000","Mombasa, Mombasa CBD, 19 min ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-beetle-1-8t-classic-hatchback-2017-red-m70Zk8NGbbXUIUV0PGIEdpDm.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=3
Mazda,Axela,"KSh 1,920,000","Nairobi, Ridgeways, 1 hour ago",2018,86000 km,Automatic,Pearl,Foreign Used,https://jiji.co.ke/ridgeways/cars/mazda-axela-2018-pearl-3uAXYAtRzNsuHJlhtXRGWRgB.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=6
Volkswagen,Tiguan,"KSh 1,920,000","Nairobi, Runda, 3 hours ago",2013,136245 km,Automatic,Gray,Local Used,https://jiji.co.ke/karura/cars/volkswagen-tiguan-2013-gray-zyWddOEXobdifFr8EHCpNI9c.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=9
Subaru,Impreza,"KSh 1,920,000","Nairobi, Ridgeways, 35 min ago",2018,,Automatic,Silver,Foreign Used,https://jiji.co.ke/ridgeways/cars/subaru-impreza-2018-silver-z6B920lScuq0kzHir2bZ6tSE.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=12
Mitsubishi,Pajero,"KSh 1,920,000","Nairobi, Karen, 1 hour ago",2007,,Automatic,Black,Local Used,https://jiji.co.ke/karen/cars/mitsubishi-pajero-2007-black-8xbsP474Dn3ZARiVLmzry0I3.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=15
Mitsubishi,Pajero,"KSh 1,920,000","Kiambu, Ruaka, 31 min ago",2007,,Automatic,Black,Local Used,https://jiji.co.ke/ruaka-banana/cars/mitsubishi-pajero-2007-black-dcgP40S6V9GqMrxCdGg9IX4F.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=18
Volvo,S80,"KSh 1,900,000","Nairobi, Kilimani, 12 hours ago",2015,118000 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/volvo-s80-t6-4dr-sedan-awd-w-prod-end-6-14-3-0l-6cyl-turbo-6a-2015-gfTkB8y8gxAVjJXP381A3RJu.html?page=2&pos=4&cur_pos=4&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=23
Toyota,Corolla Fielder,"KSh 1,900,000","Nairobi, Kilimani, 1 hour ago",2018,108000 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-corolla-fielder-2018-blue-4cUxhoZVKcH42jHeImGmszoK.html?page=2&pos=6&cur_pos=6&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=25
Peugeot,2008,"KSh 1,900,000","Mombasa, Mombasa CBD, 42 min ago",2017,68000 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/peugeot-2008-1-6-bluehd-120-hp-2017-burgundy-8Bw2lcK2k6tf0VpWxtRwZaFu.html?page=2&pos=9&cur_pos=9&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=28
Toyota,Wish,"KSh 1,900,000","Nairobi, Upperhill, 40 min ago",2016,,Automatic,Silver,Foreign Used,https://jiji.co.ke/upperhill/cars/toyota-wish-2016-silver-iLO2bHHTwOOH9ofK1AUvmDKA.html?page=2&pos=12&cur_pos=12&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=31
Peugeot,308,"KSh 1,900,000","Nairobi, Ridgeways, 18 min ago",2017,,Automatic,Blue,Foreign Used,https://jiji.co.ke/ridgeways/cars/peugeot-308-2017-blue-pBJsHf35pRxjy57E0CN4kWfd.html?page=2&pos=15&cur_pos=15&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=34
Mazda,CX-3,"KSh 1,900,000","Mombasa, Mombasa CBD, 55 min ago",2018,56321 km,Automatic,Beige,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-cx-3-2018-beige-942FPKpTazlLqE9NnZlXBf1h.html?page=2&pos=18&cur_pos=18&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=37
Nissan,Serena,"KSh 1,900,000","Nairobi, Kilimani, 1 hour ago",2017,,Automatic,Red,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-serena-2017-red-mPuM8kEG5Q9Bj4lir0jFoCXZ.html?page=3&pos=1&cur_pos=1&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=40
Volvo,V40,"KSh 1,900,000","Mombasa, Mombasa CBD, 38 min ago",2018,77000 km,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volvo-v40-2018-red-94MI1J19HFA4dmZXydBGK49l.html?page=3&pos=4&cur_pos=4&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=43
Nissan,X-Trail,"KSh 1,900,000","Mombasa, Mombasa CBD, 1 hour ago",2014,120000 km,Automatic,,Local Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-x-trail-2-0-petrol-awd-2014-black-klSg8FtSuAiWcrbwU6f1Yucg.html?page=3&pos=7&cur_pos=7&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=46
Mazda,CX-3,"KSh 1,900,000","Mombasa, Mombasa CBD, 42 min ago",2018,56321 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-cx-3-2018-blue-kZZxNKvBtms0HaIsNiUIIMqR.html?page=3&pos=10&cur_pos=10&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=49
Toyota,Wish,"KSh 1,900,000","Mombasa, Mombasa CBD, 36 min ago",2017,59000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-wish-2017-black-38twbJCIMp1RQTdysUN50FPC.html?page=3&pos=13&cur_pos=13&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=52
Subaru,Impreza,"KSh 1,900,000","Mombasa, Mombasa CBD, 1 hour ago",2018,72000 km,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/subaru-impreza-2018-gray-hjdfj13S2ulUHJ2DY7tdC83W.html?page=3&pos=16&cur_pos=16&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=55
Toyota,Prius,"KSh 1,900,000","Nairobi, Kilimani, 48 min ago",2017,134970 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-prius-2017-silver-tKcFFA41WYvrzMXNrTUtULza.html?page=3&pos=19&cur_pos=19&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=58
Mazda,CX-3,"KSh 1,900,000","Mombasa, Mombasa CBD, 1 hour ago",2016,102000 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-cx-3-grand-touring-2016-off-white-5RzY4FxpLo7lAAxumOdXPiG5.html?page=4&pos=2&cur_pos=2&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=61
Nissan,Serena,"KSh 1,900,000","Mombasa, Mombasa CBD, 43 min ago",2018,68000 km,Automatic,Burgundy,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-serena-2018-burgundy-48aOl47YsBiybEhD4pPlKwvX.html?page=4&pos=5&cur_pos=5&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=64
Nissan,X-Trail,"KSh 1,900,000","Nairobi, Ridgeways, 24 min ago",2015,,Automatic,Silver,Local Used,https://jiji.co.ke/ridgeways/cars/nissan-x-trail-2015-silver-p7htrd9pN2ScLlNC2EAHbgKz.html?page=4&pos=7&cur_pos=7&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=66
Toyota,Estima,"KSh 1,900,000","Mombasa, Mombasa CBD, 36 min ago",2016,96480 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-estima-2016-silver-wwTewT3DUNzvFx4PzCw6yKRA.html?page=4&pos=9&cur_pos=9&ads_per_page=20&ads_count=19872&lid=ty1kTXq4RtEwfd5D&indexPosition=68
