Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Honda,Vezel,"KSh 2,470,000","Nairobi, Nairobi Central, 1 hour ago",2018,,Automatic,,Foreign Used,https://jiji.co.ke/nairobi-central/cars/honda-vezel-1-5-2wd-2018-silver-5ttwkhxlw9s7myi8XlsIYBkf.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=24784&lid=iryyMg_TSMFavu_x&indexPosition=0
Nissan,X-Trail,"KSh 2,470,000","Mombasa, Mombasa CBD, 1 hour ago",2018,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-x-trail-2-0-petrol-awd-2018-white-uJJhENMWc0I4TMDDLPdIPHPG.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=24784&lid=iryyMg_TSMFavu_x&indexPosition=3
Nissan,X-Trail,"KSh 2,465,000","Nairobi, Kilimani, 2 hours ago",2018,104000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-x-trail-2018-black-8jAZIc0t1RIaTFjntcyt47A1.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=24784&lid=iryyMg_TSMFavu_x&indexPosition=6
Honda,Vezel,"KSh 2,460,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/honda-vezel-2017-gray-ChNGsg2qubSlPsvqZQvhG71v.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=24784&lid=iryyMg_TSMFavu_x&indexPosition=9
Honda,Vezel,"KSh 2,455,000","Nairobi, Nairobi Central, 2 hours ago",2018,55046 km,Automatic,Black,Foreign Used,https://jiji.co.ke/nairobi-central/cars/honda-vezel-2018-black-AYiCdQVsKlzIbFWdqAUI0as6.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=24784&lid=iryyMg_TSMFavu_x&indexPosition=12
Mazda,CX-5,"KSh 2,450,000","Mombasa, Jomvu, 1 hour ago",2016,98000 km,Automatic,White,Foreign Used,https://jiji.co.ke/jomvu/cars/mazda-cx-5-2016-white-cZeMGV5YH5ssZYB5tBzpJGYf.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=24784&lid=iryyMg_TSMFavu_x&indexPosition=15
Honda,Vezel,"KSh 2,450,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/honda-vezel-2017-black-p2D3QLDIiaMlYdnJ4WkQh1gn.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=24784&lid=iryyMg_TSMFavu_x&indexPosition=18
Nissan,X-Trail,"KSh 2,450,000","Nairobi, Kilimani, 5 hours ago",2016,,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-x-trail-2016-black-1DlP8YTPzU7uyFJP240x0KGb.html?page=2&pos=2&cur_pos=2&ads_per_page=20&ads_count=24784&lid=iryyMg_TSMFavu_x&indexPosition=21
Honda,Vezel,"KSh 2,450,000","Mombasa, Mombasa CBD, 1 hour ago",2017,85214 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/honda-vezel-2017-white-kTaWgtHYJmlxAmaGyWkUOSZJ.html?page=2&pos=5&cur_pos=5&ads_per_page=20&ads_count=24784&lid=iryyMg_TSMFavu_x&indexPosition=24
Honda,Vezel,"KSh 2,450,000","Nairobi, Kilimani, 4 hours ago",2017,92800 km,Automatic,Black,Local Used,https://jiji.co.ke/kilimani/cars/honda-vezel-2017-black-1sDICj6BYsMyLrrt07JVz3K0.html?page=2&pos=8&cur_pos=8&ads_per_page=20&ads_count=24784&lid=iryyMg_TSMFavu_x&indexPosition=27
Volkswagen,Passat,"KSh 2,450,000","Mombasa, Mombasa CBD, 1 hour ago",2016,108075 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-passat-2016-black-ByrY9GbsEfUVFDbZnkKrMOEq.html?page=2&pos=11&cur_pos=11&ads_per_page=20&ads_count=24784&lid=iryyMg_TSMFavu_x&indexPosition=30
Toyota,Voxy,"KSh 2,450,000","Mombasa, Mombasa CBD, 31 min ago",2016,,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-voxy-2016-gray-aduA6D3BT919bhtSmtY2sQ4W.html?page=2&pos=14&cur_pos=14&ads_per_page=20&ads_count=24784&lid=iryyMg_TSMFavu_x&indexPosition=33
