Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Toyota,Hilux,"KSh 2,249,000","Nairobi, Kasarani, 1 hour ago",2015,133206 km,Manual,Black,Local Used,https://jiji.co.ke/kasarani/cars/toyota-hilux-sr5-4x4-2015-black-Cscj1Uju0aAppekcvLomL4UW.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=0
Toyota,Premio,"KSh 2,245,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-premio-1-5-fwd-2017-black-yyVMnffib2T1FkKjNu4x39YI.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=3
Toyota,Hilux,"KSh 2,240,000","Nairobi, Nairobi Central, 58 min ago",2009,147022 km,Automatic,Black,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-hilux-2009-black-rw0nRyG95CvrYZ0qE3GgxNiC.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=6
Mitsubishi,RVR,"KSh 2,230,000","Nairobi, Kilimani, 52 min ago",2017,91295 km,Automatic,Gray,Foreign Used,https://jiji.co.ke/kilimani/cars/mitsubishi-rvr-2017-gray-BywyYFkXw3nlwChu4uYJ9QOm.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=9
Infiniti,Q50,"KSh 2,230,000","Mombasa, Mombasa CBD, 1 hour ago",2015,50000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/infiniti-q50-2015-black-7qaqrvz8Io0ZR1615zFQErje.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=12
Suzuki,Escudo,"KSh 2,230,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-escudo-2017-white-1BtPQGEPyt2Xx0GINgAduvir.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=15
Volkswagen,Golf,"KSh 2,230,000","Nairobi, Kilimani, 1 hour ago",2018,100000 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/volkswagen-golf-tsi-s-fwd-2018-black-z5EMm029LbQcuE2WIzHwL41h.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=18
Mazda,CX-3,"KSh 2,220,000","Kiambu, Kiambu / Kiambu , 10 hours ago",2018,85000 km,Automatic,White,Foreign Used,https://jiji.co.ke/kiambu-kiambu/cars/mazda-cx-3-2018-white-aiArQhA6ZSpvzczNZMGm7zFc.html?page=2&pos=4&cur_pos=4&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=23
Mercedes-Benz,E250,"KSh 2,200,007","Nairobi, Nairobi Central, 1 hour ago",2012,,Automatic,Matt Black,Local Used,https://jiji.co.ke/nairobi-central/cars/mercedes-benz-e250-2012-matt-black-w216gOVgGdmT5AyZcM98gSHv.html?page=2&pos=7&cur_pos=7&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=26
Volkswagen,Touran,"KSh 2,200,000","Mombasa, Mombasa CBD, 42 min ago",2017,111409 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-touran-2017-silver-BdllzcIm0YoPS9jXzuaUF0Wj.html?page=2&pos=11&cur_pos=11&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=30
Mazda,Atenza,"KSh 2,200,000","Mombasa, Tudor, 1 hour ago",2016,,Automatic,White,Foreign Used,https://jiji.co.ke/tudor/cars/mazda-atenza-2016-white-mGjp2pZHNf6PMuO5FAiBXgao.html?page=2&pos=13&cur_pos=13&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=32
Mazda,CX-3,"KSh 2,200,000","Mombasa, Mombasa CBD, 1 hour ago",2018,63683 km,Automatic,Off white,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-cx-3-2018-off-white-66cUu8bnA9ERpbY756JZ8O84.html?page=2&pos=16&cur_pos=16&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=35
Mitsubishi,RVR,"KSh 2,200,000","Nairobi, Ridgeways, 56 min ago",2015,62000 km,Automatic,Blue,Local Used,https://jiji.co.ke/ridgeways/cars/mitsubishi-rvr-2015-blue-dKoSIMNvnLR0YgdiQiwyxJUZ.html?page=2&pos=19&cur_pos=19&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=38
Mercedes-Benz,GLK-Class,"KSh 2,200,000","Nairobi, Parklands/Highridge, 10 hours ago",2008,,Automatic,Silver,Local Used,https://jiji.co.ke/parklands-highridge/cars/mercedes-benz-glk-class-2008-silver-7WWHMWORoE1FzMNH2FLuCHFD.html?page=3&pos=2&cur_pos=2&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=41
Toyota,Allion,"KSh 2,200,000","Mombasa, Mombasa CBD, 1 hour ago",2018,64000 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-allion-2018-white-win85Cxo3XVOBJYxmO13XCYD.html?page=3&pos=5&cur_pos=5&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=44
Mercedes-Benz,B-Class,"KSh 2,200,000","Nairobi, Kilimani, 52 min ago",2018,59000 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/kilimani/cars/mercedes-benz-b-class-2018-blue-oU3jmVkznbngy2S4YBJy4Sn0.html?page=3&pos=8&cur_pos=8&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=47
Mercedes-Benz,E250,"KSh 2,200,000","Mombasa, Tudor, 1 hour ago",2012,,Automatic,Silver,Local Used,https://jiji.co.ke/tudor/cars/mercedes-benz-e250-2012-silver-f7Y3yTFKRIem2uDZWLX7PC0T.html?page=3&pos=11&cur_pos=11&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=50
Toyota,Noah,"KSh 2,200,000","Nairobi, Ridgeways, 43 min ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/ridgeways/cars/toyota-noah-2-0-awd-8-seater-2017-ivory-33NsROyHFe4lwuaQm1WRe6Bz.html?page=3&pos=15&cur_pos=15&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=54
Toyota,Corolla Fielder,"KSh 2,200,000","Mombasa, Mombasa CBD, 1 hour ago",2018,80452 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-corolla-fielder-2018-black-uUQkzxbpHykBVDdOfjLHZlrM.html?page=3&pos=18&cur_pos=18&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=57
Mazda,CX-5,"KSh 2,200,000","Mombasa, Mombasa CBD, 1 hour ago",2015,75000 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-cx-5-2015-blue-z03fPfPEhc1QS09mDq9X5og2.html?page=4&pos=1&cur_pos=1&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=60
Mazda,CX-5,"KSh 2,200,000","Mombasa, Mombasa CBD, 1 hour ago",2014,56880 km,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-cx-5-2014-red-xkI7KSkNjfgob75pIngxkiEt.html?page=4&pos=4&cur_pos=4&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=63
Toyota,Vellfire,"KSh 2,200,000","Mombasa, Mombasa CBD, 1 hour ago",2014,58652 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-vellfire-2014-blue-pXRvRloLyv4X6IsESTKdlJu6.html?page=4&pos=7&cur_pos=7&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=66
Mitsubishi,RVR,"KSh 2,200,000","Mombasa, Mombasa CBD, 1 hour ago",2016,46800 km,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mitsubishi-rvr-2016-gray-oXw92bnHpfJcKnfzaONdpn7o.html?page=4&pos=10&cur_pos=10&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=69
Mitsubishi,RVR,"KSh 2,200,000","Mombasa, Mombasa CBD, 42 min ago",2015,,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mitsubishi-rvr-2015-red-fb1ZDIbzliO8plqZMBDimO7E.html?page=4&pos=14&cur_pos=14&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=73
Mazda,CX-3,"KSh 2,200,000","Nairobi, Ridgeways, 58 min ago",2017,85000 km,Automatic,,Foreign Used,https://jiji.co.ke/ridgeways/cars/mazda-cx-3-touring-2017-black-2NkGl6mIcthOaL5tOh348mOD.html?page=4&pos=16&cur_pos=16&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=75
Audi,A4,"KSh 2,200,000","Mombasa, Mombasa CBD, 1 hour ago",2015,,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/audi-a4-2015-gray-wgWTFqQp8N4xqYwFJ7HHm8r9.html?page=4&pos=19&cur_pos=19&ads_per_page=20&ads_count=22417&lid=9FUAqeHwcwB6j_BK&indexPosition=78
Toyota,Sai,"KSh 2,200,000","Mombasa, Mombasa CBD, 1 hour ago",2016,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-sai-2-4-hybrid-fwd-2016-white-v6aiHujW7veVKHzPU5EKalEs.html?page=5&pos=2&cur_pos=2&ads_per_page=20&ads_count=22415&lid=9FUAqeHwcwB6j_BK&indexPosition=81
Mitsubishi,RVR,"KSh 2,200,000","Mombasa, Mombasa CBD, 48 min ago",2017,23828 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mitsubishi-rvr-2017-silver-aiRS6lD6u04RcFMLWIv29IR5.html?page=5&pos=6&cur_pos=6&ads_per_page=20&ads_count=22415&lid=9FUAqeHwcwB6j_BK&indexPosition=85
Nissan,X-Trail,"KSh 2,200,000","Mombasa, Mombasa CBD, 45 min ago",2014,30000 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-x-trail-2014-sv-premium-off-white-hpumzTdyKsk24MEuUrCX6C5k.html?page=5&pos=9&cur_pos=9&ads_per_page=20&ads_count=22415&lid=9FUAqeHwcwB6j_BK&indexPosition=88
Audi,A4,"KSh 2,200,000","Mombasa, Mombasa CBD, 1 hour ago",2014,70000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/audi-a4-2014-black-7u0hA3yDUzzluU6zSG2s8Pcd.html?page=5&pos=11&cur_pos=11&ads_per_page=20&ads_count=22415&lid=9FUAqeHwcwB6j_BK&indexPosition=90
Nissan,NV3500,"KSh 2,200,000","Mombasa, Mombasa CBD, 1 hour ago",2016,,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-nv3500-2016-silver-5nAivJiyX4aTgiMomuyv9NiO.html?page=5&pos=14&cur_pos=14&ads_per_page=20&ads_count=22415&lid=9FUAqeHwcwB6j_BK&indexPosition=93
Volkswagen,Beetle,"KSh 2,200,000","Mombasa, Mombasa CBD, 48 min ago",2017,,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-beetle-2017-red-nA5llVfA9gujKRXqWLSOukAC.html?page=5&pos=18&cur_pos=18&ads_per_page=20&ads_count=22415&lid=9FUAqeHwcwB6j_BK&indexPosition=97
Nissan,X-Trail,"KSh 2,200,000","Mombasa, Mombasa CBD, 1 hour ago",2016,55576 km,Automatic,Gold,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-x-trail-2016-gold-ut3TgPYMisZWTqQydl6lBJuF.html?page=6&pos=1&cur_pos=1&ads_per_page=20&ads_count=22415&lid=9FUAqeHwcwB6j_BK&indexPosition=100
Toyota,Vellfire,"KSh 2,200,000","Mombasa, Mombasa CBD, 58 min ago",2014,86645 km,Automatic,Black,Kenyan Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-vellfire-2014-black-5hzlEHFQiCalkLYcTkEqBaMd.html?page=6&pos=4&cur_pos=4&ads_per_page=20&ads_count=22415&lid=9FUAqeHwcwB6j_BK&indexPosition=103
