Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Toyota,Vellfire,"KSh 1,599,000","Nairobi, Kasarani, 27 min ago",2013,,Automatic,Gold,Local Used,https://jiji.co.ke/kasarani/cars/toyota-vellfire-2013-gold-jZ30gJ09SAkULQvsOB9iqLTL.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=0
Isuzu,D-MAX,"KSh 1,599,000","Nairobi, Nairobi Central, 50 min ago",2014,,Manual,White,Local Used,https://jiji.co.ke/nairobi-central/cars/isuzu-d-max-2014-white-6wPyx5t8cAYxrm1EZ1NKhQ27.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=3
Toyota,Land Cruiser Cygnus,"KSh 1,599,000","Nairobi, Langata, 14 min ago",1998,197000 km,Automatic,,Local Used,https://jiji.co.ke/mugumo-ini-langata/cars/toyota-land-cruiser-cygnus-4-7-1998-beige-rj922URsogcJg3tPaQ6RJgyF.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=6
Toyota,Sienta,"KSh 1,599,000","Nairobi, Kileleshwa, 8 min ago",2018,99000 km,Automatic,,Foreign Used,https://jiji.co.ke/kileleshwa/cars/toyota-sienta-1-5-fwd-6-seater-2018-white-rp6PTDmDZdo8zwThAdeIuDRN.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=9
Toyota,Hilux,"KSh 1,598,000","Nairobi, Kasarani, 1 hour ago",2011,145000 km,Manual,Brown,Local Used,https://jiji.co.ke/kasarani/cars/toyota-hilux-2011-brown-iApS7AJy5u4Oua9wgjPBxzIS.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=12
Audi,A1,"KSh 1,595,000","Mombasa, Mombasa CBD, 1 hour ago",2017,83000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/audi-a1-2017-black-eO4F902fiN1tRW0qqtUnXwmU.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=15
Toyota,Hilux,"KSh 1,595,000","Nairobi, Upperhill, 1 hour ago",2011,147000 km,Manual,,Local Used,https://jiji.co.ke/upperhill/cars/toyota-hilux-2-5-d-4d-srx-2011-gray-rRPR8faWrPV2xzjjrSbkNNx8.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=18
Toyota,Corolla Fielder,"KSh 1,590,000","Nairobi, Upperhill, 56 min ago",2017,,Automatic,Other,Foreign Used,https://jiji.co.ke/upperhill/cars/toyota-corolla-fielder-2017-sBzl8qUeEbk3Oil4h0qMgiAw.html?page=2&pos=5&cur_pos=5&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=24
Honda,Fit Shuttle,"KSh 1,590,000","Nakuru, Nakuru Town East, 3 hours ago",2017,141000 km,Automatic,,Foreign Used,https://jiji.co.ke/nakuru-east/cars/honda-fit-shuttle-1-5-hybrid-2wd-2017-white-rsi1ptjrp9NRlKCGr0uHBQQ1.html?page=2&pos=8&cur_pos=8&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=27
Toyota,Voxy,"KSh 1,590,000","Nairobi, Nairobi Central, 14 min ago",2014,,Automatic,White,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-voxy-sv-premium-2014-white-m8JWRPa1ON4pNwuiaQfqyUbK.html?page=2&pos=12&cur_pos=12&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=31
Mazda,Axela,"KSh 1,590,000","Nairobi, Karen, 34 min ago",2016,,Automatic,Black,Local Used,https://jiji.co.ke/karen/cars/mazda-axela-2016-black-gqvrmVlipWgxbLChtuBhbjWm.html?page=2&pos=15&cur_pos=15&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=34
Mazda,Axela,"KSh 1,590,000","Nairobi, Nairobi Central, 45 min ago",2016,,Automatic,Silver,Local Used,https://jiji.co.ke/nairobi-central/cars/mazda-axela-2016-silver-14qpe2cLY8xxPPi30VzPm5XK.html?page=2&pos=18&cur_pos=18&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=37
Nissan,Teana,"KSh 1,590,000","Kajiado, Ngong, 32 min ago",2017,,Automatic,White,Foreign Used,https://jiji.co.ke/ngong/cars/nissan-teana-2017-white-wh8nFi433AFMFQIwUa5EWGkv.html?page=3&pos=1&cur_pos=1&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=40
Volkswagen,Golf,"KSh 1,590,000","Nairobi, Lavington, 35 min ago",2015,,Automatic,White,Foreign Used,https://jiji.co.ke/lavington/cars/volkswagen-golf-2015-white-iUdnMU0Y3uuPGHpIhyLtaka7.html?page=3&pos=4&cur_pos=4&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=43
Nissan,Juke,"KSh 1,590,000","Nairobi, Roysambu, 44 min ago",2016,,Automatic,Blue,Foreign Used,https://jiji.co.ke/roysambu/cars/nissan-juke-2016-blue-tKwSZ9TfqpbPlkr5lmYSs5lZ.html?page=3&pos=7&cur_pos=7&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=46
Toyota,Premio,"KSh 1,590,000","Nairobi, Parklands/Highridge, 1 hour ago",2014,65062 km,Automatic,,Local Used,https://jiji.co.ke/parklands-highridge/cars/toyota-premio-1-5-fwd-2014-white-CbynHvy4wCX2u7pHz8M2xa81.html?page=3&pos=10&cur_pos=10&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=49
Lexus,RX 400h,"KSh 1,590,000","Nairobi, Nairobi Central, 51 min ago",2008,,Automatic,Black,Local Used,https://jiji.co.ke/nairobi-central/cars/lexus-rx-400h-2008-black-neZXRj31wwrFRvKuxmWNFJoT.html?page=3&pos=13&cur_pos=13&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=52
Nissan,NV200,"KSh 1,590,000","Nairobi, Kilimani, 37 min ago",2018,150193 km,Manual,Silver,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-nv200-2018-silver-7xyM5FMW9cLd6nDHfYbjIok4.html?page=3&pos=16&cur_pos=16&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=55
Nissan,NV200,"KSh 1,590,000","Nairobi, Kilimani, 32 min ago",2018,,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-nv200-s-2018-white-hU71mC3df5y4Yf6HBiQXWgMZ.html?page=3&pos=19&cur_pos=19&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=58
Toyota,Noah,"KSh 1,590,000","Kiambu, Ruaka, 26 min ago",2014,,Automatic,,Local Used,https://jiji.co.ke/ruaka-banana/cars/toyota-noah-2-0-fwd-7-seater-2014-silver-ba7qzkknztuNgbVaCTLrbwtP.html?page=4&pos=2&cur_pos=2&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=61
Toyota,RAV4,"KSh 1,590,000","Nairobi, Komarock, 3 hours ago",2015,129000 km,Automatic,Silver,Local Used,https://jiji.co.ke/komarock/cars/toyota-rav4-2015-silver-nH0bTAGgB9pcyM3au0DJ0rSG.html?page=4&pos=7&cur_pos=7&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=66
Toyota,Premio,"KSh 1,590,000","Mombasa, Mombasa CBD, 1 hour ago",2016,,Automatic,Pearl,Local Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-premio-2016-pearl-6c9BwduAqh7lceTBKqXFm27O.html?page=4&pos=10&cur_pos=10&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=69
Toyota,Sienta,"KSh 1,590,000","Nairobi, Kilimani, 39 min ago",2019,125000 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-sienta-1-5-hybrid-fwd-2019-black-wwvbxY6eTaNqGEbFvo1QZmh9.html?page=4&pos=13&cur_pos=13&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=72
Mercedes-Benz,C180,"KSh 1,590,000","Nairobi, Karen, 20 min ago",2011,106000 km,Automatic,Silver,Local Used,https://jiji.co.ke/karen/cars/mercedes-benz-c180-2011-silver-tv7vlDLwtUM6Q8DFPs2MlmcT.html?page=4&pos=16&cur_pos=16&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=75
Toyota,Harrier,"KSh 1,585,000","Nairobi, Dagoretti, 31 min ago",2010,135000 km,Automatic,,Local Used,https://jiji.co.ke/dagoretti/cars/toyota-harrier-2-4-2010-black-q89IB1KIVofYHpbi1bCpyell.html?page=4&pos=19&cur_pos=19&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=78
Toyota,Auris,"KSh 1,585,000","Nairobi, Runda, 2 days ago",2017,92000 km,CVT,Black,Foreign Used,https://jiji.co.ke/karura/cars/toyota-auris-2017-black-nIvd0ZlEFOcKI9N1qItZdmyj.html?page=5&pos=2&cur_pos=2&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=81
Honda,Fit Shuttle,"KSh 1,580,000","Nairobi, Kilimani, 44 min ago",2018,,Automatic,Silver,Foreign Used,https://jiji.co.ke/kilimani/cars/honda-fit-shuttle-2018-silver-wDZhVwdDkt4bITkme7ad3KZ8.html?page=5&pos=5&cur_pos=5&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=84
Mazda,Axela,"KSh 1,580,000","Nairobi, Nairobi Central, 1 hour ago",2015,,Automatic,White,Local Used,https://jiji.co.ke/nairobi-central/cars/mazda-axela-2015-white-xok5cRH55DoZ3JKIjqAodR71.html?page=5&pos=8&cur_pos=8&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=87
Nissan,Teana,"KSh 1,580,000","Nairobi, Kilimani, 45 min ago",2016,65000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-teana-2016-silver-bln8HurpcQub6kBiXyV8eyU5.html?page=5&pos=11&cur_pos=11&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=90
Toyota,Axio,"KSh 1,580,000","Mombasa, Mombasa CBD, 14 min ago",2018,56321 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-axio-2018-black-agTyxrnUQBr0M9HiSf1O4qXj.html?page=5&pos=14&cur_pos=14&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=93
Volkswagen,Golf Variant,"KSh 1,580,000","Nairobi, Nairobi Central, 1 hour ago",2014,112000 km,Automatic,Silver,Local Used,https://jiji.co.ke/nairobi-central/cars/volkswagen-golf-variant-2014-silver-czPhY4VAViYDvgfoiY08i7I5.html?page=5&pos=17&cur_pos=17&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=96
Nissan,Elgrand,"KSh 1,580,000","Mombasa, Tudor, 39 min ago",2012,,Automatic,Black,Local Used,https://jiji.co.ke/tudor/cars/nissan-elgrand-2012-black-upIBMJ5uqQ7Ru5f0WojSfMLA.html?page=5&pos=20&cur_pos=20&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=99
Toyota,Corolla Fielder,"KSh 1,580,000","Nairobi, Langata, 10 min ago",2017,,Automatic,Silver,Local Used,https://jiji.co.ke/mugumo-ini-langata/cars/toyota-corolla-fielder-2017-silver-oJiVQ9eji1RXi8p3Ajg0MOUj.html?page=6&pos=3&cur_pos=3&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=102
Mazda,3,"KSh 1,580,000","Mombasa, Mombasa CBD, 1 hour ago",2017,69000 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-3-2017-blue-nvBTJULO5jg5tMWnSjgzVOe7.html?page=6&pos=6&cur_pos=6&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=105
Volkswagen,Polo,"KSh 1,580,000","Mombasa, Mombasa CBD, 18 min ago",2017,69000 km,Automatic,Orange,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-polo-2017-orange-45hDQPiuO0Mz13NConuJRKQ6.html?page=6&pos=9&cur_pos=9&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=108
Nissan,Serena,"KSh 1,580,000","Mombasa, Mombasa CBD, 1 hour ago",2016,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-serena-2016-black-cEPPILqNNCGgeRmTv2R7GQuM.html?page=6&pos=10&cur_pos=10&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=109
Toyota,Hilux,"KSh 1,580,000","Nairobi, Kasarani, 1 hour ago",2010,140000 km,Manual,Gold,Local Used,https://jiji.co.ke/kasarani/cars/toyota-hilux-2010-gold-dGAuTgHoysiws2YOaR411Qnm.html?page=6&pos=13&cur_pos=13&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=112
Toyota,Alphard,"KSh 1,580,000","Nairobi, Nairobi Central, 1 hour ago",2010,,Automatic,Silver,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-alphard-2010-silver-wtXvwqEz1g8NsA8Gxhs64m7y.html?page=6&pos=16&cur_pos=16&ads_per_page=20&ads_count=15309&lid=WOTAe_51wAKCP7wl&indexPosition=115
