Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Lexus,LX,"KSh 12,400,007","Nairobi, Nairobi Central, 3 hours ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/nairobi-central/cars/lexus-lx-450d-awd-2017-gold-kEbX8ysbfkv5fhPI5ZC17Nn8.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=0
Lexus,LX,"KSh 12,300,007","Nairobi, Nairobi Central, 3 hours ago",2017,19000 km,Automatic,,Foreign Used,https://jiji.co.ke/nairobi-central/cars/lexus-lx-570-awd-2017-matt-black-stS3fqTmUfGyT5XkdAJ5B4pu.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=3
Mercedes-Benz,GLS-Class,"KSh 12,300,000","Nairobi, Runda, 3 hours ago",2018,87000 km,Automatic,,Foreign Used,https://jiji.co.ke/karura/cars/mercedes-benz-gls-class-gls400-4matic-2018-white-mNkl8HLhJvSEz8nR1hLS27zI.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=6
Toyota,Land Cruiser,"KSh 12,300,000","Mombasa, Mombasa CBD, 3 hours ago",2016,44000 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-4-6-v8-zx-2016-white-aBGo8IXzoxHSSkwgvlYDmSxA.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=9
Lexus,LX,"KSh 12,300,000","Nairobi, Nairobi Central, 3 hours ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/nairobi-central/cars/lexus-lx-450d-awd-2017-silver-hZKsXpFbMFJGljoXO4iTFoad.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=12
Toyota,Land Cruiser,"KSh 12,200,000","Mombasa, Mombasa CBD, 1 hour ago",2018,50000 km,Automatic,Gold,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-2018-gold-l8jqn2zouotcW62LVJoywuJT.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=15
Land Rover,Range Rover Vogue,"KSh 12,100,000","Mombasa, Tudor, 3 hours ago",2018,41258 km,Automatic,Gray,Foreign Used,https://jiji.co.ke/tudor/cars/land-rover-range-rover-vogue-2018-gray-q53oE0oLNLqmoD878UT344u5.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=18
Toyota,Land Cruiser,"KSh 12,000,000","Mombasa, Mombasa CBD, 3 hours ago",2018,,Automatic,Matt Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-2018-matt-black-a0zoWERu1l10faBOZHBCFYPa.html?page=2&pos=2&cur_pos=2&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=21
Audi,Q8,"KSh 12,000,000","Mombasa, Mombasa CBD, 2 hours ago",2022,23124 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/audi-q8-2022-white-1ieBL83na2M0qAuBldxrrgcK.html?page=2&pos=5&cur_pos=5&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=24
Mercedes-Benz,GLE43,"KSh 12,000,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gle43-2017-black-4XZmZOB5jDEfgIMwUwDSqbX3.html?page=2&pos=9&cur_pos=9&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=28
Toyota,Land Cruiser Prado,"KSh 12,000,000","Mombasa, Mombasa CBD, 2 hours ago",2017,,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-prado-2017-white-xxV1iB0tEHpHwFD2vRHLV3Ik.html?page=2&pos=12&cur_pos=12&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=31
Land Rover,Range Rover Sport,"KSh 12,000,000","Mombasa, Mombasa CBD, 2 hours ago",2018,63085 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/land-rover-range-rover-sport-hse-dynamic-2018-black-oFm1aJqcwPGk7WmrasA7gA66.html?page=2&pos=15&cur_pos=15&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=34
Toyota,Land Cruiser,"KSh 12,000,000","Mombasa, Mombasa CBD, 2 hours ago",2023,12000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-2023-black-uD6u391Ng8ega3DKrKwiRz6b.html?page=2&pos=19&cur_pos=19&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=38
Lexus,LX,"KSh 12,000,000","Kiambu, Kiambu / Kiambu , 3 hours ago",2015,,Automatic,,Local Used,https://jiji.co.ke/kiambu-kiambu/cars/lexus-lx-570-awd-2015-silver-kP7cGr0L6A4s3iP5otdsdmsa.html?page=3&pos=2&cur_pos=2&ads_per_page=20&ads_count=43929&lid=2s79lo_-2byBbhrm&indexPosition=41
