Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Toyota,Succeed,"KSh 1,477,777","Nairobi, Kilimani, 2 hours ago",2017,122000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-succeed-2017-silver-bixIUBvFztTai8hVLuYrk6ps.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=6780&lid=Iopq7UIJ5oPnvk1I&indexPosition=0
Toyota,Succeed,"KSh 1,470,000","Nairobi, Kilimani, 2 hours ago",2019,,Automatic,Silver,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-succeed-2019-silver-uxB7MfbTvLIWxHFBCIazcrde.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=6780&lid=Iopq7UIJ5oPnvk1I&indexPosition=3
Mercedes-Benz,C200,"KSh 1,470,000","Mombasa, Tudor, 5 hours ago",2009,,Automatic,Pearl,Local Used,https://jiji.co.ke/tudor/cars/mercedes-benz-c200-2009-pearl-19xYgmbkLMTTytrkhRHbkN7X.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=6780&lid=Iopq7UIJ5oPnvk1I&indexPosition=6
Lexus,RX 400h,"KSh 1,470,000","Nairobi, Nairobi Central, 2 hours ago",2009,146000 km,Automatic,Black,Local Used,https://jiji.co.ke/nairobi-central/cars/lexus-rx-400h-2009-black-hffCuTdG2gebSHqEBjAsR8YB.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=6780&lid=Iopq7UIJ5oPnvk1I&indexPosition=9
Volkswagen,Golf,"KSh 1,470,000","Mombasa, Mombasa CBD, 2 hours ago",2015,69000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-golf-2015-silver-dYo1Ns4BK1V8tJeeETMxA2dN.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=6780&lid=Iopq7UIJ5oPnvk1I&indexPosition=12
Subaru,Impreza,"KSh 1,470,000","Nairobi, Nairobi Central, 2 hours ago",2016,,Automatic,Black,Local Used,https://jiji.co.ke/nairobi-central/cars/subaru-impreza-2016-black-xoNBYep2nIYKmO15iIzLvf3t.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=6780&lid=Iopq7UIJ5oPnvk1I&indexPosition=15
Toyota,Axio,"KSh 1,470,000","Mombasa, Mombasa CBD, 2 hours ago",2015,29000 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-axio-2015-white-1tp7Ir1bldopBBnD4HUHsnzM.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=6780&lid=Iopq7UIJ5oPnvk1I&indexPosition=18
Toyota,RAV4,"KSh 1,470,000","Nairobi, Ridgeways, 2 hours ago",2008,,Automatic,Red,Local Used,https://jiji.co.ke/ridgeways/cars/toyota-rav4-2008-red-rgWxugPrvH4z1emWkKFcaqf5.html?page=2&pos=2&cur_pos=2&ads_per_page=20&ads_count=6780&lid=Iopq7UIJ5oPnvk1I&indexPosition=21
Toyota,Sienta,"KSh 1,470,000","Mombasa, Mombasa CBD, 2 hours ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-sienta-1-5-fwd-6-seater-2017-kv0ZlRd4dT7RnROwcuPZSkD5.html?page=2&pos=5&cur_pos=5&ads_per_page=20&ads_count=6780&lid=Iopq7UIJ5oPnvk1I&indexPosition=24
Subaru,Forester,"KSh 1,470,000","Nairobi, Ridgeways, 2 hours ago",2009,,Automatic,Other,Local Used,https://jiji.co.ke/ridgeways/cars/subaru-forester-2009-vbI4h8ONPa8iY3lKyBU2zolk.html?page=2&pos=8&cur_pos=8&ads_per_page=20&ads_count=6780&lid=Iopq7UIJ5oPnvk1I&indexPosition=27
Toyota,Probox,"KSh 1,470,000","Mombasa, Mvita, 2 hours ago",2019,132000 km,Automatic,,Foreign Used,https://jiji.co.ke/mvita/cars/toyota-probox-1-5-hybrid-f-2019-silver-3goljaUuB21PhIv8PigMWp82.html?page=2&pos=13&cur_pos=13&ads_per_page=20&ads_count=6780&lid=Iopq7UIJ5oPnvk1I&indexPosition=32
Honda,Fit,"KSh 1,470,000","Nairobi, Kilimani, 23 hours ago",2017,118000 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/honda-fit-ex-2017-blue-gfJtDMbDGYohnjpnINtppAJb.html?page=2&pos=16&cur_pos=16&ads_per_page=20&ads_count=6780&lid=Iopq7UIJ5oPnvk1I&indexPosition=35
