Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Toyota,Sienta,"KSh 1,129,000","Nairobi, Ridgeways, 17 min ago",2015,,Automatic,Black,Local Used,https://jiji.co.ke/ridgeways/cars/toyota-sienta-2015-black-rtv2tdHb9ah7hCEI6AiE5NJd.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=0
Toyota,Crown,"KSh 1,125,000","Nairobi, Nairobi South, 34 min ago",2012,173000 km,Automatic,White,Local Used,https://jiji.co.ke/nairobi-south/cars/toyota-crown-2012-white-k2aryGJ119QLFJYl6xFF1PLP.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=3
Nissan,Note,"KSh 1,120,000","Nairobi, Ridgeways, 51 min ago",2018,,Automatic,Black,Foreign Used,https://jiji.co.ke/ridgeways/cars/nissan-note-1-2-petrol-2018-black-cFIT8qE6FZXptY9KKiTEpVsh.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=6
Nissan,Note,"KSh 1,120,000","Nairobi, Kilimani, 57 min ago",2017,,Automatic,Red,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-note-1-2-hybrid-2017-red-nu0wLEiRUqn5mPaEZXLRuPwl.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=9
Suzuki,Ignis,"KSh 1,120,000","Nairobi, Nairobi Central, 48 min ago",2017,112000 km,Automatic,Blue,Local Used,https://jiji.co.ke/nairobi-central/cars/suzuki-ignis-hybrid-1-2-awd-2017-blue-5tvl3V7kZ3FHtqvjEzJQqxoR.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=12
Toyota,Corolla Fielder,"KSh 1,120,000","Nairobi, Ridgeways, 58 min ago",2010,105031 km,Automatic,Silver,Local Used,https://jiji.co.ke/ridgeways/cars/toyota-corolla-fielder-1-5-petrol-fwd-2010-silver-gsMXQaHcm2DE9fOiO67Xgkhb.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=15
Toyota,Harrier,"KSh 1,120,000","Nairobi, Nairobi Central, 26 min ago",2007,,Automatic,Black,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-harrier-2007-black-CzTLbPneNg7daEZ5oRuMVOg7.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=18
Nissan,Note,"KSh 1,120,000","Nairobi, Kilimani, 24 min ago",2018,,Automatic,Gray,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-note-1-2-petrol-2018-gray-8bLMbtRtoUZEJ9GOzI4erMZJ.html?page=2&pos=5&cur_pos=5&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=24
Toyota,Aqua,"KSh 1,111,000","Kiambu, Ruiru, 21 hours ago",2016,,Automatic,Silver,Foreign Used,https://jiji.co.ke/ruiru/cars/toyota-aqua-2016-silver-uPnyMjQsSJnRXAwaKJ6mL1N7.html?page=2&pos=8&cur_pos=8&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=27
Nissan,Note,"KSh 1,105,000","Nairobi, Kilimani, 1 hour ago",2017,,Automatic,Green,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-note-2017-green-7vWlDwcL0YFVURtyCOSwHI45.html?page=2&pos=11&cur_pos=11&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=30
Toyota,Passo,"KSh 1,100,000","Nakuru, Naivasha, 36 min ago",2018,78210 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/naivasha/cars/toyota-passo-2018-silver-dvJ2yyEYuHCWaa9kN0k0UdK8.html?page=2&pos=13&cur_pos=13&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=32
Nissan,Note,"KSh 1,100,000","Mombasa, Mombasa CBD, 1 hour ago",2017,69000 km,Automatic,Gray,Kenyan Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-note-2017-gray-cpHPdcRtziiR5Y0uww3HKamI.html?page=2&pos=16&cur_pos=16&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=35
Nissan,Note,"KSh 1,100,000","Mombasa, Mombasa CBD, 50 min ago",2018,45632 km,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-note-2018-red-dJbgCsopsYD3qceUQOkQEGuT.html?page=2&pos=19&cur_pos=19&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=38
Nissan,Note,"KSh 1,100,000","Mombasa, Mombasa CBD, 3 hours ago",2017,64000 km,Automatic,Gold,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-note-2017-gold-prFteeoycfglqUCMmsM4b1aI.html?page=3&pos=2&cur_pos=2&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=41
Suzuki,Solio,"KSh 1,100,000","Mombasa, Mombasa CBD, 25 min ago",2017,,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-solio-2017-red-u9PdTvBdheDlxSkGUB6DTh0b.html?page=3&pos=6&cur_pos=6&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=45
Toyota,Spade,"KSh 1,100,000","Mombasa, Mombasa CBD, 3 hours ago",2017,69000 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-spade-1-5-2017-white-3GM4UWraoug8TtxwBhUjDEGX.html?page=3&pos=8&cur_pos=8&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=47
Mazda,Demio,"KSh 1,100,000","Nairobi, Kilimani, 44 min ago",2016,66000 km,Automatic,White,Foreign Used,https://jiji.co.ke/kilimani/cars/mazda-demio-2016-white-yriXkt8G92pN5BIzDHWpZlCz.html?page=3&pos=12&cur_pos=12&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=51
Toyota,Land Cruiser,"KSh 1,100,000","Nairobi, Nairobi Central, 1 hour ago",2001,,Manual,Green,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-land-cruiser-2001-green-Bd2Ehut3drVpep6VMgGd4D0U.html?page=3&pos=15&cur_pos=15&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=54
Toyota,Lite-Ace,"KSh 1,100,000","Mombasa, Mombasa CBD, 30 min ago",2016,115000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-lite-ace-2016-silver-wYH0JSqV5vdi807vudJdMiM4.html?page=3&pos=18&cur_pos=18&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=57
Toyota,Corolla Fielder,"KSh 1,100,000","Nairobi, Kasarani, 18 min ago",2012,,Automatic,Silver,Local Used,https://jiji.co.ke/kasarani/cars/toyota-corolla-fielder-2012-silver-nmwKwg4YNHA4Yvk8RwnCbKWk.html?page=4&pos=1&cur_pos=1&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=60
Nissan,Lafesta,"KSh 1,100,000","Mombasa, Mombasa CBD, 56 min ago",2014,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-lafesta-2014-black-razxgQnzwL4vjcEHjjB8ak44.html?page=4&pos=4&cur_pos=4&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=63
Nissan,Note,"KSh 1,100,000","Mombasa, Mombasa CBD, 42 min ago",2015,,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-note-1-6-petrol-nismo-2015-white-5fivTeaujL0RLizHrVeD4ROD.html?page=4&pos=7&cur_pos=7&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=66
Mitsubishi,Mirage,"KSh 1,100,000","Nairobi, Ridgeways, 19 min ago",2019,,Automatic,,Foreign Used,https://jiji.co.ke/ridgeways/cars/mitsubishi-mirage-es-2019-white-fj5GoWEnjPDeYiqE6qxeWqaX.html?page=4&pos=9&cur_pos=9&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=68
Nissan,Juke,"KSh 1,100,000","Nairobi, Kilimani, 33 min ago",2015,114000 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-juke-sl-4dr-hatchback-awd-1-6l-4cyl-turbo-cvt-2015-black-pNZXSxy0eqepK6VW3P1arh7H.html?page=4&pos=12&cur_pos=12&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=71
Nissan,Juke,"KSh 1,100,000","Nairobi, Nairobi Central, 50 min ago",2015,118000 km,Automatic,,Local Used,https://jiji.co.ke/nairobi-central/cars/nissan-juke-2015-black-xa5onzhqqCYoS9ft97tBTrm8.html?page=4&pos=15&cur_pos=15&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=74
Nissan,Serena,"KSh 1,100,000","Nakuru, Nakuru Town West, 1 hour ago",2014,,Automatic,Silver,Local Used,https://jiji.co.ke/nakuru-town-west/cars/nissan-serena-2014-silver-3As8mAU6YYKyuIOVLr9mjZe6.html?page=4&pos=18&cur_pos=18&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=77
Toyota,Aqua,"KSh 1,100,000","Mombasa, Mombasa CBD, 36 min ago",2015,65095 km,Automatic,Off white,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-aqua-2015-off-white-f0JW25CUbZHJuDGFIlwx5ogT.html?page=5&pos=1&cur_pos=1&ads_per_page=20&ads_count=1378&lid=hvFzdsmoVEw-umpc&indexPosition=80
