Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Mercedes-Benz,S-Class,"KSh 4,950,000","Nairobi, Karen, 5 hours ago",2016,91560 km,Automatic,,Local Used,https://jiji.co.ke/karen/cars/mercedes-benz-s-class-s-300-bluetec-hybrid-w222-2016-black-meeTZOGmUj1jqZg7b9HG1rLn.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=37126&lid=RasAm2g7uvIE5n8A&indexPosition=0
Toyota,RAV4,"KSh 4,950,000","Mombasa, Mombasa CBD, 47 min ago",2019,47000 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-rav4-le-fwd-2019-red-dpmBOlYEv66gDrU2gFNgHn6R.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=37126&lid=RasAm2g7uvIE5n8A&indexPosition=3
Lexus,NX 300h,"KSh 4,950,000","Nairobi, Kilimani, 16 min ago",2017,103000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/lexus-nx-300h-2017-black-aGeuaR5rP4qkCI234rkxfBhP.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=37126&lid=RasAm2g7uvIE5n8A&indexPosition=6
Land Rover,Discovery,"KSh 4,950,000","Nairobi, Nairobi Central, 53 min ago",2014,139000 km,Automatic,Green,Local Used,https://jiji.co.ke/nairobi-central/cars/land-rover-discovery-2014-green-nbdNA7dKkWJVwZejkv728FFg.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=37126&lid=RasAm2g7uvIE5n8A&indexPosition=9
BMW,X6,"KSh 4,950,000","Nairobi, Dagoretti, 29 min ago",2017,122000 km,Automatic,White,Foreign Used,https://jiji.co.ke/dagoretti/cars/bmw-x6-2017-white-uh7ili7bkT2tdFov0rvId7sL.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=37126&lid=RasAm2g7uvIE5n8A&indexPosition=12
Mercedes-Benz,GLC-Class,"KSh 4,950,000","Mombasa, Mombasa CBD, 1 hour ago",2018,36000 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-glc-class-2018-white-Bs6D6J2TnmZbT41ipufg2P5O.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=37126&lid=RasAm2g7uvIE5n8A&indexPosition=15
Lexus,NX,"KSh 4,950,000","Mombasa, Mombasa CBD, 1 hour ago",2017,26000 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-nx-200t-awd-2017-black-cYyQOy71tSfitJfq0hxTLsZv.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=37126&lid=RasAm2g7uvIE5n8A&indexPosition=18
Audi,SQ5,"KSh 4,950,000","Mombasa, Mombasa CBD, 24 min ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/audi-sq5-3-0t-premium-plus-awd-2017-matt-black-hTinoNeGhfCK36e752SZ9Dya.html?page=2&pos=3&cur_pos=3&ads_per_page=20&ads_count=37126&lid=RasAm2g7uvIE5n8A&indexPosition=22
Ford,Ranger,"KSh 4,950,000","Nairobi, Thome / Nairobi, 1 hour ago",2016,132000 km,Automatic,Orange,Foreign Used,https://jiji.co.ke/thome/cars/ford-ranger-wildtrak-2016-orange-oBT9CZYpk577cqlQk7xG7Isz.html?page=2&pos=6&cur_pos=6&ads_per_page=20&ads_count=37126&lid=RasAm2g7uvIE5n8A&indexPosition=25
Mercedes-Benz,GLC-Class,"KSh 4,950,000","Nairobi, Kilimani, 34 min ago",2016,,Automatic,Blue,Foreign Used,https://jiji.co.ke/kilimani/cars/mercedes-benz-glc-class-2016-blue-aqYMIuFHqTGW3BNxVS4t2he8.html?page=2&pos=9&cur_pos=9&ads_per_page=20&ads_count=37126&lid=RasAm2g7uvIE5n8A&indexPosition=28
Toyota,RAV4,"KSh 4,950,000","Nairobi, Ridgeways, 1 hour ago",2019,56000 km,Automatic,Green,Foreign Used,https://jiji.co.ke/ridgeways/cars/toyota-rav4-2019-green-xa0NLpGsZ4jZcIPPS7HVpWo7.html?page=2&pos=12&cur_pos=12&ads_per_page=20&ads_count=37126&lid=RasAm2g7uvIE5n8A&indexPosition=31
Volvo,XC60,"KSh 4,950,000","Mombasa, Mombasa CBD, 38 min ago",2017,,Automatic,Pearl,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volvo-xc60-2017-pearl-bcdgD58CTJLqaaKoWZJnO4nP.html?page=2&pos=16&cur_pos=16&ads_per_page=20&ads_count=37126&lid=RasAm2g7uvIE5n8A&indexPosition=35
