Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Subaru,Forester,"KSh 2,749,000","Nairobi, Langata, 16 min ago",2017,115000 km,Automatic,,Foreign Used,https://jiji.co.ke/mugumo-ini-langata/cars/subaru-forester-2-0xt-touring-awd-2017-blue-dYcu9B2yauj7e3ZhOGqAXCoY.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=27038&lid=fvZ1wrFWYl4tees7&indexPosition=0
Toyota,Land Cruiser Prado,"KSh 2,730,000","Nairobi, Langata, 50 min ago",2012,161000 km,Automatic,,Local Used,https://jiji.co.ke/mugumo-ini-langata/cars/toyota-land-cruiser-prado-2-7-i-2012-black-63F0OZ0dv0j98W4R3dbNlWW6.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=27038&lid=fvZ1wrFWYl4tees7&indexPosition=3
Toyota,Harrier,"KSh 2,730,000","Mombasa, Mombasa CBD, 57 min ago",2014,78000 km,Automatic,White,Local Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-harrier-2014-white-slBjWzq1xowqxZZOQBOA3m75.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=27038&lid=fvZ1wrFWYl4tees7&indexPosition=6
Mitsubishi,Outlander,"KSh 2,730,000","Nairobi, Parklands/Highridge, 1 hour ago",2017,,Automatic,Black,Local Used,https://jiji.co.ke/parklands-highridge/cars/mitsubishi-outlander-2017-black-kS1IV5Xiw4sMwT6WWANjFCbE.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=27038&lid=fvZ1wrFWYl4tees7&indexPosition=9
Toyota,Crown,"KSh 2,725,000","Nairobi, Kilimani, 30 min ago",2017,71000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-crown-2017-silver-nLX1Bqwsue97DCD6ItnQAFbm.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=27038&lid=fvZ1wrFWYl4tees7&indexPosition=12
Subaru,Outback,"KSh 2,720,000","Nairobi, Kilimani, 24 min ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/subaru-outback-2-5i-premium-awd-2017-gray-1JIXWgtEOZH4mVebDFgE4h5V.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=27038&lid=fvZ1wrFWYl4tees7&indexPosition=15
Suzuki,Escudo,"KSh 2,720,000","Nairobi, Kilimani, 32 min ago",2018,40575 km,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/suzuki-escudo-2018-black-dqQaKyP5gYz1tKfG5WUfz3Fq.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=27038&lid=fvZ1wrFWYl4tees7&indexPosition=18
Mazda,CX-5,"KSh 2,700,000","Nairobi, Utawala, 51 min ago",2017,90000 km,Automatic,Black,Local Used,https://jiji.co.ke/utawala/cars/mazda-cx-5-2017-black-fLlhATAhK0rbGx3OMYSYZdis.html?page=2&pos=3&cur_pos=3&ads_per_page=20&ads_count=27038&lid=fvZ1wrFWYl4tees7&indexPosition=22
Audi,Q2,"KSh 2,700,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,Orange,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/audi-q2-2017-orange-8Sb4TvzOGa6siOSYEADnWaEe.html?page=2&pos=6&cur_pos=6&ads_per_page=20&ads_count=27038&lid=fvZ1wrFWYl4tees7&indexPosition=25
Nissan,X-Trail,"KSh 2,700,000","Mombasa, Mombasa CBD, 59 min ago",2017,48632 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-x-trail-2-0-hybrid-awd-2017-gold-l22cxCEwF8vhsozSzHkGmeMK.html?page=2&pos=9&cur_pos=9&ads_per_page=20&ads_count=27038&lid=fvZ1wrFWYl4tees7&indexPosition=28
