Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Peugeot,2008,"KSh 1,999,000","Nairobi, Ridgeways, 2 hours ago",2018,,Automatic,White,Local Used,https://jiji.co.ke/ridgeways/cars/peugeot-2008-2018-white-u4jYVllDahSA1f1roOWeJPif.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=0
Toyota,Hilux,"KSh 1,999,000","Nairobi, Upperhill, 5 hours ago",2005,,Manual,Silver,Local Used,https://jiji.co.ke/upperhill/cars/toyota-hilux-2-5-cab-2005-silver-ypveBI6hUTexsjR6B71uhngW.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=3
Toyota,Land Cruiser Prado,"KSh 1,999,000","Nairobi, Nairobi Central, 3 hours ago",2005,113000 km,Automatic,White,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-land-cruiser-prado-2005-white-BXXss1Qh55AMVofnOBFXhrQj.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=6
Subaru,XV,"KSh 1,999,000","Mombasa, Mombasa CBD, 2 hours ago",2015,54000 km,Automatic,Orange,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/subaru-xv-2015-orange-9R8mdINceLf4pyU5alh26hCo.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=9
Toyota,Hilux,"KSh 1,999,000","Nairobi, Kasarani, 2 hours ago",2014,,Manual,Silver,Local Used,https://jiji.co.ke/kasarani/cars/toyota-hilux-2014-silver-isCvh0i0EmV3Ix50h676bfPt.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=12
Isuzu,D-MAX,"KSh 1,999,000","Nairobi, Nairobi Central, 2 hours ago",2014,123808 km,Automatic,White,Local Used,https://jiji.co.ke/nairobi-central/cars/isuzu-d-max-2014-white-llZKVjDpn1x132VtKgAdAxoS.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=15
Lexus,RX270,"KSh 1,999,000","Mombasa, Mombasa CBD, 2 hours ago",2011,,Automatic,White,Local Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-rx270-2011-white-awpumRtaCcKVOMv6eiiVAM3J.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=18
Toyota,Corolla,"KSh 1,999,000","Nairobi, Ridgeways, 12 hours ago",2018,25000 km,Automatic,Burgundy,Foreign Used,https://jiji.co.ke/ridgeways/cars/toyota-corolla-2018-burgundy-rq03rsHKLob47hql5DUmGjGi.html?page=2&pos=2&cur_pos=2&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=21
BMW,X3,"KSh 1,995,000","Nairobi, Kilimani, 5 hours ago",2011,180000 km,Automatic,White,Local Used,https://jiji.co.ke/kilimani/cars/bmw-x3-2011-white-krEsGKsxdUe9O0R18JH1O9Y2.html?page=2&pos=5&cur_pos=5&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=24
Volkswagen,Golf,"KSh 1,995,000","Nairobi, Kilimani, 2 hours ago",2018,80000 km,AMT,,Foreign Used,https://jiji.co.ke/kilimani/cars/volkswagen-golf-tsi-s-fwd-2018-white-fc5U3DtaBNfTiCZnapI235MC.html?page=2&pos=8&cur_pos=8&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=27
Mercedes-Benz,B-Class,"KSh 1,995,000","Nairobi, Kilimani, 2 hours ago",2017,40000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/mercedes-benz-b-class-b180-petrol-2017-black-p1I1eCK6B7jffcSxgDKamHo5.html?page=2&pos=11&cur_pos=11&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=30
Toyota,Mark X,"KSh 1,995,000","Nairobi, Kilimani, 2 hours ago",2017,104523 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-mark-x-2017-blue-oJ0VnOJs5v9fGeOYUtwPeYE4.html?page=2&pos=14&cur_pos=14&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=33
Subaru,XV,"KSh 1,990,850","Mombasa, Mombasa CBD, 2 hours ago",2015,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/subaru-xv-2015-blue-fZcUC5vxWp4pZI6gCb1K3zfi.html?page=2&pos=17&cur_pos=17&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=36
Jeep,Renegade,"KSh 1,990,000","Nairobi, Kilimani, 2 hours ago",2017,117660 km,Automatic,White,Foreign Used,https://jiji.co.ke/kilimani/cars/jeep-renegade-2017-white-5u24eT7qMvEQBhc8uPSKCGSK.html?page=2&pos=20&cur_pos=20&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=39
Toyota,Wish,"KSh 1,990,000","Nairobi, Kilimani, 18 hours ago",2016,,Automatic,White,Local Used,https://jiji.co.ke/kilimani/cars/toyota-wish-2016-white-woTB2QIkoLaJmtdTKvYCHyvc.html?page=3&pos=3&cur_pos=3&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=42
Nissan,X-Trail,"KSh 1,990,000","Nairobi, Kilimani, 2 hours ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-x-trail-2-0-hybrid-fwd-2017-gray-BlytPHrWVEc1TJRjiACxT1UM.html?page=3&pos=7&cur_pos=7&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=46
Mazda,Axela,"KSh 1,990,000","Nairobi, Kilimani, 3 hours ago",2018,,Automatic,White,Foreign Used,https://jiji.co.ke/kilimani/cars/mazda-axela-2018-white-fr7KixHGZwKu6AQmXnLJnB8d.html?page=3&pos=9&cur_pos=9&ads_per_page=20&ads_count=20520&lid=_KsbB6FZ9qqGAnE3&indexPosition=48
