Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Nissan,Dayz,"KSh 810,000","Nairobi, Kilimani, 2 hours ago",2018,96000 km,Automatic,Red,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-dayz-2018-red-v5Qtw8JGWcUijYYh7HBGJ4OX.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=3646&lid=ro7Kzdu6buPl2EsE&indexPosition=0
Nissan,Caravan,"KSh 810,000","Nairobi, Parklands/Highridge, 2 hours ago",2009,,Automatic,Yellow,Local Used,https://jiji.co.ke/parklands-highridge/cars/nissan-caravan-2009-yellow-in4FCKnpyxnD8x4x4OVz1cOy.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=3646&lid=ro7Kzdu6buPl2EsE&indexPosition=3
Toyota,Vitz,"KSh 810,000","Mombasa, Tudor, 2 hours ago",2016,73042 km,Automatic,Purple,Local Used,https://jiji.co.ke/tudor/cars/toyota-vitz-2016-purple-zTBHQ322Yln6ffA53KJbqeUk.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=3646&lid=ro7Kzdu6buPl2EsE&indexPosition=6
Suzuki,Alto,"KSh 810,000","Mombasa, Mombasa CBD, 2 hours ago",2016,68000 km,Automatic,Yellow,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-alto-2016-yellow-9ZHuxtfqKPwzsoEX6ANovrKG.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=3646&lid=ro7Kzdu6buPl2EsE&indexPosition=9
Suzuki,Wagon R,"KSh 810,000","Mombasa, Mombasa CBD, 2 hours ago",2018,64321 km,Automatic,Brown,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-wagon-r-2018-brown-dk2XOIhKHnd59II1U2BLeVuJ.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=3646&lid=ro7Kzdu6buPl2EsE&indexPosition=12
Toyota,ISIS,"KSh 810,000","Nairobi, Nairobi Central, 2 hours ago",2013,125000 km,Automatic,,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-isis-1-8-platana-2wd-2013-white-w6rUGGRpL9LXJTvB1Ooi1BLS.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=3646&lid=ro7Kzdu6buPl2EsE&indexPosition=15
Subaru,Impreza,"KSh 810,000","Nairobi, Nairobi Central, 2 hours ago",2010,,Automatic,Silver,Local Used,https://jiji.co.ke/nairobi-central/cars/subaru-impreza-2010-silver-BPJxEi3py6hSYiIgfeNksZo.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=3646&lid=ro7Kzdu6buPl2EsE&indexPosition=18
Mercedes-Benz,E320,"KSh 805,000","Nairobi, Kitisuru, 2 hours ago",2004,132079 km,Automatic,Blue,Local Used,https://jiji.co.ke/kitisuru/cars/mercedes-benz-e320-2004-blue-hcyQyaQAADMlNcaLW3KYnspP.html?page=2&pos=4&cur_pos=4&ads_per_page=20&ads_count=3646&lid=ro7Kzdu6buPl2EsE&indexPosition=23
Toyota,Crown,"KSh 800,000","Nairobi, Kasarani, 2 hours ago",2009,,Automatic,Black,Local Used,https://jiji.co.ke/kasarani/cars/toyota-crown-2009-black-n8cMBPV7iEEChMtLWgcUCeYk.html?page=2&pos=7&cur_pos=7&ads_per_page=20&ads_count=3646&lid=ro7Kzdu6buPl2EsE&indexPosition=26
Daihatsu,Move,"KSh 800,000","Nairobi, Kilimani, 1 hour ago",2017,,Automatic,Beige,Foreign Used,https://jiji.co.ke/kilimani/cars/daihatsu-move-2017-beige-kU14pF3CxnMnfnrC5SqUYi0g.html?page=2&pos=9&cur_pos=9&ads_per_page=20&ads_count=3646&lid=ro7Kzdu6buPl2EsE&indexPosition=28
