Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Volkswagen,Tiguan,"KSh 3,595,000","Mombasa, Mombasa CBD, 2 hours ago",2017,,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-tiguan-2017-white-5H6hnOOgHfKG5NmPDvvO80zS.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=32257&lid=K46JIsqh5uQYXARo&indexPosition=0
Volvo,V90 Cross Country,"KSh 3,590,000","Nairobi, Ridgeways, 2 hours ago",2018,,Automatic,White,Foreign Used,https://jiji.co.ke/ridgeways/cars/volvo-v90-cross-country-2018-white-sg0J79unCGb7mQhv7iYTVs77.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=32257&lid=K46JIsqh5uQYXARo&indexPosition=3
Volkswagen,Touareg,"KSh 3,590,000","Nairobi, Kilimani, 8 hours ago",2013,84900 km,Automatic,,Local Used,https://jiji.co.ke/kilimani/cars/volkswagen-touareg-hybrid-2013-silver-8dYvbYd1OsS8XCl38DJKj9x3.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=32257&lid=K46JIsqh5uQYXARo&indexPosition=6
Toyota,Hilux,"KSh 3,590,000","Nairobi, Komarock, 3 hours ago",2022,99000 km,Manual,Gray,Local Used,https://jiji.co.ke/komarock/cars/toyota-hilux-2022-gray-iskZYxaSMBOg3W15SczIvZEg.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=32257&lid=K46JIsqh5uQYXARo&indexPosition=9
Toyota,Harrier,"KSh 3,590,000","Nairobi, Kilimani, 2 hours ago",2018,,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-harrier-2018-black-eYbqBm8BmJiBuQZ8C0z1XwUI.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=32257&lid=K46JIsqh5uQYXARo&indexPosition=12
Toyota,Crown,"KSh 3,590,000","Nairobi, Ridgeways, 3 hours ago",2018,,Automatic,Silver,Foreign Used,https://jiji.co.ke/ridgeways/cars/toyota-crown-2018-silver-i1pPXO7fSvdUwXGS3nBWF4X.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=32257&lid=K46JIsqh5uQYXARo&indexPosition=15
Mazda,CX-8,"KSh 3,590,000","Nairobi, Langata, 9 hours ago",2019,108000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mugumo-ini-langata/cars/mazda-cx-8-2019-black-pewPQBt9kJyZvDmEAcWKAUD4.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=32257&lid=K46JIsqh5uQYXARo&indexPosition=18
Toyota,Harrier,"KSh 3,585,000","Nairobi, Nairobi Central, 2 hours ago",2019,94134 km,Automatic,Black,Foreign Used,https://jiji.co.ke/nairobi-central/cars/toyota-harrier-2019-black-nFWKoBdy3iDFsm5g8UIDS0l1.html?page=2&pos=4&cur_pos=4&ads_per_page=20&ads_count=32257&lid=K46JIsqh5uQYXARo&indexPosition=23
Toyota,Harrier,"KSh 3,580,000","Nairobi, Ridgeways, 3 hours ago",2017,83000 km,Automatic,,Foreign Used,https://jiji.co.ke/ridgeways/cars/toyota-harrier-2-0-2017-pearl-CdsdPTQAXS8Bgf7EUuV8Sisy.html?page=2&pos=7&cur_pos=7&ads_per_page=20&ads_count=32257&lid=K46JIsqh5uQYXARo&indexPosition=26
Toyota,Harrier,"KSh 3,580,000","Mombasa, Mombasa CBD, 1 hour ago",2016,46000 km,Automatic,Off white,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-harrier-2016-off-white-APw755IbHM7LljcGdPj1t7VR.html?page=2&pos=10&cur_pos=10&ads_per_page=20&ads_count=32257&lid=K46JIsqh5uQYXARo&indexPosition=29
Land Rover,Range Rover Evoque,"KSh 3,580,000","Nairobi, Kilimani, 5 hours ago",2013,120000 km,Automatic,White,Local Used,https://jiji.co.ke/kilimani/cars/land-rover-range-rover-evoque-2013-white-r4YEPDv31vOq7MP0VRGBM1jD.html?page=2&pos=13&cur_pos=13&ads_per_page=20&ads_count=32257&lid=K46JIsqh5uQYXARo&indexPosition=32
