Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Suzuki,Swift,"KSh 640,000","Nairobi, Industrial Area Nairobi, 6 hours ago",2012,120000 km,Automatic,Blue,Local Used,https://jiji.co.ke/viwandani-makadara/cars/suzuki-swift-2012-blue-raRa16SMKsXJyaXdBfTzTLpx.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=0
Suzuki,Wagon R,"KSh 640,000","Nairobi, Ngara, 2 hours ago",2015,125558 km,CVT,Purple,Local Used,https://jiji.co.ke/ngara/cars/suzuki-wagon-r-2015-purple-V36IZkRx39Flh4rg0c5FJFd.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=3
Mazda,Demio,"KSh 640,000","Kiambu, Rosslyn, 2 hours ago",2014,,Automatic,White,Local Used,https://jiji.co.ke/rosslyn/cars/mazda-demio-2014-white-hyHmSzALZg8HKBDtCVrkLwxT.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=6
Nissan,Advan,"KSh 640,000","Kiambu, Kiambu / Kiambu , 2 hours ago",2015,,Automatic,White,Local Used,https://jiji.co.ke/kiambu-kiambu/cars/nissan-advan-2015-white-d7PMaeHcuSHA6FQp67J85RRY.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=9
Nissan,Advan,"KSh 640,000","Nairobi, Kilimani, 3 hours ago",2014,,Automatic,White,Local Used,https://jiji.co.ke/kilimani/cars/nissan-advan-2014-white-4YptEGWiFG48al9jC2nOT08L.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=12
Suzuki,Alto,"KSh 640,000","Mombasa, Mombasa CBD, 1 hour ago",2014,65800 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-alto-2014-silver-9PqVdMrcrPE6phIElm2GObu.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=15
Toyota,Sienta,"KSh 640,000","Nyeri, Karatina Town, 6 hours ago",2010,198024 km,Automatic,,Local Used,https://jiji.co.ke/karatina-town/cars/toyota-sienta-1-5-fwd-2010-gray-7YtteS3PkxDlnAymb2bbPYtR.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=18
Toyota,Probox,"KSh 640,000","Nyeri, Karatina Town, 6 hours ago",2014,182408 km,Automatic,,Local Used,https://jiji.co.ke/karatina-town/cars/toyota-probox-1-5-f-2wd-2014-white-zv4SN2WU7SwFQiuuzYK9brgc.html?page=2&pos=3&cur_pos=3&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=22
Suzuki,Alto,"KSh 640,000","Mombasa, Mombasa CBD, 1 hour ago",2016,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-alto-660cc-fwd-2016-white-A69H5U3xKi1PEcZtel8pbClX.html?page=2&pos=6&cur_pos=6&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=25
Nissan,X-Trail,"KSh 640,000","Kiambu, Ruaka, 2 hours ago",2006,,Automatic,Beige,Local Used,https://jiji.co.ke/ruaka-banana/cars/nissan-x-trail-2006-beige-pXLX54F2kLj0SFkWF4r5AcgB.html?page=2&pos=9&cur_pos=9&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=28
Toyota,Vitz,"KSh 640,000","Nairobi, Nairobi Central, 3 hours ago",2011,,Automatic,Black,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-vitz-2011-black-i8TGWo6KCrBry0qZPR85fXY7.html?page=2&pos=12&cur_pos=12&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=31
Toyota,Ractis,"KSh 640,000","Uasin Gishu, Eldoret CBD, 15 hours ago",2009,150000 km,Automatic,White,Local Used,https://jiji.co.ke/kimumu/cars/toyota-ractis-2009-white-uiKjyPR6tedJ0BZvRkUtB6bs.html?page=2&pos=15&cur_pos=15&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=34
Mazda,Verisa,"KSh 640,000","Nairobi, Ngara, 3 hours ago",2008,130787 km,CVT,Red,Local Used,https://jiji.co.ke/ngara/cars/mazda-verisa-2008-red-1sNmpHObQwY2VARBT15QYJwe.html?page=2&pos=18&cur_pos=18&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=37
Nissan,Note,"KSh 640,000","Mombasa, Mombasa CBD, 27/05",2013,120000 km,Automatic,White,Local Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-note-1-2-petrol-2013-white-cZbfc1jz0ifzvWG9eGfE9V6l.html?page=3&pos=1&cur_pos=1&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=40
Toyota,Belta,"KSh 640,000","Nairobi, Nairobi Central, 2 hours ago",2010,161735 km,Automatic,Red,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-belta-2010-red-wrwOhsBzGMTZKyOyxbnnqUlu.html?page=3&pos=5&cur_pos=5&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=44
Toyota,Allion,"KSh 640,000","Nairobi, Upperhill, 3 hours ago",2007,,Automatic,Silver,Local Used,https://jiji.co.ke/upperhill/cars/toyota-allion-2007-silver-3v4YnXT7bzDOQkkKMVqmTqwu.html?page=3&pos=7&cur_pos=7&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=46
Subaru,Impreza,"KSh 639,000","Nairobi, Ridgeways, 2 hours ago",2008,,Manual,Gray,Local Used,https://jiji.co.ke/ridgeways/cars/subaru-impreza-2008-gray-5SjzFrolBFVoVxgSDr1NlEn2.html?page=3&pos=10&cur_pos=10&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=49
Volvo,V40,"KSh 635,000","Nairobi, Kitisuru, 49 min ago",2015,60499 km,Automatic,Red,Local Used,https://jiji.co.ke/kitisuru/cars/volvo-v40-2015-red-3n3wKsA07WLHwSp6CcpWmvUw.html?page=3&pos=14&cur_pos=14&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=53
Toyota,Vitz,"KSh 635,000","Nairobi, Donholm, 3 hours ago",2013,,Automatic,White,Local Used,https://jiji.co.ke/lower-savannah/cars/toyota-vitz-2013-white-tXiM3CNHWLpU43UAncysj0XO.html?page=3&pos=17&cur_pos=17&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=56
Mitsubishi,Pajero IO,"KSh 635,000","Nairobi, Upperhill, 6 hours ago",2005,190921 km,Automatic,Silver,Local Used,https://jiji.co.ke/upperhill/cars/mitsubishi-pajero-io-2005-silver-g0MlDmKUo9lmeZj978CPZbgL.html?page=4&pos=1&cur_pos=1&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=60
Honda,Fit,"KSh 635,000","Nairobi, Kilimani, 3 hours ago",2011,177000 km,Automatic,,Local Used,https://jiji.co.ke/kilimani/cars/honda-fit-automatic-2011-10tSXEFkVgs8YjvAeDaL1ZOC.html?page=4&pos=3&cur_pos=3&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=62
Suzuki,Alto,"KSh 630,000","Kiambu, Ruiru, 7 hours ago",2016,103000 km,Automatic,,Local Used,https://jiji.co.ke/ruiru/cars/suzuki-alto-660cc-fwd-2016-gray-jE0DfTH3nD9LRYNlwftDevQ3.html?page=4&pos=7&cur_pos=7&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=66
Toyota,Allion,"KSh 630,000","Nairobi, Kahawa, 06/05",2004,183085 km,Automatic,Silver,Local Used,https://jiji.co.ke/kahawa/cars/toyota-allion-2004-silver-d3I2zqEOXccLCgaUWGP5OsU1.html?page=4&pos=10&cur_pos=10&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=69
Nissan,Note,"KSh 630,000","Nairobi, Parklands/Highridge, 27/05",2014,,CVT,Silver,Local Used,https://jiji.co.ke/parklands-highridge/cars/nissan-note-1-6-petrol-2014-silver-zuNKk1IGSrdY7j6nknLYmYNU.html?page=4&pos=13&cur_pos=13&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=72
Nissan,Note,"KSh 630,000","Nairobi, Langata, 2 hours ago",2013,145000 km,Automatic,Silver,Local Used,https://jiji.co.ke/mugumo-ini-langata/cars/nissan-note-1-2-petrol-2013-silver-i2gLznDJPmmn0gTy0r7lnhtm.html?page=4&pos=16&cur_pos=16&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=75
Nissan,Tiida,"KSh 630,000","Nairobi, Nairobi Central, 3 hours ago",2012,,Automatic,Beige,Local Used,https://jiji.co.ke/nairobi-central/cars/nissan-tiida-2012-beige-Clv75z0ffHQNLkdoPeQNtEok.html?page=4&pos=18&cur_pos=18&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=77
Nissan,Tiida,"KSh 630,000","Nairobi, Nairobi Central, 3 hours ago",2012,,Automatic,Gray,Local Used,https://jiji.co.ke/nairobi-central/cars/nissan-tiida-2012-gray-5YeaZHYMCEYRMLtwcaV5vZqs.html?page=5&pos=1&cur_pos=1&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=80
Mazda,Axela,"KSh 630,000","Nairobi, Nairobi Central, 6 hours ago",2006,,Automatic,Gray,Local Used,https://jiji.co.ke/nairobi-central/cars/mazda-axela-2006-gray-CdWnAW7FeqGe4w6fGwoYC4WD.html?page=5&pos=4&cur_pos=4&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=83
Daihatsu,Mira,"KSh 630,000","Mombasa, Mombasa CBD, 3 hours ago",2015,,Automatic,Beige,Local Used,https://jiji.co.ke/mombasa-cbd/cars/daihatsu-mira-2015-beige-BRWyNKDNym1S8e3yVuEADbat.html?page=5&pos=7&cur_pos=7&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=86
Toyota,Wish,"KSh 630,000","Nyeri, Kieni, 24/05",2006,,Automatic,White,Local Used,https://jiji.co.ke/kieni/cars/toyota-wish-2006-white-8PAxYVInh8U6KUu7AJ4jcwJ2.html?page=5&pos=10&cur_pos=10&ads_per_page=20&ads_count=1229&lid=eqH_V9CmCnQGJK0y&indexPosition=89
