Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Toyota,Land Cruiser,"KSh 9,150,000","Nairobi, Kilimani, 1 hour ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-land-cruiser-4-6-v8-zx-2017-white-rswapIobUdmPncOavJUJTHCY.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=42997&lid=ye2PMa2Ssmj5PTBC&indexPosition=0
Toyota,Land Cruiser Prado,"KSh 9,100,000","Nairobi, Ridgeways, 1 hour ago",2019,35032 km,Automatic,,Foreign Used,https://jiji.co.ke/ridgeways/cars/toyota-land-cruiser-prado-2-8-2019-black-njFxYuKrbwVjwbUEG0RfnwO.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=42997&lid=ye2PMa2Ssmj5PTBC&indexPosition=3
Toyota,Land Cruiser,"KSh 9,100,000","Mombasa, Mombasa CBD, 1 hour ago",2019,38000 km,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-2019-gray-xyCtsxicJbzD1F1ISflpo0B7.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=42997&lid=ye2PMa2Ssmj5PTBC&indexPosition=6
Isuzu,D-MAX,"KSh 9,100,000","Nairobi, Industrial Area Nairobi, 13 hours ago",2025,,Automatic,Orange,Brand New,https://jiji.co.ke/viwandani-makadara/cars/new-isuzu-d-max-2025-orange-8ktvdVzEiavR5zxi8CKw0hGA.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=42997&lid=ye2PMa2Ssmj5PTBC&indexPosition=9
Mercedes-Benz,GLE-Class,"KSh 9,000,000","Mombasa, Mombasa CBD, 1 hour ago",2018,41235 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gle-class-2018-black-cBUJECDtEh4empjhlenXvgRL.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=42997&lid=ye2PMa2Ssmj5PTBC&indexPosition=12
Land Rover,Range Rover Velar,"KSh 9,000,000","Nairobi, Ridgeways, 2 hours ago",2020,52250 km,Automatic,Gray,Local Used,https://jiji.co.ke/ridgeways/cars/land-rover-range-rover-velar-p250-r-dynamic-s-4x4-2020-gray-fGn7dKx6bUJ5UEiGfizErG8p.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=42997&lid=ye2PMa2Ssmj5PTBC&indexPosition=15
Mercedes-Benz,C63,"KSh 9,000,000","Mombasa, Mombasa CBD, 2 hours ago",2017,62000 km,Automatic,Matt Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-c63-2017-matt-black-kgRkAEABVLNKMdkwQjHB6qIP.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=42997&lid=ye2PMa2Ssmj5PTBC&indexPosition=18
Mercedes-Benz,GLE-Class,"KSh 9,000,000","Mombasa, Mombasa CBD, 1 hour ago",2018,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gle-class-amg-gle-43-4matic-2018-blue-10X1tusnEHhPeVETghFZEi62.html?page=2&pos=3&cur_pos=3&ads_per_page=20&ads_count=42997&lid=ye2PMa2Ssmj5PTBC&indexPosition=22
Mercedes-Benz,GLE-Class,"KSh 9,000,000","Mombasa, Mombasa CBD, 1 hour ago",2017,42000 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gle-class-gle-350d-4matic-2017-white-xaKmj4OUHK7HB2J3wbQonEvB.html?page=2&pos=6&cur_pos=6&ads_per_page=20&ads_count=42997&lid=ye2PMa2Ssmj5PTBC&indexPosition=25
Mercedes-Benz,GLE-Class,"KSh 9,000,000","Mombasa, Mombasa CBD, 1 hour ago",2018,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gle-class-gle-350d-4matic-2018-off-white-n6useosxjhqlTFSAM2HoksuW.html?page=2&pos=9&cur_pos=9&ads_per_page=20&ads_count=42997&lid=ye2PMa2Ssmj5PTBC&indexPosition=28
