Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Toyota,Crown,"KSh 1,015,000","Nairobi, Nairobi Central, 1 hour ago",2010,,Automatic,Red,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-crown-2010-red-BDIeHoMjfhRSDLRSjyBLf0Gg.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=0
Toyota,Wish,"KSh 1,010,000","Nairobi, Runda, 48 min ago",2010,147000 km,Automatic,Black,Local Used,https://jiji.co.ke/karura/cars/toyota-wish-2010-black-pvtIt5khmO2fJvMAjgtrN0ls.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=3
Toyota,Probox,"KSh 1,010,000","Mombasa, Mombasa CBD, 1 hour ago",2015,134000 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-probox-1-5-gl-2wd-2015-silver-oW3sI4BzpHhlE8lVdb2BX6jY.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=6
Nissan,Wingroad,"KSh 1,000,000","Mombasa, Mombasa CBD, 1 hour ago",2016,75284 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-wingroad-2016-blue-eT6g5u7seV5l4AlZJ83SlhJ7.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=9
Toyota,Passo,"KSh 1,000,000","Mombasa, Mombasa CBD, 6 hours ago",2016,74000 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-passo-1-0-fwd-2016-green-3YavMWDTzU8CzUzX2Yp4mEMT.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=12
Suzuki,Wagon R,"KSh 1,000,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-wagon-r-660-hybrid-awd-2017-white-kxzkiaBJzWLa2ZatM7PQg5YB.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=15
Daihatsu,Boon,"KSh 1,000,000","Mombasa, Mvita, 55 min ago",2018,56323 km,Automatic,Pearl,Foreign Used,https://jiji.co.ke/mvita/cars/daihatsu-boon-2018-pearl-NLth2TK9UWfV3E9NyOPuiyz.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=18
Nissan,Note,"KSh 1,000,000","Mombasa, Mombasa CBD, 2 hours ago",2015,,Automatic,Gold,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-note-1-2-petrol-2015-gold-oyVzfRzhv5dRfWNRWMw1DD1k.html?page=2&pos=3&cur_pos=3&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=22
Nissan,Note,"KSh 1,000,000","Mombasa, Mombasa CBD, 1 hour ago",2017,65000 km,Automatic,Brown,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-note-2017-brown-CbNrmJHFMJv3PgCSEXt57zYe.html?page=2&pos=6&cur_pos=6&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=25
Nissan,Note,"KSh 1,000,000","Mombasa, Mombasa CBD, 1 hour ago",2016,,Automatic,Purple,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-note-2016-purple-5cuWHrW4giQ9pUr0t21tW71n.html?page=2&pos=10&cur_pos=10&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=29
Suzuki,Every Wagon,"KSh 1,000,000","Mombasa, Mvita, 1 hour ago",2018,130655 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mvita/cars/suzuki-every-wagon-2018-black-nAED3P0sYAzAq66B6d13kJHC.html?page=2&pos=12&cur_pos=12&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=31
Nissan,Note,"KSh 1,000,000","Nairobi, 2 hours ago",2015,,Automatic,Silver,Foreign Used,https://jiji.co.ke/nairobi/cars/nissan-note-2015-silver-zxz1gJUskM3P7X43xqVJC9ZW.html?page=2&pos=15&cur_pos=15&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=34
Mitsubishi,Mirage,"KSh 1,000,000","Mombasa, Mombasa CBD, 1 hour ago",2016,86000 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mitsubishi-mirage-2016-white-pHktiox19pTlCEfD0P9Xi5ME.html?page=2&pos=18&cur_pos=18&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=37
Nissan,Note,"KSh 1,000,000","Mombasa, Mombasa CBD, 1 hour ago",2016,75000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-note-2016-black-64BDXHE55Wq0z1WidLOsTffD.html?page=3&pos=1&cur_pos=1&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=40
Daihatsu,Move,"KSh 1,000,000","Mombasa, Mombasa CBD, 1 hour ago",2017,62013 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/daihatsu-move-2017-silver-q8SEg5mZ7Ds3MDaLlLyuYBoz.html?page=3&pos=4&cur_pos=4&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=43
Toyota,Pixis Mega,"KSh 1,000,000","Mombasa, Mvita, 4 hours ago",2018,50942 km,Automatic,Brown,Foreign Used,https://jiji.co.ke/mvita/cars/toyota-pixis-mega-2018-brown-BwxktzYVRS5201LGsOTtp74x.html?page=3&pos=7&cur_pos=7&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=46
Toyota,Passo,"KSh 1,000,000","Mombasa, Mombasa CBD, 2 hours ago",2017,69000 km,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-passo-2017-red-Updo8CjAmbCRzS5ONuiGzd4.html?page=3&pos=10&cur_pos=10&ads_per_page=20&ads_count=4612&lid=nsHsVb_NqkPjtM7I&indexPosition=49
