Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Mitsubishi,Outlander,"KSh 3,249,000","Nairobi, Nairobi Central, 3 hours ago",2018,32416 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/nairobi-central/cars/mitsubishi-outlander-2018-silver-d4BGOhS5K7XjeNQv9seXqQfm.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=0
Toyota,Hilux,"KSh 3,230,000","Nairobi, Langata, 2 hours ago",2018,104000 km,Manual,Silver,Foreign Used,https://jiji.co.ke/mugumo-ini-langata/cars/toyota-hilux-revo-double-cab-deisel-2-4-rwd-2018-silver-8qUYiuT6EuRN43ujUeoaFzpB.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=3
Volkswagen,Tiguan,"KSh 3,220,000","Nairobi, Dagoretti, 3 hours ago",2018,114000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/dagoretti/cars/volkswagen-tiguan-2018-black-2vSb4MEhvA9YKsxqvpLITFgP.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=6
Toyota,HiAce,"KSh 3,200,000","Nairobi, Runda, 2 hours ago",2017,,Automatic,White,Foreign Used,https://jiji.co.ke/karura/cars/toyota-hiace-2017-white-yIB30F3UbpwvRYygQTkDKpii.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=9
Toyota,Hilux,"KSh 3,200,000","Nairobi, Langata, 3 hours ago",2018,104000 km,Manual,Silver,Foreign Used,https://jiji.co.ke/mugumo-ini-langata/cars/toyota-hilux-revo-single-cab-deisel-2-4-rwd-2018-silver-jYYx5eNoHZ37cwAnaL8s1PtA.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=12
BMW,220i,"KSh 3,200,000","Mombasa, Mombasa CBD, 56 min ago",2016,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/bmw-220i-2016-black-eRJ9MZyb4qaYTkdtfIMvTzH3.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=15
Subaru,Forester,"KSh 3,200,000","Mombasa, Mombasa CBD, 40 min ago",2017,93852 km,Automatic,Orange,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/subaru-forester-2017-orange-wnXxtVz9L5zu4gji37c0Ob3u.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=18
Toyota,C-HR,"KSh 3,200,000","Mombasa, Mombasa CBD, 3 hours ago",2017,72000 km,Automatic,Yellow,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-c-hr-2017-yellow-86ku0wDixZnD780pHOyDu3LX.html?page=2&pos=4&cur_pos=4&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=23
BMW,X1,"KSh 3,200,000","Mombasa, Mombasa CBD, 3 hours ago",2018,56321 km,Automatic,Pearl,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/bmw-x1-2018-pearl-auz6MV71Fgfgd2L5ltSNqfO8.html?page=2&pos=7&cur_pos=7&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=26
Mitsubishi,Outlander,"KSh 3,200,000","Mombasa, Mombasa CBD, 2 hours ago",2016,83000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mitsubishi-outlander-2016-silver-BajOGluWALOvUisuHQFE4Th0.html?page=2&pos=11&cur_pos=11&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=30
Mazda,CX-5,"KSh 3,200,000","Mombasa, Mombasa CBD, 28 min ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-cx-5-2-2-diesel-awd-2017-matt-black-z6UW5aW7Doh4vMnJ9zs3WCmf.html?page=2&pos=14&cur_pos=14&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=33
Mazda,CX-8,"KSh 3,200,000","Nairobi, Kilimani, 3 hours ago",2018,138000 km,Automatic,Pearl,Foreign Used,https://jiji.co.ke/kilimani/cars/mazda-cx-8-2018-pearl-cJQJXmOX9v5iNRSaVwvCappB.html?page=2&pos=17&cur_pos=17&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=36
Mazda,CX-5,"KSh 3,200,000","Mombasa, Mombasa CBD, 2 hours ago",2018,85233 km,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-cx-5-2018-red-izraJSN15xikCY81IXnbL4Ua.html?page=2&pos=20&cur_pos=20&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=39
Mitsubishi,Outlander,"KSh 3,200,000","Mombasa, Mombasa CBD, 22 min ago",2016,106000 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mitsubishi-outlander-es-fwd-2016-black-rbQ92wbK5hQnocmwHtfRNJG0.html?page=3&pos=3&cur_pos=3&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=42
Mitsubishi,Outlander,"KSh 3,200,000","Nairobi, Ridgeways, 2 hours ago",2017,83000 km,Automatic,,Foreign Used,https://jiji.co.ke/ridgeways/cars/mitsubishi-outlander-2-0-phev-awd-2017-white-oH4ZT0AQVDdYe0J9PsCDxMpY.html?page=3&pos=5&cur_pos=5&ads_per_page=20&ads_count=30236&lid=4umFQ6oTEe1nCz9V&indexPosition=44
