Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Nissan,Leaf,"KSh 1,399,000","Nairobi, Kilimani, 3 hours ago",2016,72000 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-leaf-sv-2016-pearl-96kh8xp9vhXEOnJmxZUq6f34.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=1026&lid=SuPtJJVlaypmASPh&indexPosition=0
Honda,Fit,"KSh 1,399,000","Nairobi, Ridgeways, 2 hours ago",2018,,Automatic,Silver,Foreign Used,https://jiji.co.ke/ridgeways/cars/honda-fit-2018-silver-pTZsMkdAd03h2l2gUicUIrqE.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=1026&lid=SuPtJJVlaypmASPh&indexPosition=3
Toyota,Premio,"KSh 1,399,000","Mombasa, Mombasa CBD, 3 hours ago",2014,99300 km,Automatic,,Local Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-premio-1-8-fwd-2014-silver-8BsO8EKCWxauvUXbk98bXkce.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=1026&lid=SuPtJJVlaypmASPh&indexPosition=6
Mazda,Demio,"KSh 1,399,000","Nairobi, Nairobi Central, 3 hours ago",2018,72000 km,Automatic,Purple,Foreign Used,https://jiji.co.ke/nairobi-central/cars/mazda-demio-2018-purple-rWlvQygxAoPeIaGZaKMGdHjx.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=1026&lid=SuPtJJVlaypmASPh&indexPosition=9
Subaru,Legacy,"KSh 1,399,000","Nairobi, Ridgeways, 3 hours ago",2014,,Automatic,Blue,Local Used,https://jiji.co.ke/ridgeways/cars/subaru-legacy-2014-blue-7Mk6weq5K7UKX1wcxcGHkE3U.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=1026&lid=SuPtJJVlaypmASPh&indexPosition=12
Toyota,Corolla Fielder,"KSh 1,399,000","Nairobi, Lavington, 3 hours ago",2014,164000 km,Automatic,White,Local Used,https://jiji.co.ke/lavington/cars/toyota-corolla-fielder-1-5-petrol-fwd-2014-white-pAR0bGgl6pO2wWh7hnzWuM0K.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=1026&lid=SuPtJJVlaypmASPh&indexPosition=15
Mercedes-Benz,B-Class,"KSh 1,399,000","Nairobi, Kilimani, 3 hours ago",2013,,Automatic,White,Local Used,https://jiji.co.ke/kilimani/cars/mercedes-benz-b-class-2013-white-uoTkn3sF2Z9IeC0wAzBfN1r8.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=1026&lid=SuPtJJVlaypmASPh&indexPosition=18
Nissan,NV200,"KSh 1,399,000","Mombasa, Mombasa CBD, 3 hours ago",2017,,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-nv200-2017-white-mO86q13dmQ7BPzN6OQmaya1N.html?page=2&pos=3&cur_pos=3&ads_per_page=20&ads_count=1026&lid=SuPtJJVlaypmASPh&indexPosition=22
Toyota,Premio,"KSh 1,395,000","Nairobi, Kileleshwa, 3 hours ago",2014,140833 km,Automatic,Silver,Local Used,https://jiji.co.ke/kileleshwa/cars/toyota-premio-2014-silver-5L34oEYulVQoWylm8FVnjzlZ.html?page=2&pos=6&cur_pos=6&ads_per_page=20&ads_count=1026&lid=SuPtJJVlaypmASPh&indexPosition=25
Toyota,Sienta,"KSh 1,395,000","Mombasa, Mombasa CBD, 3 hours ago",2016,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-sienta-1-5-awd-2016-silver-6vIay4segrpExvaSGT8W4TIE.html?page=2&pos=10&cur_pos=10&ads_per_page=20&ads_count=1026&lid=SuPtJJVlaypmASPh&indexPosition=29
