Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Land Rover,Discovery,"KSh 1,790,000","Nairobi, Karen, 21 hours ago",2006,,Automatic,Gray,Local Used,https://jiji.co.ke/karen/cars/land-rover-discovery-2006-gray-59gbNIwCJneDLKqYp3R79JNl.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=0
Mazda,CX-3,"KSh 1,790,000","Nairobi, Ridgeways, 3 hours ago",2017,95031 km,Automatic,Blue,Local Used,https://jiji.co.ke/ridgeways/cars/mazda-cx-3-2017-blue-5mulE8LoiXhHLwC8YBPSW6Se.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=3
Nissan,Juke,"KSh 1,790,000","Nairobi, Kilimani, 2 hours ago",2016,140000 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-juke-nismo-awd-2016-white-OFP60qzlemNwBXJCUpoYF7f.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=6
Subaru,Impreza,"KSh 1,790,000","Nairobi, Kilimani, 3 hours ago",2011,,Automatic,,Local Used,https://jiji.co.ke/kilimani/cars/subaru-impreza-wrx-sedan-sti-limited-2011-blue-wdvgAiv15jqgeme5risWW2qO.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=9
Isuzu,D-MAX,"KSh 1,790,000","Nairobi, Kasarani, 3 hours ago",2017,,Manual,Silver,Local Used,https://jiji.co.ke/kasarani/cars/isuzu-d-max-2017-silver-CqXehSodfAQTBOPgQ57dWIli.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=12
Volkswagen,Golf,"KSh 1,790,000","Mombasa, Mombasa CBD, 59 min ago",2017,71548 km,Automatic,Gold,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-golf-2017-gold-hHaZybGICj5IP50mNP6wDG72.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=15
Nissan,Teana,"KSh 1,790,000","Nairobi, Ridgeways, 2 hours ago",2017,78000 km,Automatic,Other,Foreign Used,https://jiji.co.ke/ridgeways/cars/nissan-teana-2017-yoCgD2uP4W4EcIPgrqIphwvT.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=18
Toyota,Corolla Fielder,"KSh 1,790,000","Mombasa, Mombasa CBD, 3 hours ago",2017,23000 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-corolla-fielder-2017-blue-tPohPFjbYA9LJj7atAhBupzz.html?page=2&pos=2&cur_pos=2&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=21
Mercedes-Benz,C200,"KSh 1,790,000","Nairobi, Nairobi Central, 3 hours ago",2011,112847 km,Automatic,Gray,Local Used,https://jiji.co.ke/nairobi-central/cars/mercedes-benz-c200-2011-gray-iVuiO0ebnTCdxEqyu0jPBuzz.html?page=2&pos=5&cur_pos=5&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=24
Honda,Jade,"KSh 1,790,000","Mombasa, Mombasa CBD, 1 hour ago",2016,96546 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/honda-jade-1-5-hybrid-2016-white-9OUfUmpvbzooncate3JCkNtf.html?page=2&pos=8&cur_pos=8&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=27
Mazda,CX-5,"KSh 1,790,000","Nairobi, Langata, 2 hours ago",2013,110000 km,Automatic,White,Local Used,https://jiji.co.ke/mugumo-ini-langata/cars/mazda-cx-5-2013-white-2Pvadjo6tPGQK9etyrVpEote.html?page=2&pos=10&cur_pos=10&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=29
Toyota,Harrier,"KSh 1,790,000","Nairobi, Nairobi Central, 3 hours ago",2010,124000 km,Automatic,,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-harrier-2-4-2010-white-robw2MBkSaypKQU3CW7PMnYq.html?page=2&pos=13&cur_pos=13&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=32
Toyota,Allion,"KSh 1,790,000","Nairobi, Ridgeways, 12 hours ago",2016,131000 km,Automatic,Pearl,Local Used,https://jiji.co.ke/ridgeways/cars/toyota-allion-2016-pearl-iOkSVRmHFYsAGfLHJqRBiybs.html?page=2&pos=16&cur_pos=16&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=35
Toyota,Sienta,"KSh 1,790,000","Nairobi, Ridgeways, 3 hours ago",2018,,Automatic,Purple,Foreign Used,https://jiji.co.ke/ridgeways/cars/toyota-sienta-2018-purple-dm0hij7tMYodMOJwA7FmoD8W.html?page=2&pos=19&cur_pos=19&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=38
Toyota,Hilux,"KSh 1,790,000","Nairobi, Kasarani, 2 hours ago",2017,,Manual,Silver,Local Used,https://jiji.co.ke/kasarani/cars/toyota-hilux-2017-silver-eKZGUKj19jK6GnRo200l6MgM.html?page=3&pos=2&cur_pos=2&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=41
Toyota,Land Cruiser Prado,"KSh 1,790,000","Nairobi, Nairobi Central, 3 hours ago",2008,118000 km,Manual,,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-land-cruiser-prado-2-7-i-16v-2008-gold-uqj7FCCyOKXttI77A09lXxeR.html?page=3&pos=4&cur_pos=4&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=43
Toyota,Hilux,"KSh 1,790,000","Nairobi, Nairobi Central, 3 hours ago",2007,165805 km,Automatic,,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-hilux-2007-matt-black-3WH0cWSg6u5hKah0fff49xSo.html?page=3&pos=8&cur_pos=8&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=47
Toyota,Hilux Surf,"KSh 1,790,000","Nairobi, Parklands/Highridge, 2 hours ago",2008,15100 km,Automatic,,Local Used,https://jiji.co.ke/parklands-highridge/cars/toyota-hilux-surf-2-7-ssr-2008-black-sb8OIhKxfGxQV6FYFQ60bxvC.html?page=3&pos=11&cur_pos=11&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=50
Mazda,Axela,"KSh 1,790,000","Mombasa, Mombasa CBD, 1 hour ago",2017,58000 km,Automatic,Brown,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-axela-2017-brown-z3Ggbzb8u79tLjal74hM6HH6.html?page=3&pos=14&cur_pos=14&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=53
Toyota,Land Cruiser,"KSh 1,790,000","Nairobi, Upperhill, 3 hours ago",1993,,Automatic,White,Local Used,https://jiji.co.ke/upperhill/cars/toyota-land-cruiser-1993-white-jG4DWVzRuRbp91vk5xEtvAHq.html?page=3&pos=18&cur_pos=18&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=57
Toyota,Land Cruiser,"KSh 1,790,000","Nairobi, Nairobi Central, 3 hours ago",1996,169000 km,Manual,Red,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-land-cruiser-1996-red-sBqRnqwPtVjmJBZc5FMAdkBZ.html?page=4&pos=1&cur_pos=1&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=60
Volkswagen,Golf,"KSh 1,785,000","Nairobi, Kilimani, 32 min ago",2017,85847 km,CVT,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/volkswagen-golf-2017-black-g8ctcsh7Jwl6RzxUZavmXZ6.html?page=4&pos=4&cur_pos=4&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=63
Toyota,Premio,"KSh 1,785,000","Nairobi, Ridgeways, 3 hours ago",2015,91031 km,Automatic,,Local Used,https://jiji.co.ke/ridgeways/cars/toyota-premio-1-5-fwd-2015-black-8KR9JiLqA0RVqgtnK3RbUSdu.html?page=4&pos=7&cur_pos=7&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=66
Toyota,Auris,"KSh 1,785,000","Mombasa, Mombasa CBD, 1 hour ago",2016,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-auris-2016-black-2G8Kup2OgVvsDBMo6dKHvhTw.html?page=4&pos=10&cur_pos=10&ads_per_page=20&ads_count=17846&lid=vz6bM30rmz-LqvG6&indexPosition=69
