Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Mazda,CX-5,"KSh 3,099,000","Nairobi, Kilimani, 1 hour ago",2017,69000 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/kilimani/cars/mazda-cx-5-2017-blue-CLurJC9nlnz06vui8K714xJ.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=29217&lid=RpPRnnVwQgG40Dd3&indexPosition=0
Mitsubishi,Outlander,"KSh 3,099,000","Kiambu, Kiambu / Kiambu , 1 hour ago",2018,128000 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/kiambu-kiambu/cars/mitsubishi-outlander-2018-blue-hZugoCKur9IzOvkggJi23CRN.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=29217&lid=RpPRnnVwQgG40Dd3&indexPosition=3
Mercedes-Benz,C200,"KSh 3,099,000","Nairobi, Ridgeways, 1 hour ago",2015,,Automatic,Red,Local Used,https://jiji.co.ke/ridgeways/cars/mercedes-benz-c200-2015-red-C1oTVGAZ0bkRFRKVHoWbQfTw.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=29217&lid=RpPRnnVwQgG40Dd3&indexPosition=6
Mitsubishi,Outlander,"KSh 3,095,000","Kajiado, Ngong, 1 hour ago",2018,96000 km,Automatic,White,Foreign Used,https://jiji.co.ke/ngong/cars/mitsubishi-outlander-2018-white-nnv1DNoVL9xjAaZDeUFKXXkA.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=29217&lid=RpPRnnVwQgG40Dd3&indexPosition=9
Mazda,CX-5,"KSh 3,090,000","Nairobi, Ridgeways, 1 hour ago",2017,75800 km,Automatic,,Foreign Used,https://jiji.co.ke/ridgeways/cars/mazda-cx-5-2-2-diesel-awd-2017-burgundy-3fXfQFulL7BBdE93i93tJ9nL.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=29217&lid=RpPRnnVwQgG40Dd3&indexPosition=12
Mazda,CX-5,"KSh 3,088,000","Nairobi, Kilimani, 1 hour ago",2017,112000 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/mazda-cx-5-grand-select-fwd-2017-black-s9qCMMk6j4Q06JyKWIyodi0V.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=29217&lid=RpPRnnVwQgG40Dd3&indexPosition=15
Mazda,CX-5,"KSh 3,080,000","Mombasa, Mombasa CBD, 2 hours ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-cx-5-grand-touring-fwd-2017-white-ttGOFixEiQGsXQFLtgp6TyRS.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=29217&lid=RpPRnnVwQgG40Dd3&indexPosition=18
Mazda,CX-5,"KSh 3,080,000","Nairobi, Kilimani, 1 hour ago",2018,,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/mazda-cx-5-2-2-diesel-fwd-2018-white-gf8uYFRaIevFXQ6n5Jl1bkQA.html?page=2&pos=4&cur_pos=4&ads_per_page=20&ads_count=29217&lid=RpPRnnVwQgG40Dd3&indexPosition=23
Toyota,Hilux,"KSh 3,072,000","Mombasa, Mombasa CBD, 32 min ago",2019,,Manual,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-hilux-revo-single-cab-deisel-2-4-rwd-2019-white-uo4qJSYcb9t4NKhJdRoviI3a.html?page=2&pos=7&cur_pos=7&ads_per_page=20&ads_count=29217&lid=RpPRnnVwQgG40Dd3&indexPosition=26
Mazda,CX-5,"KSh 3,070,000","Nairobi, Nairobi Central, 1 hour ago",2018,95800 km,Automatic,,Foreign Used,https://jiji.co.ke/nairobi-central/cars/mazda-cx-5-2-2-diesel-fwd-2018-white-u4MHHUsYskEEJQ2ScSbKK1Pl.html?page=2&pos=10&cur_pos=10&ads_per_page=20&ads_count=29217&lid=RpPRnnVwQgG40Dd3&indexPosition=29
