Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Isuzu,D-MAX,"KSh 2,799,000","Nairobi, Karen, 3 hours ago",2018,,Manual,Gray,Local Used,https://jiji.co.ke/karen/cars/isuzu-d-max-2018-gray-dN4dlaxfWNSSUzFCiHMBySLd.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=27284&lid=dMKmrP0vQ51H967c&indexPosition=0
Toyota,RAV4,"KSh 2,799,000","Nairobi, Ridgeways, 3 hours ago",2017,62045 km,Automatic,Burgundy,Foreign Used,https://jiji.co.ke/ridgeways/cars/toyota-rav4-2017-burgundy-utm0jO1rof47pMaOfMTz0kpo.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=27284&lid=dMKmrP0vQ51H967c&indexPosition=3
Subaru,Outback,"KSh 2,799,000","Nairobi, Kilimani, 3 hours ago",2017,75000 km,Automatic,Red,Foreign Used,https://jiji.co.ke/kilimani/cars/subaru-outback-2017-red-ndJZWkkByflbwaUzwXJ2Rqrb.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=27284&lid=dMKmrP0vQ51H967c&indexPosition=6
Mazda,CX-5,"KSh 2,795,000","Nairobi, Kilimani, 2 hours ago",2017,89000 km,Automatic,Red,Foreign Used,https://jiji.co.ke/kilimani/cars/mazda-cx-5-2017-red-uxvUhZBJFTjMNBWpThk2Ka0F.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=27284&lid=dMKmrP0vQ51H967c&indexPosition=9
Honda,Vezel,"KSh 2,795,000","Nairobi, Kilimani, 6 hours ago",2018,86000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/honda-vezel-2018-black-q8gxoQ0nm99OiIutI2X8Dz98.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=27284&lid=dMKmrP0vQ51H967c&indexPosition=12
Mazda,CX-5,"KSh 2,791,910","Nairobi, Nairobi Central, 3 hours ago",2017,55000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/nairobi-central/cars/mazda-cx-5-2017-black-7m2T3MtoYwmRArE7kibJVkK.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=27284&lid=dMKmrP0vQ51H967c&indexPosition=15
Subaru,Forester,"KSh 2,790,000","Nairobi, Kilimani, 2 hours ago",2017,121000 km,Automatic,Pearl,Foreign Used,https://jiji.co.ke/kilimani/cars/subaru-forester-2017-pearl-1DIzUd770dJsOP0suCnBgHUD.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=27284&lid=dMKmrP0vQ51H967c&indexPosition=18
Mitsubishi,Outlander,"KSh 2,790,000","Nairobi, Nairobi West, 3 hours ago",2015,78000 km,CVT,,Foreign Used,https://jiji.co.ke/nairobi-west/cars/mitsubishi-outlander-2015-black-spoyJq3RucCm5a8XDA06alNz.html?page=2&pos=3&cur_pos=3&ads_per_page=20&ads_count=27284&lid=dMKmrP0vQ51H967c&indexPosition=22
Subaru,Forester,"KSh 2,790,000","Mombasa, Mombasa CBD, 1 hour ago",2017,104000 km,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/subaru-forester-2017-red-jFdLSkMCzOkwkrC6YTViiusV.html?page=2&pos=5&cur_pos=5&ads_per_page=20&ads_count=27284&lid=dMKmrP0vQ51H967c&indexPosition=24
Ford,Ranger,"KSh 2,790,000","Nairobi, Kilimani, 2 hours ago",2013,93000 km,Automatic,Orange,Local Used,https://jiji.co.ke/kilimani/cars/ford-ranger-2013-orange-pw504azlfskzUHNrGwGOLf5k.html?page=2&pos=8&cur_pos=8&ads_per_page=20&ads_count=27284&lid=dMKmrP0vQ51H967c&indexPosition=27
