Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Subaru,Forester,"KSh 4,090,000","Nairobi, Kilimani, 8 hours ago",2019,113580 km,CVT,White,Foreign Used,https://jiji.co.ke/kilimani/cars/subaru-forester-2019-white-tur2Xj6G5Wt1jM652E2MrRiI.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=0
Toyota,Harrier,"KSh 4,070,000","Nairobi, Ridgeways, 1 hour ago",2017,,Automatic,Red,Foreign Used,https://jiji.co.ke/ridgeways/cars/toyota-harrier-2017-red-8OOtRwHF1bRXCtJnqicjXPVc.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=3
Toyota,Crown,"KSh 4,050,000","Nairobi, Ridgeways, 1 hour ago",2018,91000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/ridgeways/cars/toyota-crown-2018-silver-2E40atjTGoh0Iyj6PkKfYm2U.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=6
Mercedes-Benz,C250,"KSh 4,050,000","Mombasa, Mombasa CBD, 2 hours ago",2015,40773 km,Automatic,Matt Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-c250-2015-matt-black-ckFCLclUcOpJmnbmX9Hsrv6w.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=9
Volkswagen,Arteon,"KSh 4,050,000","Mombasa, Mombasa CBD, 1 hour ago",2019,76215 km,Automatic,Off white,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-arteon-2019-off-white-kWulH1h1QKzkHdCtpaWWC8Z2.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=12
Volkswagen,Tiguan,"KSh 4,050,000","Mombasa, Mombasa CBD, 2 hours ago",2019,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-tiguan-2019-pearl-oUHcD8snOI5ej8zl6LxWsbh2.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=15
Volkswagen,Arteon,"KSh 4,050,000","Mombasa, Mombasa CBD, 2 hours ago",2019,,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-arteon-2019-silver-oFbnSmYkCaXeqTeJAtDvYaFJ.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=18
Toyota,Alphard,"KSh 4,050,000","Mombasa, Ganjoni, 1 hour ago",2018,42000 km,Automatic,White,Foreign Used,https://jiji.co.ke/ganjoni/cars/toyota-alphard-2018-white-zJeYNFvs8ReCgJtoKeSrDeYv.html?page=2&pos=3&cur_pos=3&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=22
Jeep,Grand Cherokee,"KSh 4,050,000","Nairobi, Nairobi Central, 56 min ago",2017,98000 km,Automatic,White,Local Used,https://jiji.co.ke/nairobi-central/cars/jeep-grand-cherokee-limited-4dr-4x4-2017-white-f4OK92aqIqVycjD18gyowZPO.html?page=2&pos=6&cur_pos=6&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=25
Toyota,RAV4,"KSh 4,050,000","Nairobi, Kilimani, 1 hour ago",2019,111000 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-rav4-adventure-2019-black-if57tr9ThdTTZm8sJF79vSKd.html?page=2&pos=9&cur_pos=9&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=28
Toyota,Alphard,"KSh 4,050,000","Nairobi, Lavington, 5 hours ago",2018,104646 km,Automatic,Black,Foreign Used,https://jiji.co.ke/lavington/cars/toyota-alphard-2-5-petrol-fwd-2018-black-52Z4Mw2iAG8zIQu3TiXEDRWY.html?page=2&pos=11&cur_pos=11&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=30
Volkswagen,Golf R,"KSh 4,050,000","Nairobi, Runda, 1 hour ago",2018,69000 km,Automatic,White,Foreign Used,https://jiji.co.ke/karura/cars/volkswagen-golf-r-4-door-w-dcc-navigation-2018-white-yKgefgjwxhMf6DstPXQpCGTq.html?page=2&pos=15&cur_pos=15&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=34
Toyota,Harrier,"KSh 4,030,000","Mombasa, Mvita, 1 hour ago",2018,77000 km,Automatic,,Foreign Used,https://jiji.co.ke/mvita/cars/toyota-harrier-2-5-hybrid-4wd-2018-pearl-xANNajaCclTZ9ISsfHShQ8PF.html?page=2&pos=19&cur_pos=19&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=38
Mercedes-Benz,E200,"KSh 4,000,000","Nairobi, Ridgeways, 1 hour ago",2016,64000 km,Automatic,Black,Local Used,https://jiji.co.ke/ridgeways/cars/mercedes-benz-e200-2016-black-a7cIrJBB31Dv9jkYokq8tLta.html?page=3&pos=2&cur_pos=2&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=41
Volkswagen,Arteon,"KSh 4,000,000","Mombasa, Mombasa CBD, 2 hours ago",2019,81793 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-arteon-2019-white-wdyk9e4AsmigHB8tNofMhn9R.html?page=3&pos=5&cur_pos=5&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=44
Land Rover,Discovery,"KSh 4,000,000","Nairobi, Ridgeways, 1 hour ago",2013,102000 km,Automatic,Red,Local Used,https://jiji.co.ke/ridgeways/cars/land-rover-discovery-2013-red-b3rqD7cwGksKzYdUgGlcB8uu.html?page=3&pos=8&cur_pos=8&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=47
BMW,225xe,"KSh 4,000,000","Mombasa, Mombasa CBD, 2 hours ago",2014,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/bmw-225xe-2014-black-4Xhz60kxiCrHOrNuCpUNiUc0.html?page=3&pos=11&cur_pos=11&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=50
Volkswagen,Tiguan,"KSh 4,000,000","Mombasa, Mombasa CBD, 2 hours ago",2017,,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-tiguan-2017-silver-i43sPKZreTAkhk2kFdCCCT7.html?page=3&pos=14&cur_pos=14&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=53
Toyota,Vellfire,"KSh 4,000,000","Mombasa, Mombasa CBD, 1 hour ago",2018,108000 km,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-vellfire-2018-gray-iGxJog8iap10iCxVQ0uuIoNx.html?page=3&pos=17&cur_pos=17&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=56
Mazda,CX-8,"KSh 4,000,000","Mombasa, Mombasa CBD, 2 hours ago",2017,24000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mazda-cx-8-2017-black-mZoZVOBky0FAvgTcnWaZmzaI.html?page=3&pos=20&cur_pos=20&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=59
Toyota,Hilux,"KSh 4,000,000","Mombasa, Mombasa CBD, 1 hour ago",2018,42000 km,Manual,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-hilux-2018-gray-2QPU9R0NDqiGsrxBi3We3JIw.html?page=4&pos=5&cur_pos=5&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=64
Audi,A6,"KSh 4,000,000","Mombasa, Mombasa CBD, 2 hours ago",2018,38000 km,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/audi-a6-2018-gray-yCVQQbZPah1edrjHLKCuVTWZ.html?page=4&pos=8&cur_pos=8&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=67
Mercedes-Benz,GLA-Class,"KSh 4,000,000","Mombasa, Mombasa CBD, 2 hours ago",2017,,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gla-class-2017-white-2QTSUI5pR2C7Pc91jebp1jyD.html?page=4&pos=11&cur_pos=11&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=70
Mercedes-Benz,GLA 250,"KSh 4,000,000","Mombasa, Mombasa CBD, 2 hours ago",2017,,Automatic,Brown,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-gla-250-2017-brown-Cl8Xp3g70gbYbch2XHuFD1aZ.html?page=4&pos=14&cur_pos=14&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=73
Volkswagen,Arteon,"KSh 4,000,000","Mombasa, Mombasa CBD, 1 hour ago",2019,84132 km,Automatic,Pearl,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-arteon-2-0t-sel-premium-r-line-w-20-awd-4motion-2019-pearl-gqM3byZ2QuRYqHcE1QLaujBv.html?page=4&pos=16&cur_pos=16&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=75
Mazda,CX-8,"KSh 4,000,000","Nairobi, 1 hour ago",2018,,Automatic,Silver,Foreign Used,https://jiji.co.ke/nairobi/cars/mazda-cx-8-2018-silver-zRWcqxfuDotUJcSddEo0iFp2.html?page=4&pos=19&cur_pos=19&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=78
BMW,X3,"KSh 4,000,000","Mombasa, Mombasa CBD, 2 hours ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/bmw-x3-xdrive28d-awd-2017-white-ieo70FOylgCndqxakI2Kvrkl.html?page=5&pos=2&cur_pos=2&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=81
Volkswagen,Tiguan,"KSh 4,000,000","Mombasa, Mombasa CBD, 2 hours ago",2017,,Automatic,Matt Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-tiguan-2017-matt-black-85ayTU4GlEOGywBus5kjKXrC.html?page=5&pos=5&cur_pos=5&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=84
Volkswagen,Arteon,"KSh 4,000,000","Mombasa, Mombasa CBD, 1 hour ago",2021,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-arteon-2-0t-sel-r-line-4motion-2021-off-white-tR4Ipy8HfBEu1GAoVIpADBoO.html?page=5&pos=8&cur_pos=8&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=87
Volkswagen,Tiguan,"KSh 4,000,000","Mombasa, Mombasa CBD, 2 hours ago",2018,,Automatic,Pearl,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-tiguan-2018-pearl-2VQA7uCq1m0rCzVXnTbRxyi8.html?page=5&pos=11&cur_pos=11&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=90
Toyota,Harrier,"KSh 4,000,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-harrier-2-5-hybrid-4wd-2017-purple-uDTgufdlRGoVGgwnmvd5DQKi.html?page=5&pos=14&cur_pos=14&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=93
Mazda,CX-8,"KSh 4,000,000","Nairobi, 2 hours ago",2018,,Automatic,Brown,Foreign Used,https://jiji.co.ke/nairobi/cars/mazda-cx-8-2018-brown-B4ETtvAe5LgPbCPKDbVxB3Bo.html?page=5&pos=17&cur_pos=17&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=96
Toyota,Vellfire,"KSh 4,000,000","Mombasa, Mombasa CBD, 1 hour ago",2017,162793 km,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-vellfire-2017-gray-nQ5xe4iquEFpPLAvbytwJw9l.html?page=5&pos=20&cur_pos=20&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=99
Audi,Q5,"KSh 4,000,000","Nakuru, Nakuru Town West, 1 hour ago",2016,,Automatic,,Local Used,https://jiji.co.ke/nakuru-town-west/cars/audi-q5-2-0t-premium-awd-quattro-2016-black-u8A9tO8IrWlNShspCHuGtMJr.html?page=6&pos=3&cur_pos=3&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=102
Subaru,Forester,"KSh 4,000,000","Mombasa, Mombasa CBD, 2 hours ago",2018,,Automatic,Gold,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/subaru-forester-2018-gold-aKQxbO1ytLmdrjQzTaRqKdbU.html?page=6&pos=6&cur_pos=6&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=105
Subaru,Forester,"KSh 4,000,000","Mombasa, Mombasa CBD, 2 hours ago",2019,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/subaru-forester-sport-awd-2019-blue-tRWivztA0hDuAFsGq2etxdpy.html?page=6&pos=10&cur_pos=10&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=109
Toyota,Hilux,"KSh 4,000,000","Mombasa, Mombasa CBD, 2 hours ago",2017,,Manual,Other,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-hilux-sr5-4x4-2017-zaYsna6zX6MSsvEMV3DTNEbR.html?page=6&pos=13&cur_pos=13&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=112
Toyota,Harrier,"KSh 4,000,000","Mombasa, Mombasa CBD, 1 hour ago",2018,40000 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-harrier-2-0-2018-black-69c8Aw9m1GV0epvw7bSmruMz.html?page=6&pos=16&cur_pos=16&ads_per_page=20&ads_count=34651&lid=w31PubD6pvFOcYfr&indexPosition=115
