Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Honda,Vezel,"KSh 2,349,000","Nairobi, Ridgeways, 1 day ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/ridgeways/cars/honda-vezel-1-5-hybrid-2wd-2017-black-3IjEegee3QjTEugF0w28gsTD.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=0
Audi,Q5,"KSh 2,349,000","Nairobi, Langata, 3 hours ago",2012,98000 km,Automatic,,Local Used,https://jiji.co.ke/mugumo-ini-langata/cars/audi-q5-2-0t-premium-quattro-2012-white-dTwQKtfwYsRY7Vy9xSqOuc7H.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=3
Subaru,XV,"KSh 2,345,000","Nairobi, Nairobi Central, 3 hours ago",2017,86592 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/nairobi-central/cars/subaru-xv-2017-silver-wK2XM6buCOC5KUGIVSxwImOY.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=6
Toyota,Hilux,"KSh 2,340,000","Nairobi, Nairobi Central, 2 hours ago",2014,106355 km,Manual,White,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-hilux-2014-white-u4x7tvnBCd8b13kHt7e5rVlV.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=9
Toyota,Hilux,"KSh 2,340,000","Nairobi, Nairobi Central, 3 hours ago",2011,147029 km,Automatic,Gray,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-hilux-2011-gray-17kWOFIeAXqWjV5b1Xl925R1.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=12
Mazda,CX-5,"KSh 2,330,000","Nairobi, Kilimani, 2 hours ago",2016,,Automatic,Black,Local Used,https://jiji.co.ke/kilimani/cars/mazda-cx-5-2016-black-ASDkSkOO205h0ZMftg2AteoI.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=15
Subaru,Forester,"KSh 2,330,000","Nairobi, Kilimani, 3 hours ago",2015,,Automatic,Red,Local Used,https://jiji.co.ke/kilimani/cars/subaru-forester-2015-red-u3S3RPHQLGc000QnB5SOsaQp.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=18
Audi,A4,"KSh 2,330,000","Nairobi, Karen, 3 hours ago",2014,78000 km,Automatic,Red,Local Used,https://jiji.co.ke/karen/cars/audi-a4-2014-red-dZLgQMbbqBsSIT2j6fciqrp9.html?page=2&pos=2&cur_pos=2&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=21
Nissan,X-Trail,"KSh 2,330,000","Nairobi, Kilimani, 3 hours ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/nissan-x-trail-2-0-petrol-awd-2017-white-96k9oIApxeodR7sTkdBs8xFu.html?page=2&pos=5&cur_pos=5&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=24
Lexus,RX,"KSh 2,320,000","Nairobi, Langata, 2 hours ago",2009,140000 km,Automatic,White,Local Used,https://jiji.co.ke/mugumo-ini-langata/cars/lexus-rx-2009-white-klTC3KMHP0pQEuA88CqitM3s.html?page=2&pos=9&cur_pos=9&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=28
Mitsubishi,RVR,"KSh 2,320,000","Nairobi, Nairobi Central, 2 hours ago",2017,,Automatic,Gray,Foreign Used,https://jiji.co.ke/nairobi-central/cars/mitsubishi-rvr-2017-gray-8qB7cGobpxCNtV3sjoZNHIVA.html?page=2&pos=11&cur_pos=11&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=30
Subaru,XV,"KSh 2,320,000","Mombasa, Mombasa CBD, 2 hours ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/subaru-xv-touring-2017-teal-7yvs9EanGALT65QGg85qZAEk.html?page=2&pos=14&cur_pos=14&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=33
Volkswagen,Passat,"KSh 2,320,000","Mombasa, Mombasa CBD, 1 hour ago",2016,,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-passat-2016-blue-7IwOUDr1t4sESUbexZ3wP2D2.html?page=2&pos=16&cur_pos=16&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=35
Subaru,XV,"KSh 2,320,000","Nairobi, Ridgeways, 3 hours ago",2017,,Automatic,White,Foreign Used,https://jiji.co.ke/ridgeways/cars/subaru-xv-2017-white-5pXLEePH8tFXU6ZriGDO96n5.html?page=2&pos=19&cur_pos=19&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=38
Audi,Q5,"KSh 2,320,000","Nairobi, Langata, 3 hours ago",2010,159000 km,Automatic,,Local Used,https://jiji.co.ke/mugumo-ini-langata/cars/audi-q5-2-0-tdi-2010-silver-Ci82DcyUfodq00VLmPMGaPT3.html?page=3&pos=2&cur_pos=2&ads_per_page=20&ads_count=23315&lid=f1NH7UQZhb1-jZ62&indexPosition=41
