Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Toyota,Auris,"KSh 1,179,000","Nairobi, Ridgeways, 2 hours ago",2012,,Automatic,Green,Local Used,https://jiji.co.ke/ridgeways/cars/toyota-auris-2012-green-f8hvS02r4lUdl20Hv1buOrb7.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=1902&lid=6teSzdnzZJ3KlPRX&indexPosition=0
Nissan,Juke,"KSh 1,175,000","Kiambu, Kiambu / Kiambu , 2 hours ago",2015,122000 km,Automatic,Black,Local Used,https://jiji.co.ke/kiambu-kiambu/cars/nissan-juke-2015-black-sC57wu54sGNYrXJrgyOEnHPH.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=1902&lid=6teSzdnzZJ3KlPRX&indexPosition=3
Toyota,Mark X,"KSh 1,175,000","Nairobi, Nairobi Central, 1 hour ago",2012,133000 km,Automatic,Silver,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-mark-x-2012-silver-rfhgVIgm9fya8LHuTrM9hsJk.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=1902&lid=6teSzdnzZJ3KlPRX&indexPosition=6
Toyota,Noah,"KSh 1,175,000","Nairobi, Nairobi Central, 2 hours ago",2010,122000 km,Automatic,,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-noah-2-0-158hp-awd-8-seater-2010-white-avqIYtN0qnpF9DVd5IJAhTNq.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=1902&lid=6teSzdnzZJ3KlPRX&indexPosition=9
Toyota,Allion,"KSh 1,170,000","Nairobi, Kilimani, 1 hour ago",2010,,Automatic,Silver,Local Used,https://jiji.co.ke/kilimani/cars/toyota-allion-2010-silver-b6eCc7VQ3qy4e0Z6SvK05Zfv.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=1902&lid=6teSzdnzZJ3KlPRX&indexPosition=12
Mitsubishi,Outlander,"KSh 1,170,000","Nairobi, Ridgeways, 1 hour ago",2007,135031 km,Automatic,Gray,Local Used,https://jiji.co.ke/ridgeways/cars/mitsubishi-outlander-2007-gray-7QJtzkHCYAEO2wOutaO4FmD2.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=1902&lid=6teSzdnzZJ3KlPRX&indexPosition=15
Nissan,Lafesta,"KSh 1,170,000","Mombasa, Mombasa CBD, 1 hour ago",2015,60785 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-lafesta-2015-black-tITNJRWdphaOANgKAZ7ZE7hM.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=1902&lid=6teSzdnzZJ3KlPRX&indexPosition=18
Subaru,Legacy,"KSh 1,170,000","Nairobi, Parklands/Highridge, 1 hour ago",2010,140000 km,Automatic,White,Foreign Used,https://jiji.co.ke/parklands-highridge/cars/subaru-legacy-2010-white-aa13fN5wit8735P0oHHVtGYY.html?page=2&pos=3&cur_pos=3&ads_per_page=20&ads_count=1902&lid=6teSzdnzZJ3KlPRX&indexPosition=22
Toyota,Axio,"KSh 1,170,000","Mombasa, Mombasa CBD, 1 hour ago",2014,81000 km,Automatic,White,Local Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-axio-1-5-x-2wd-2014-white-zv03y7sUaMdGjB5B1ebyPXuo.html?page=2&pos=6&cur_pos=6&ads_per_page=20&ads_count=1902&lid=6teSzdnzZJ3KlPRX&indexPosition=25
Toyota,Roomy,"KSh 1,170,000","Nairobi, Kilimani, 2 hours ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-roomy-1-0-fwd-2017-silver-qaUQLq7JtNGQHSbXvr6kRoRD.html?page=2&pos=9&cur_pos=9&ads_per_page=20&ads_count=1902&lid=6teSzdnzZJ3KlPRX&indexPosition=28
Subaru,Impreza,"KSh 1,170,000","Nairobi, Kilimani, 2 hours ago",2014,,Automatic,Blue,Local Used,https://jiji.co.ke/kilimani/cars/subaru-impreza-2014-blue-nBLQBNFafJ7tpz97PjKMhRnN.html?page=2&pos=12&cur_pos=12&ads_per_page=20&ads_count=1902&lid=6teSzdnzZJ3KlPRX&indexPosition=31
Nissan,X-Trail,"KSh 1,170,000","Nairobi, Nairobi Central, 5 hours ago",2009,1350000 km,CVT,Red,Local Used,https://jiji.co.ke/nairobi-central/cars/nissan-x-trail-2009-red-daWyz5danC1DgU3Z3aP543Vx.html?page=2&pos=14&cur_pos=14&ads_per_page=20&ads_count=1902&lid=6teSzdnzZJ3KlPRX&indexPosition=33
Toyota,Axio,"KSh 1,170,000","Nairobi, Woodley/Kenyatta Golf Course, 2 hours ago",2014,,Automatic,White,Local Used,https://jiji.co.ke/woodley-kenyatta-golf-course/cars/toyota-axio-2014-white-hg91eCsysnB3F0NBTPnqSNUq.html?page=2&pos=17&cur_pos=17&ads_per_page=20&ads_count=1902&lid=6teSzdnzZJ3KlPRX&indexPosition=36
