Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Mitsubishi,Shogun,"KSh 6,790,000","Nairobi, Lavington, 3 hours ago",2019,,Automatic,Gray,Foreign Used,https://jiji.co.ke/lavington/cars/mitsubishi-shogun-2019-gray-B4T4RrE0BaI2Ak0DP0zvca24.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=40413&lid=zK0y3GY7zTXLsSp9&indexPosition=0
Toyota,Land Cruiser Prado,"KSh 6,760,000","Nairobi, Muthaiga, 21 hours ago",2017,62120 km,AMT,,Foreign Used,https://jiji.co.ke/muthaiga/cars/toyota-land-cruiser-prado-2-8-2017-silver-ttICBY3tMZbX2ddQVv1wIRuR.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=40413&lid=zK0y3GY7zTXLsSp9&indexPosition=3
Toyota,Land Cruiser Prado,"KSh 6,750,000","Nairobi, Kilimani, 3 hours ago",2018,49825 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-land-cruiser-prado-2-7-2018-black-doEHitOm5ZOhLS6cpKlVJUXo.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=40413&lid=zK0y3GY7zTXLsSp9&indexPosition=6
BMW,X5,"KSh 6,750,000","Nairobi, Runda, 3 hours ago",2017,67000 km,Automatic,,Foreign Used,https://jiji.co.ke/karura/cars/bmw-x5-2017-white-n2dY6VSusZz01jhfrUFJcxmZ.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=40413&lid=zK0y3GY7zTXLsSp9&indexPosition=9
Toyota,Land Cruiser Prado,"KSh 6,750,000","Nairobi, Kilimani, 3 hours ago",2018,,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-land-cruiser-prado-2-7-2018-pearl-64AyRXDcV2FL9WnkMV4S9d1F.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=40413&lid=zK0y3GY7zTXLsSp9&indexPosition=12
Toyota,Land Cruiser Prado,"KSh 6,750,000","Mombasa, Mombasa CBD, 1 hour ago",2018,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-prado-2-7-2018-black-hZ4FwK5iPOB9tPwhaVd6fwrv.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=40413&lid=zK0y3GY7zTXLsSp9&indexPosition=15
Toyota,Land Cruiser Prado,"KSh 6,750,000","Nairobi, Woodley/Kenyatta Golf Course, 2 hours ago",2017,78144 km,Automatic,,Local Used,https://jiji.co.ke/woodley-kenyatta-golf-course/cars/toyota-land-cruiser-prado-2-8-2017-pearl-rRGXuaCNclOyQTEecYipTxFc.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=40413&lid=zK0y3GY7zTXLsSp9&indexPosition=18
Toyota,Hilux,"KSh 6,750,000","Nairobi, Ridgeways, 3 hours ago",2021,29000 km,Automatic,Brown,Foreign Used,https://jiji.co.ke/ridgeways/cars/toyota-hilux-2021-brown-iGpoy2PcD8HySTVJ7lDuTqHw.html?page=2&pos=3&cur_pos=3&ads_per_page=20&ads_count=40413&lid=zK0y3GY7zTXLsSp9&indexPosition=22
BMW,X5,"KSh 6,750,000","Nairobi, Ridgeways, 3 hours ago",2017,70000 km,Automatic,White,Foreign Used,https://jiji.co.ke/ridgeways/cars/bmw-x5-2017-white-2KOQmfuY8W5zj0I3QN4AYKZ5.html?page=2&pos=6&cur_pos=6&ads_per_page=20&ads_count=40413&lid=zK0y3GY7zTXLsSp9&indexPosition=25
Toyota,Land Cruiser Prado,"KSh 6,750,000","Nairobi, Kilimani, 3 hours ago",2019,89000 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-land-cruiser-prado-2-8-2019-pearl-wquFqXz4nNiQn3UHQmZhmKJR.html?page=2&pos=9&cur_pos=9&ads_per_page=20&ads_count=40413&lid=zK0y3GY7zTXLsSp9&indexPosition=28
