Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Toyota,Probox,"KSh 749,000","Nairobi, Ridgeways, 3 hours ago",2013,,Automatic,White,Local Used,https://jiji.co.ke/ridgeways/cars/toyota-probox-2013-white-aPP4NVrGx9EkZGNr3yAwVasQ.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=0
Daihatsu,Mira,"KSh 749,000","Mombasa, Mombasa CBD, 1 hour ago",2018,58550 km,Automatic,Pink,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/daihatsu-mira-2018-pink-zLcwBAAWSxNUBRQAfQx2XaYj.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=3
Suzuki,Wagon,"KSh 749,000","Mombasa, Mombasa CBD, 1 hour ago",2016,101000 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-wagon-2016-silver-Bb01fDGlyH7CB71USjz9Rw9.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=6
Mazda,Axela,"KSh 749,000","Kajiado, Kitengela, 3 hours ago",2009,,Automatic,Gray,Local Used,https://jiji.co.ke/kitengela/cars/mazda-axela-2009-gray-cvZ3owebvNzuxEANEyNaZUSU.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=9
Suzuki,Alto,"KSh 749,000","Nairobi, Nairobi Central, 30 min ago",2019,93534 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/nairobi-central/cars/suzuki-alto-2019-silver-kTHy31F4fgufwve5Mt6dRNsL.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=12
Suzuki,Alto,"KSh 745,000","Nairobi, Ridgeways, 3 hours ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/ridgeways/cars/suzuki-alto-660cc-fwd-2017-white-aJXmsou9hXhzFjLjyepv0EjU.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=15
Daihatsu,Mira,"KSh 745,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,Yellow,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/daihatsu-mira-2017-yellow-hd9riF6vk0YYQUolvAU2vV9Z.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=18
Toyota,Mark X,"KSh 745,000","Nairobi, Nairobi South, 51 min ago",2008,147000 km,Automatic,Silver,Local Used,https://jiji.co.ke/nairobi-south/cars/toyota-mark-x-2008-silver-3Z4qRj7p99RFG67S9uVRMk1u.html?page=2&pos=2&cur_pos=2&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=21
BMW,320i,"KSh 745,000","Nairobi, Kilimani, 12 min ago",2005,,Automatic,,Local Used,https://jiji.co.ke/kilimani/cars/bmw-320i-sedan-rwd-2005-silver-k7pfzL8gi693rtvjVrZbdr5T.html?page=2&pos=6&cur_pos=6&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=25
Toyota,Axio,"KSh 745,000","Kitui, Township, 1 hour ago",2011,198500 km,Manual,White,Local Used,https://jiji.co.ke/township-40000000589/cars/toyota-axio-2011-white-v5qQK6p6lE83l1xvwHuSkGQr.html?page=2&pos=9&cur_pos=9&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=28
BMW,320i,"KSh 745,000","Nairobi, Westlands, 9 hours ago",2010,,Automatic,Red,Local Used,https://jiji.co.ke/westlands/cars/bmw-320i-2010-red-wL2q16xNB1MBvKb1ByroEdHf.html?page=2&pos=12&cur_pos=12&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=31
Suzuki,Alto,"KSh 743,000","Nairobi, Runda, 45 min ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/karura/cars/suzuki-alto-660cc-awd-2017-red-3y4FRJb4vPQTMWNW3DJhgcG.html?page=2&pos=14&cur_pos=14&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=33
Suzuki,Alto,"KSh 740,000","Nairobi, Ridgeways, 52 min ago",2018,97000 km,Automatic,Pearl,Foreign Used,https://jiji.co.ke/ridgeways/cars/suzuki-alto-2018-pearl-jYA6fmPAvA1ZF3r6BF1qwgqi.html?page=2&pos=18&cur_pos=18&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=37
Mazda,Demio,"KSh 740,000","Nairobi, Ngara, 1 hour ago",2015,129949 km,Automatic,Off white,Local Used,https://jiji.co.ke/ngara/cars/mazda-demio-2015-off-white-kyxzmzbymIAN3fqjKnMq9rCB.html?page=3&pos=2&cur_pos=2&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=41
Toyota,Wish,"KSh 740,000","Nairobi, Ridgeways, 1 hour ago",2007,121000 km,Automatic,Silver,Local Used,https://jiji.co.ke/ridgeways/cars/toyota-wish-2007-silver-34LPx23NASVkUrUoLO6rLHcI.html?page=3&pos=5&cur_pos=5&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=44
Toyota,Vitz,"KSh 740,000","Mombasa, Mombasa CBD, 59 min ago",2014,,Automatic,Black,Local Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-vitz-2014-black-av8p4bLZb8Q3xsKIqd20eDHs.html?page=3&pos=8&cur_pos=8&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=47
Toyota,Vitz,"KSh 740,000","Nairobi, Ngara, 41 min ago",2014,122526 km,Automatic,Gray,Local Used,https://jiji.co.ke/ngara/cars/toyota-vitz-2014-gray-aMKvoq92Ee80tvlMCdjZCa5r.html?page=3&pos=9&cur_pos=9&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=48
Toyota,Allion,"KSh 740,000","Kiambu, Ruaka, 58 min ago",2004,131000 km,Automatic,Beige,Local Used,https://jiji.co.ke/ruaka-banana/cars/toyota-allion-2004-beige-45H0AmIFXk0jlJyzPsgSbnlc.html?page=3&pos=12&cur_pos=12&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=51
Toyota,Allex,"KSh 740,000","Kiambu, Ruaka, 29 min ago",2006,,Automatic,White,Local Used,https://jiji.co.ke/ruaka-banana/cars/toyota-allex-2006-white-q4GNSvaF0LgYMxzjofKiANdt.html?page=3&pos=17&cur_pos=17&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=56
Toyota,Mark X,"KSh 740,000","Nairobi, Kahawa, 20 min ago",2008,,Automatic,,Local Used,https://jiji.co.ke/kahawa/cars/toyota-mark-x-2-5-awd-2008-silver-hZjI9Zck1CV5L7BFezMUFawA.html?page=3&pos=20&cur_pos=20&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=59
Toyota,Probox,"KSh 740,000","Nairobi, Ridgeways, 52 min ago",2008,,Automatic,White,Local Used,https://jiji.co.ke/ridgeways/cars/toyota-probox-2008-white-hU64oNBQmEQqwKOsrWyjXBIw.html?page=4&pos=3&cur_pos=3&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=62
Nissan,Latio,"KSh 740,000","Nairobi, Kasarani, 27/05",2015,56000 km,Automatic,,Local Used,https://jiji.co.ke/kasarani/cars/nissan-latio-1-2-2015-silver-aQra1qC5AsefaHdivA82v5HR.html?page=4&pos=6&cur_pos=6&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=65
Toyota,Allion,"KSh 740,000","Nairobi, Ridgeways, 57 min ago",2005,139000 km,Automatic,Silver,Local Used,https://jiji.co.ke/ridgeways/cars/toyota-allion-2005-silver-rhxOs7tHxgNTOkhzGUP2zkep.html?page=4&pos=9&cur_pos=9&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=68
Toyota,Mark X,"KSh 739,000","Nairobi, Ridgeways, 17 min ago",2009,,Automatic,White,Local Used,https://jiji.co.ke/ridgeways/cars/toyota-mark-x-2009-white-vc9vDRwW3hHBtNZGvcIQ1kUU.html?page=4&pos=12&cur_pos=12&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=71
Toyota,Axio,"KSh 739,000","Nairobi, Karen, 42 min ago",2008,168000 km,Automatic,Silver,Local Used,https://jiji.co.ke/karen/cars/toyota-axio-1-5-x-2wd-2008-silver-f7564Dgfa2zB5S3h7ZhFXqse.html?page=4&pos=16&cur_pos=16&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=75
Toyota,Probox,"KSh 735,000","Nairobi, Nairobi Central, 21 min ago",2011,,Automatic,White,Local Used,https://jiji.co.ke/nairobi-central/cars/toyota-probox-2011-white-rXXiLAD2U2vQuHBxrqQLJ6kX.html?page=4&pos=19&cur_pos=19&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=78
Toyota,Corolla Fielder,"KSh 735,000","Nairobi, Embakasi, 49 min ago",2004,,Automatic,White,Local Used,https://jiji.co.ke/embakasi/cars/toyota-corolla-fielder-2004-white-w3RQujnEekbXgp5mgtlMApXX.html?page=5&pos=2&cur_pos=2&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=81
Nissan,NV200,"KSh 730,000","Kiambu, Kiambu / Kiambu , 40 min ago",2013,,Automatic,White,Local Used,https://jiji.co.ke/kiambu-kiambu/cars/nissan-nv200-2013-white-hYvociHqRPAxwJPAdD0yMDFr.html?page=5&pos=5&cur_pos=5&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=84
Daihatsu,Mira,"KSh 730,000","Mombasa, Mombasa CBD, 52 min ago",2017,40000 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/daihatsu-mira-2017-white-5pIECtaeO14QSk3lb6HmkVqS.html?page=5&pos=10&cur_pos=10&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=89
Nissan,Note,"KSh 730,000","Nairobi, Nairobi Central, 40 min ago",2013,,Automatic,Gray,Local Used,https://jiji.co.ke/nairobi-central/cars/nissan-note-1-2-petrol-2013-gray-yWcnF2vIdx1O2zyPjoPRw2Wr.html?page=5&pos=13&cur_pos=13&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=92
Nissan,Note,"KSh 730,000","Nairobi, Nairobi Central, 53 min ago",2015,118000 km,Automatic,Purple,Local Used,https://jiji.co.ke/nairobi-central/cars/nissan-note-1-2-petrol-2015-purple-5ip2WOI7Jy3Ak8fnjQYtMzNw.html?page=5&pos=16&cur_pos=16&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=95
Honda,Fit,"KSh 730,000","Nairobi, Nairobi Central, 51 min ago",2013,,Automatic,Silver,Local Used,https://jiji.co.ke/nairobi-central/cars/honda-fit-2013-silver-v4V3rGgudonP9QDoWMkmp7Ph.html?page=5&pos=19&cur_pos=19&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=98
Suzuki,EV,"KSh 730,000","Mombasa, Mvita, 1 hour ago",2014,85632 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/mvita/cars/suzuki-ev-2014-silver-30QexnLe0pDTaKwHn6Ra7zNl.html?page=6&pos=3&cur_pos=3&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=102
Honda,Fit,"KSh 730,000","Nairobi, Nairobi Central, 3 hours ago",2013,,Automatic,Silver,Local Used,https://jiji.co.ke/nairobi-central/cars/honda-fit-2013-silver-1anhCrPYXwlycJOhTrDI2xOx.html?page=6&pos=6&cur_pos=6&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=105
Daihatsu,Mira,"KSh 730,000","Mombasa, Mombasa CBD, 1 hour ago",2016,,Automatic,Blue,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/daihatsu-mira-2016-blue-2XKXxl72q3P9WnxFn1nMhGpf.html?page=6&pos=8&cur_pos=8&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=107
Toyota,Premio,"KSh 730,000","Nairobi, Upperhill, 41 min ago",2004,157000 km,Automatic,,Local Used,https://jiji.co.ke/upperhill/cars/toyota-premio-1-5-fwd-2004-silver-1vAhiudDM1qvYJqtHw91dTVj.html?page=6&pos=11&cur_pos=11&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=110
Nissan,Advan,"KSh 730,000","Mombasa, Ganjoni, 1 hour ago",2014,85444 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/ganjoni/cars/nissan-advan-2014-blue-wvdTA0gxs8bM7AcsaN4lsoBL.html?page=6&pos=14&cur_pos=14&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=113
Volkswagen,Jetta,"KSh 730,000","Nairobi, Embakasi, 9 hours ago",2006,,Automatic,Gray,Local Used,https://jiji.co.ke/embakasi/cars/volkswagen-jetta-2006-gray-l8F4z0USgeXpBQFvRChTsPlB.html?page=6&pos=17&cur_pos=17&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=116
Daihatsu,Mira,"KSh 730,000","Mombasa, Ganjoni, 1 hour ago",2017,78524 km,Automatic,White,Foreign Used,https://jiji.co.ke/ganjoni/cars/daihatsu-mira-2017-white-u27adtF9l3rQfmuQ8bunG8Ok.html?page=6&pos=20&cur_pos=20&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=119
Nissan,Note,"KSh 730,000","Nairobi, Ridgeways, 34 min ago",2014,98062 km,Automatic,Blue,Local Used,https://jiji.co.ke/ridgeways/cars/nissan-note-1-2-petrol-2014-blue-aL5hv41EGn4IqNMLnQsFEbPo.html?page=7&pos=3&cur_pos=3&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=122
Nissan,Note,"KSh 730,000","Nairobi, Runda, 10 min ago",2013,119000 km,Automatic,Gray,Local Used,https://jiji.co.ke/karura/cars/nissan-note-1-2-petrol-2013-gray-v5poOU7S4LFyZQ1eV5BxfFZt.html?page=7&pos=6&cur_pos=6&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=125
Toyota,Wish,"KSh 730,000","Nairobi, Runda, 25 min ago",2006,,Automatic,Silver,Local Used,https://jiji.co.ke/karura/cars/toyota-wish-2006-silver-hB6U7GajLCeCVMDoaxBxCz3f.html?page=7&pos=9&cur_pos=9&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=128
Mazda,Demio,"KSh 730,000","Nairobi, Runda, 25 min ago",2014,89523 km,Automatic,Pearl,Local Used,https://jiji.co.ke/karura/cars/mazda-demio-2014-pearl-5IULEzeZL2fkLaVRT15ST7ay.html?page=7&pos=11&cur_pos=11&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=130
Toyota,Crown,"KSh 730,000","Nairobi, Woodley/Kenyatta Golf Course, 41 min ago",2008,130838 km,Automatic,White,Local Used,https://jiji.co.ke/woodley-kenyatta-golf-course/cars/toyota-crown-2008-white-kHKF6ipT9x1dnKerWouWgH1B.html?page=7&pos=14&cur_pos=14&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=133
Honda,Fit,"KSh 730,000","Nairobi, Nairobi Central, 47 min ago",2012,125000 km,Automatic,,Local Used,https://jiji.co.ke/nairobi-central/cars/honda-fit-automatic-2012-white-wIO9wzZRk7bWuKAvXXOA6skU.html?page=7&pos=17&cur_pos=17&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=136
Toyota,Vitz,"KSh 730,000","Nairobi, Embakasi, 42 min ago",2014,158602 km,Automatic,Black,Local Used,https://jiji.co.ke/embakasi/cars/toyota-vitz-2014-black-BpygHlX29pCG7wQWl7BNeK7C.html?page=7&pos=20&cur_pos=20&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=139
Daihatsu,Mira,"KSh 730,000","Mombasa, Mombasa CBD, 4 hours ago",2018,97013 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/daihatsu-mira-2018-white-ldNh0SCJblty2CKDOLIXxuVa.html?page=8&pos=3&cur_pos=3&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=142
Suzuki,Alto,"KSh 730,000","Mombasa, Mombasa CBD, 1 hour ago",2014,73000 km,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-alto-2014-red-5mh85AO1LAUwaGCUXJfX16vV.html?page=8&pos=6&cur_pos=6&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=145
Toyota,Wish,"KSh 730,000","Kiambu, Ruaka, 28 min ago",2005,,Automatic,Silver,Local Used,https://jiji.co.ke/ruaka-banana/cars/toyota-wish-2005-silver-vvMdh3Rn5UGYNMLhsQ0NnGt.html?page=8&pos=8&cur_pos=8&ads_per_page=20&ads_count=2538&lid=gvqJIsa-XISkJCl3&indexPosition=147
