Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Toyota,Land Cruiser Prado,"KSh 6,700,000","Nairobi, Upperhill, 48 min ago",2021,19520 km,Automatic,,Foreign Used,https://jiji.co.ke/upperhill/cars/toyota-land-cruiser-prado-2-7-2021-pearl-mBCXvZomCf1lfWXj6zejDoWo.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=0
Toyota,Land Cruiser Prado,"KSh 6,700,000","Nairobi, Kilimani, 46 min ago",2018,98000 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-land-cruiser-prado-2-8-2018-white-gmOclQYLtdQvcOEGAMa2Fo18.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=3
Toyota,Land Cruiser,"KSh 6,700,000","Mombasa, Mombasa CBD, 54 min ago",2018,39096 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-2018-silver-7wAZUKjKPm3gmTLMKd5lB7em.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=6
Toyota,Land Cruiser Prado,"KSh 6,700,000","Nakuru, Nakuru Town West, 32 min ago",2018,,Automatic,,Foreign Used,https://jiji.co.ke/nakuru-town-west/cars/toyota-land-cruiser-prado-2-7-2018-white-Cc589riMJp4x5ZyyfOkBjlar.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=9
Toyota,Land Cruiser,"KSh 6,700,000","Mombasa, Mombasa CBD, 1 hour ago",2016,54978 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-2016-black-g6qDJYpuFgHcn5cNBymUylkG.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=12
Porsche,Cayenne,"KSh 6,700,000","Nairobi, Ridgeways, 1 hour ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/ridgeways/cars/porsche-cayenne-s-awd-2017-white-yuRwXZN1zc2oKB3oDtxDxt9L.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=15
Mercedes-Benz,Viano,"KSh 6,700,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,Silver,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-viano-2017-silver-CaWsuImXxz0MltzPGFtMzCfm.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=18
Toyota,Land Cruiser,"KSh 6,700,000","Nairobi, Westlands, 17 min ago",2012,120000 km,Automatic,,Local Used,https://jiji.co.ke/westlands/cars/toyota-land-cruiser-4-5-v8-dsl-2012-silver-2Ujj5NRHMpQCivLeEOsq3ZR9.html?page=2&pos=4&cur_pos=4&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=23
Lexus,RX 450h,"KSh 6,700,000","Mombasa, Mombasa CBD, 2 hours ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-rx-450h-3-5-hybrid-awd-2017-black-3faWuSeoN6yWJoow3Z4shVjg.html?page=2&pos=7&cur_pos=7&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=26
Audi,Q7,"KSh 6,700,000","Mombasa, Ganjoni, 51 min ago",2018,56352 km,Automatic,White,Foreign Used,https://jiji.co.ke/ganjoni/cars/audi-q7-2018-white-92D6gpguFXk0oFh8wESXqUl9.html?page=2&pos=10&cur_pos=10&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=29
Toyota,Land Cruiser,"KSh 6,700,000","Mombasa, Ganjoni, 1 hour ago",2017,85238 km,Automatic,Black,Local Used,https://jiji.co.ke/ganjoni/cars/toyota-land-cruiser-2017-black-2CvqtsLlDKF0V7aqLmBL6M9x.html?page=2&pos=13&cur_pos=13&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=32
Toyota,Land Cruiser Prado,"KSh 6,700,000","Nairobi, Kilimani, 1 hour ago",2017,,Automatic,White,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-land-cruiser-prado-2017-white-xg0n1uBirDG3pXxUy1STDGeo.html?page=2&pos=16&cur_pos=16&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=35
BMW,X6,"KSh 6,700,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,Matt Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/bmw-x6-2017-matt-black-CrfxAu6t24pJ8cadfli9og13.html?page=2&pos=19&cur_pos=19&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=38
Toyota,Land Cruiser Prado,"KSh 6,700,000","Nairobi, Kilimani, 3 hours ago",2019,89000 km,Automatic,White,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-land-cruiser-prado-2019-white-iUm72BxAdR9hnDTodNOiC34X.html?page=3&pos=2&cur_pos=2&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=41
Toyota,Land Cruiser Prado,"KSh 6,700,000","Nairobi, Kilimani, 51 min ago",2017,,Automatic,Pearl,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-land-cruiser-prado-2017-pearl-CluisjJyn5r6TDxSbCyf6s9B.html?page=3&pos=5&cur_pos=5&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=44
BMW,X6,"KSh 6,700,000","Mombasa, Mombasa CBD, 1 hour ago",2017,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/bmw-x6-2017-black-bo6u4MoIvewGhMijJWt7r2pm.html?page=3&pos=7&cur_pos=7&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=46
Toyota,Land Cruiser Prado,"KSh 6,700,000","Mombasa, Mombasa CBD, 1 hour ago",2019,64000 km,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-prado-2-7-2019-black-iqJtYYguKSdxBPdFz8D4o1pe.html?page=3&pos=10&cur_pos=10&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=49
Toyota,Land Cruiser Prado,"KSh 6,700,000","Nairobi, Kilimani, 1 hour ago",2019,49000 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/toyota-land-cruiser-prado-2-7-2019-tBYkaQKO7tQw44bMoiu2hCM3.html?page=3&pos=13&cur_pos=13&ads_per_page=20&ads_count=40540&lid=btB6ZCA80ZSv8-vl&indexPosition=52
